MM:DD:YYYY hh:mm:ss, Mouse, Battery_Voltage, MotorTurns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
5/9/2020 9:23:52,24,4.04,0,1,Poke,Left,1,0,0,nan
5/9/2020 9:53:54,24,4.05,1,1,Pellet,Left,1,0,1,919
5/9/2020 9:54:31,24,4.04,0,1,Poke,Left,1,1,1,nan
5/9/2020 9:55:32,24,4.04,0,1,Poke,Left,2,1,1,nan
5/9/2020 9:55:37,24,4.04,1,1,Pellet,Left,2,1,2,2
5/9/2020 9:55:47,24,4.04,0,1,Poke,Left,3,1,2,nan
5/9/2020 9:55:52,24,4.05,1,1,Pellet,Left,3,1,3,2
5/9/2020 10:06:54,24,4.04,0,1,Poke,Left,4,1,3,nan
5/9/2020 10:06:59,24,4.04,1,1,Pellet,Left,4,1,4,2
5/9/2020 10:07:15,24,4.04,0,1,Poke,Left,4,2,4,nan
5/9/2020 10:07:22,24,4.03,0,1,Poke,Left,5,2,4,nan
5/9/2020 10:07:26,24,4.03,1,1,Pellet,Left,5,2,5,1
5/9/2020 10:10:16,24,4.04,0,1,Poke,Left,6,2,5,nan
5/9/2020 10:10:22,24,4.04,1,1,Pellet,Left,6,2,6,3
5/9/2020 10:12:42,24,4.04,0,1,Poke,Left,7,2,6,nan
5/9/2020 10:27:59,24,4.04,1,1,Pellet,Left,7,2,7,914
5/9/2020 10:28:07,24,4.05,0,1,Poke,Left,8,2,7,nan
5/9/2020 10:28:12,24,4.04,1,1,Pellet,Left,8,2,8,2
5/9/2020 10:39:48,24,4.04,0,1,Poke,Left,9,2,8,nan
5/9/2020 10:39:53,24,4.04,1,1,Pellet,Left,9,2,9,2
5/9/2020 10:42:35,24,4.04,0,1,Poke,Left,9,3,9,nan
5/9/2020 10:52:28,24,4.04,0,1,Poke,Left,10,3,9,nan
5/9/2020 10:52:34,24,4.04,1,1,Pellet,Left,10,3,10,3
5/9/2020 10:52:56,24,4.04,0,1,Poke,Left,11,3,10,nan
5/9/2020 10:53:10,24,4.04,2,1,Pellet,Left,11,3,11,8
5/9/2020 11:01:32,24,4.04,0,1,Poke,Left,12,3,11,nan
5/9/2020 11:01:40,24,4.04,1,1,Pellet,Left,12,3,12,2
5/9/2020 11:03:16,24,4.04,0,1,Poke,Left,13,3,12,nan
5/9/2020 11:16:49,24,4.03,1,1,Pellet,Left,13,3,13,125
5/9/2020 11:25:11,24,4.04,0,1,Poke,Left,13,4,13,nan
5/9/2020 11:25:59,24,4.04,0,1,Poke,Left,14,4,13,nan
5/9/2020 11:26:04,24,4.04,1,1,Pellet,Left,14,4,14,2
5/9/2020 11:40:22,24,4.04,0,1,Poke,Left,15,4,14,nan
5/9/2020 11:40:27,24,4.04,1,1,Pellet,Left,15,4,15,2
5/9/2020 11:44:17,24,4.03,0,1,Poke,Left,16,4,15,nan
5/9/2020 11:44:22,24,4.04,1,1,Pellet,Left,16,4,16,1
5/9/2020 11:44:49,24,4.04,0,1,Poke,Left,17,4,16,nan
5/9/2020 11:44:53,24,4.04,1,1,Pellet,Left,17,4,17,1
5/9/2020 11:45:36,24,4.03,0,1,Poke,Left,18,4,17,nan
5/9/2020 11:45:41,24,4.03,1,1,Pellet,Left,18,4,18,2
5/9/2020 11:53:00,24,4.04,0,1,Poke,Left,19,4,18,nan
5/9/2020 11:53:13,24,4.03,4,1,Pellet,Left,19,4,19,5
5/9/2020 11:53:26,24,4.03,0,1,Poke,Left,20,4,19,nan
5/9/2020 11:53:32,24,4.03,1,1,Pellet,Left,20,4,20,3
5/9/2020 11:53:43,24,4.03,0,1,Poke,Left,21,4,20,nan
5/9/2020 11:53:48,24,4.04,1,1,Pellet,Left,21,4,21,2
5/9/2020 12:53:11,24,4.03,0,1,Poke,Left,22,4,21,nan
5/9/2020 12:59:27,24,4.04,1,1,Pellet,Left,22,4,22,112
5/9/2020 12:59:41,24,4.03,0,1,Poke,Left,23,4,22,nan
5/9/2020 13:05:35,24,4.03,1,1,Pellet,Left,23,4,23,350
5/9/2020 13:05:58,24,4.03,0,1,Poke,Left,24,4,23,nan
5/9/2020 13:14:15,24,4.03,1,1,Pellet,Left,24,4,24,290
5/9/2020 13:14:27,24,4.03,0,1,Poke,Left,25,4,24,nan
5/9/2020 13:14:41,24,4.03,2,1,Pellet,Left,25,4,25,9
5/9/2020 13:18:44,24,4.03,0,1,Poke,Left,26,4,25,nan
5/9/2020 13:18:48,24,4.03,1,1,Pellet,Left,26,4,26,1
5/9/2020 13:24:27,24,4.04,0,1,Poke,Left,27,4,26,nan
5/9/2020 13:45:55,24,4.03,1,1,Pellet,Left,27,4,27,2
5/9/2020 13:50:04,24,4.03,0,1,Poke,Left,28,4,27,nan
5/9/2020 14:06:09,24,4.03,1,1,Pellet,Left,28,4,28,66
5/9/2020 14:07:15,24,4.03,0,1,Poke,Left,29,4,28,nan
5/9/2020 14:07:19,24,4.03,1,1,Pellet,Left,29,4,29,1
5/9/2020 14:07:29,24,4.03,0,1,Poke,Left,30,4,29,nan
5/9/2020 14:07:38,24,4.03,1,1,Pellet,Left,30,4,30,4
5/9/2020 14:07:55,24,4.03,0,1,Poke,Left,31,4,30,nan
5/9/2020 14:51:53,24,4.03,1,1,Pellet,Left,31,4,31,2635
5/9/2020 15:03:21,24,4.03,0,1,Poke,Left,32,4,31,nan
5/9/2020 15:03:26,24,4.03,1,1,Pellet,Left,32,4,32,2
5/9/2020 15:03:37,24,4.03,0,1,Poke,Left,33,4,32,nan
5/9/2020 15:07:28,24,4.03,1,1,Pellet,Left,33,4,33,226
5/9/2020 15:10:56,24,4.03,0,1,Poke,Left,34,4,33,nan
5/9/2020 15:12:32,24,4.03,1,1,Pellet,Left,34,4,34,85
5/9/2020 15:12:47,24,4.03,0,1,Poke,Left,35,4,34,nan
5/9/2020 15:12:53,24,4.03,1,1,Pellet,Left,35,4,35,3
5/9/2020 15:25:41,24,4.03,0,1,Poke,Left,36,4,35,nan
5/9/2020 15:25:53,24,4.02,2,1,Pellet,Left,36,4,36,7
5/9/2020 15:28:56,24,4.03,0,1,Poke,Left,37,4,36,nan
5/9/2020 15:58:28,24,4.03,1,1,Pellet,Left,37,4,37,1769
5/9/2020 16:32:54,24,4.03,0,1,Poke,Left,38,4,37,nan
5/9/2020 16:32:59,24,4.03,1,1,Pellet,Left,38,4,38,2
5/9/2020 16:40:56,24,4.02,0,1,Poke,Left,38,5,38,nan
5/9/2020 16:42:22,24,4.03,0,1,Poke,Left,39,5,38,nan
5/9/2020 16:45:57,24,4.02,1,1,Pellet,Left,39,5,39,212
5/9/2020 16:54:02,24,4.02,0,1,Poke,Left,40,5,39,nan
5/9/2020 17:05:00,24,4.02,2,1,Pellet,Left,40,5,40,97
5/9/2020 17:13:19,24,4.03,0,1,Poke,Left,41,5,40,nan
5/9/2020 17:16:41,24,4.03,1,1,Pellet,Left,41,5,41,199
5/9/2020 17:26:46,24,4.02,0,1,Poke,Left,42,5,41,nan
