MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/17/2019 17:04:53,6,3.92,1,1,Left,1,0,1,10
6/17/2019 18:10:40,6,3.92,3,1,Left,2,0,2,9
6/17/2019 18:14:15,6,3.92,1,1,Left,3,2,3,78
6/17/2019 18:16:27,6,3.93,1,1,Left,4,2,4,9
6/17/2019 18:18:16,6,3.92,1,1,Left,5,2,5,51
6/17/2019 19:10:07,6,3.91,1,1,Left,6,2,6,120
6/17/2019 19:30:17,6,3.92,1,1,Left,7,3,7,371
6/17/2019 20:11:17,6,3.91,1,1,Left,8,5,8,48
6/17/2019 20:14:32,6,3.91,2,1,Left,9,5,9,106
6/17/2019 20:20:36,6,3.91,3,1,Left,10,9,10,9
6/17/2019 20:22:44,6,3.91,3,1,Left,11,12,11,2
6/17/2019 20:23:57,6,3.91,1,1,Left,12,12,12,5
6/17/2019 20:24:42,6,3.91,2,1,Left,13,12,13,12
6/17/2019 20:31:29,6,3.91,1,1,Left,14,14,14,125
6/17/2019 20:35:41,6,3.91,1,1,Left,15,15,15,5
6/17/2019 21:45:06,6,3.91,2,1,Left,16,18,16,4
6/17/2019 21:49:40,6,3.90,20,1,Left,17,24,17,7
6/17/2019 21:56:19,6,3.90,1,1,Left,18,24,18,187
6/17/2019 22:14:09,6,3.90,1,1,Left,19,27,19,2
6/17/2019 22:16:28,6,3.91,1,1,Left,20,27,20,71
6/17/2019 22:19:16,6,3.90,8,1,Left,21,27,21,13
6/17/2019 22:22:44,6,3.91,1,1,Left,22,39,22,2
6/17/2019 22:24:07,6,3.90,1,1,Left,23,40,23,18
6/17/2019 22:27:01,6,3.90,5,1,Left,24,41,24,9
6/17/2019 22:27:40,6,3.91,1,1,Left,25,41,25,2
6/17/2019 22:34:31,6,3.90,1,1,Left,26,41,26,144
6/17/2019 23:30:31,6,3.90,1,1,Left,27,41,27,8
6/17/2019 23:33:36,6,3.90,1,1,Left,28,41,28,137
6/17/2019 23:44:10,6,3.90,2,1,Left,29,41,29,2
6/17/2019 23:44:49,6,3.90,1,1,Left,30,41,30,2
6/17/2019 23:46:18,6,3.90,3,1,Left,31,41,31,13
6/17/2019 23:50:35,6,3.90,1,1,Left,32,42,32,13
6/17/2019 23:51:30,6,3.90,3,1,Left,33,42,33,15
6/17/2019 23:51:56,6,3.90,1,1,Left,34,42,34,7
6/17/2019 23:56:54,6,3.90,1,1,Left,35,43,35,1
6/18/2019 0:21:36,6,3.90,1,1,Left,36,43,36,2
6/18/2019 0:31:00,6,3.89,1,1,Left,37,44,37,3
6/18/2019 0:32:30,6,3.90,1,1,Left,38,44,38,2
6/18/2019 0:34:45,6,3.89,3,1,Left,39,44,39,1
6/18/2019 0:39:53,6,3.89,2,1,Left,40,44,40,56
6/18/2019 2:21:19,6,3.89,1,1,Left,41,44,41,2
6/18/2019 2:33:39,6,3.89,1,1,Left,42,50,42,19
6/18/2019 2:35:56,6,3.89,1,1,Left,43,50,43,8
6/18/2019 2:37:05,6,3.89,5,1,Left,44,50,44,2
6/18/2019 2:37:37,6,3.89,1,1,Left,45,50,45,2
6/18/2019 2:42:13,6,3.89,2,1,Left,46,51,46,10
6/18/2019 2:43:14,6,3.89,2,1,Left,47,51,47,7
6/18/2019 2:44:39,6,3.89,1,1,Left,48,52,48,15
6/18/2019 4:22:17,6,3.88,1,1,Left,49,53,49,5
6/18/2019 4:26:03,6,3.88,1,1,Left,50,53,50,168
6/18/2019 4:27:10,6,3.89,1,1,Left,51,53,51,2
6/18/2019 5:18:30,6,3.87,2,1,Left,52,53,52,2
6/18/2019 5:20:39,6,3.88,1,1,Left,53,53,53,11
6/18/2019 5:22:15,6,3.88,1,1,Left,54,53,54,2
6/18/2019 5:23:34,6,3.87,2,1,Left,55,53,55,22
6/18/2019 5:28:01,6,3.88,1,1,Left,56,58,56,176
6/18/2019 5:28:41,6,3.88,1,1,Left,57,58,57,3
6/18/2019 5:29:12,6,3.87,1,1,Left,58,58,58,4
6/18/2019 9:09:01,6,3.86,1,1,Left,59,58,59,53
6/18/2019 9:13:07,6,3.86,1,1,Left,60,58,60,3
6/18/2019 9:16:44,6,3.86,1,1,Left,61,58,61,2
6/18/2019 9:17:53,6,3.86,1,1,Left,62,58,62,1
6/18/2019 9:18:45,6,3.86,1,1,Left,63,58,63,6
6/18/2019 9:22:03,6,3.86,1,1,Left,64,58,64,3
6/18/2019 9:22:42,6,3.86,1,1,Left,65,58,65,8
6/18/2019 9:23:18,6,3.86,1,1,Left,66,60,66,1
