MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/19/2020 9:48:14,1,4.12,0,1,Poke,Left,1,0,0,nan
6/19/2020 9:48:28,1,4.12,1,1,Pellet,Left,1,0,1,11
6/19/2020 9:50:27,1,4.12,0,1,Poke,Left,2,0,1,nan
6/19/2020 9:50:44,1,4.11,1,1,Pellet,Left,2,0,2,13
6/19/2020 9:51:26,1,4.12,0,1,Poke,Left,2,1,2,nan
6/19/2020 9:52:27,1,4.12,0,1,Poke,Left,2,2,2,nan
6/19/2020 9:54:29,1,4.12,0,1,Poke,Left,3,2,2,nan
6/19/2020 9:55:18,1,4.11,1,1,Pellet,Left,3,2,3,46
6/19/2020 10:00:11,1,4.12,0,1,Poke,Left,3,3,3,nan
6/19/2020 10:00:17,1,4.12,0,1,Poke,Left,4,3,3,nan
6/19/2020 10:00:22,1,4.12,1,1,Pellet,Left,4,3,4,1
6/19/2020 10:00:37,1,4.12,0,1,Poke,Left,5,3,4,nan
6/19/2020 10:00:46,1,4.12,1,1,Pellet,Left,5,3,5,6
6/19/2020 10:02:40,1,4.12,0,1,Poke,Left,5,4,5,nan
6/19/2020 10:06:47,1,4.12,0,1,Poke,Left,6,4,5,nan
6/19/2020 10:06:52,1,4.11,1,1,Pellet,Left,6,4,6,2
6/19/2020 10:08:02,1,4.12,0,1,Poke,Left,6,5,6,nan
6/19/2020 10:08:16,1,4.11,0,1,Poke,Left,7,5,6,nan
6/19/2020 10:08:35,1,4.11,1,1,Pellet,Left,7,5,7,15
6/19/2020 10:08:54,1,4.11,0,1,Poke,Left,8,5,7,nan
6/19/2020 10:09:15,1,4.11,2,1,Pellet,Left,8,5,8,16
6/19/2020 10:12:10,1,4.11,0,1,Poke,Left,8,6,8,nan
6/19/2020 10:13:04,1,4.11,0,1,Poke,Left,9,6,8,nan
6/19/2020 10:13:09,1,4.11,1,1,Pellet,Left,9,6,9,2
6/19/2020 10:13:30,1,4.11,0,1,Poke,Left,10,6,9,nan
6/19/2020 10:13:39,1,4.11,1,1,Pellet,Left,10,6,10,6
6/19/2020 10:15:49,1,4.11,0,1,Poke,Left,11,6,10,nan
6/19/2020 10:15:54,1,4.11,1,1,Pellet,Left,11,6,11,1
6/19/2020 10:23:48,1,4.12,0,1,Poke,Left,12,6,11,nan
6/19/2020 10:23:53,1,4.11,1,1,Pellet,Left,12,6,12,1
6/19/2020 10:27:05,1,4.11,0,1,Poke,Left,13,6,12,nan
6/19/2020 10:27:10,1,4.11,1,1,Pellet,Left,13,6,13,2
6/19/2020 10:27:18,1,4.11,0,1,Poke,Left,13,7,13,nan
6/19/2020 10:27:54,1,4.12,0,1,Poke,Left,14,7,13,nan
6/19/2020 10:29:18,1,4.11,1,1,Pellet,Left,14,7,14,81
6/19/2020 10:32:31,1,4.11,0,1,Poke,Left,15,7,14,nan
6/19/2020 10:35:20,1,4.11,1,1,Pellet,Left,15,7,15,165
