MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/25/2020 12:10:02,5,4.02,0,1,Poke,Left,0,1,0,nan
6/25/2020 12:10:19,5,4.02,0,1,Poke,Left,1,1,0,nan
6/25/2020 12:10:26,5,4.03,1,1,Pellet,Left,1,1,1,4
6/25/2020 12:11:40,5,4.02,0,1,Poke,Left,2,1,1,nan
6/25/2020 12:11:58,5,4.02,1,1,Pellet,Left,2,1,2,15
6/25/2020 12:15:05,5,4.02,0,1,Poke,Left,3,1,2,nan
6/25/2020 12:15:43,5,4.02,1,1,Pellet,Left,3,1,3,6
6/25/2020 12:15:52,5,4.02,0,1,Poke,Left,4,1,3,nan
6/25/2020 12:16:15,5,4.02,1,1,Pellet,Left,4,1,4,1
6/25/2020 12:18:09,5,4.02,0,1,Poke,Left,5,1,4,nan
6/25/2020 12:18:20,5,4.02,1,1,Pellet,Left,5,1,5,3
6/25/2020 12:21:20,5,4.02,0,1,Poke,Left,5,2,5,nan
6/25/2020 12:21:56,5,4.02,0,1,Poke,Left,6,2,5,nan
6/25/2020 12:22:07,5,4.02,1,1,Pellet,Left,6,2,6,7
6/25/2020 12:24:35,5,4.03,0,1,Poke,Left,7,2,6,nan
6/25/2020 12:24:57,5,4.02,1,1,Pellet,Left,7,2,7,18
6/25/2020 12:26:11,5,4.02,0,1,Poke,Left,7,3,7,nan
6/25/2020 12:26:30,5,4.02,0,1,Poke,Left,8,3,7,nan
6/25/2020 12:27:12,5,4.02,1,1,Pellet,Left,8,3,8,39
6/25/2020 12:31:12,5,4.02,0,1,Poke,Left,8,4,8,nan
6/25/2020 12:33:01,5,4.03,0,1,Poke,Left,8,5,8,nan
6/25/2020 12:33:02,5,4.02,0,1,Poke,Left,8,6,8,nan
6/25/2020 12:33:05,5,4.02,0,1,Poke,Left,9,6,8,nan
6/25/2020 12:37:53,5,4.02,1,1,Pellet,Left,9,6,9,1
6/25/2020 12:43:01,5,4.02,0,1,Poke,Left,9,7,9,nan
6/25/2020 12:44:21,5,4.02,0,1,Poke,Left,10,7,9,nan
6/25/2020 12:44:41,5,4.00,1,1,Pellet,Left,10,7,10,16
6/25/2020 12:48:07,5,4.02,0,1,Poke,Left,11,7,10,nan
6/25/2020 12:57:02,5,4.01,1,1,Pellet,Left,11,7,11,100
6/25/2020 13:04:27,5,4.02,0,1,Poke,Left,12,7,11,nan
6/25/2020 13:04:50,5,4.02,1,1,Pellet,Left,12,7,12,8
