MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/10/2020 17:02:16,1,4.13,0,1,Poke,Left,0,1,0,nan
3/10/2020 17:04:06,1,4.13,0,1,Poke,Left,1,1,0,nan
3/10/2020 17:04:24,1,4.13,2,1,Pellet,Left,1,1,1,9
3/10/2020 17:07:42,1,4.13,0,1,Poke,Left,2,1,1,nan
3/10/2020 17:07:50,1,4.12,1,1,Pellet,Left,2,1,2,2
3/10/2020 17:09:07,1,4.13,0,1,Poke,Left,2,2,2,nan
3/10/2020 17:11:01,1,4.13,0,1,Poke,Left,2,3,2,nan
3/10/2020 17:12:34,1,4.13,0,1,Poke,Left,2,4,2,nan
3/10/2020 17:12:37,1,4.13,0,1,Poke,Left,3,4,2,nan
3/10/2020 17:12:45,1,4.12,1,1,Pellet,Left,3,4,3,2
3/10/2020 17:17:10,1,4.13,0,1,Poke,Left,4,4,3,nan
3/10/2020 17:17:18,1,4.12,1,1,Pellet,Left,4,4,4,1
3/10/2020 17:24:40,1,4.12,0,1,Poke,Left,5,4,4,nan
3/10/2020 17:25:06,1,4.12,3,1,Pellet,Left,5,4,5,9
3/10/2020 18:11:47,1,4.12,0,1,Poke,Left,5,5,5,nan
3/10/2020 18:16:12,1,4.12,0,1,Poke,Left,6,5,5,nan
3/10/2020 18:16:21,1,4.12,1,1,Pellet,Left,6,5,6,3
3/10/2020 18:17:06,1,4.12,0,1,Poke,Left,7,5,6,nan
3/10/2020 18:19:03,1,4.11,1,1,Pellet,Left,7,5,7,111
3/10/2020 18:26:15,1,4.11,0,1,Poke,Left,7,6,7,nan
3/10/2020 18:32:37,1,4.12,0,1,Poke,Left,8,6,7,nan
3/10/2020 18:32:48,1,4.11,1,1,Pellet,Left,8,6,8,4
3/10/2020 18:39:15,1,4.12,0,1,Poke,Left,9,6,8,nan
3/10/2020 18:42:07,1,4.11,1,1,Pellet,Left,9,6,9,8
3/10/2020 18:54:24,1,4.11,0,1,Poke,Left,10,6,9,nan
3/10/2020 18:54:32,1,4.11,1,1,Pellet,Left,10,6,10,2
3/10/2020 18:59:29,1,4.11,0,1,Poke,Left,11,6,10,nan
3/10/2020 18:59:43,1,4.11,2,1,Pellet,Left,11,6,11,4
3/10/2020 19:01:26,1,4.11,0,1,Poke,Left,12,6,11,nan
3/10/2020 19:01:41,1,4.11,2,1,Pellet,Left,12,6,12,4
3/10/2020 19:03:23,1,4.11,0,1,Poke,Left,12,7,12,nan
3/10/2020 19:08:59,1,4.11,0,1,Poke,Left,12,8,12,nan
3/10/2020 19:12:23,1,4.11,0,1,Poke,Left,13,8,12,nan
3/10/2020 19:12:31,1,4.11,1,1,Pellet,Left,13,8,13,2
3/10/2020 19:13:26,1,4.11,0,1,Poke,Left,14,8,13,nan
3/10/2020 19:14:46,1,4.11,1,1,Pellet,Left,14,8,14,74
3/10/2020 19:26:50,1,4.11,0,1,Poke,Left,15,8,14,nan
3/10/2020 19:26:58,1,4.10,1,1,Pellet,Left,15,8,15,2
3/10/2020 19:59:30,1,4.10,0,1,Poke,Left,15,9,15,nan
3/10/2020 20:03:43,1,4.10,0,1,Poke,Left,16,9,15,nan
3/10/2020 20:04:06,1,4.09,1,1,Pellet,Left,16,9,16,17
3/10/2020 20:06:51,1,4.09,0,1,Poke,Left,17,9,16,nan
3/10/2020 20:06:59,1,4.10,1,1,Pellet,Left,17,9,17,1
3/10/2020 20:07:16,1,4.10,0,1,Poke,Left,17,10,17,nan
3/10/2020 20:07:49,1,4.10,0,1,Poke,Left,18,10,17,nan
3/10/2020 20:23:21,1,4.09,2,1,Pellet,Left,18,10,18,4
3/10/2020 20:23:30,1,4.10,0,1,Poke,Left,19,10,18,nan
3/10/2020 20:23:54,1,4.09,3,1,Pellet,Left,19,10,19,3
3/10/2020 20:24:40,1,4.09,0,1,Poke,Left,20,10,19,nan
3/10/2020 20:25:06,1,4.09,3,1,Pellet,Left,20,10,20,4
3/10/2020 21:09:39,1,4.09,0,1,Poke,Left,21,10,20,nan
3/10/2020 21:10:01,1,4.09,3,1,Pellet,Left,21,10,21,2
3/10/2020 21:10:18,1,4.09,0,1,Poke,Left,21,11,21,nan
3/10/2020 21:14:43,1,4.09,0,1,Poke,Left,22,11,21,nan
3/10/2020 21:14:51,1,4.09,1,1,Pellet,Left,22,11,22,2
3/10/2020 21:17:13,1,4.09,0,1,Poke,Left,22,12,22,nan
3/10/2020 21:17:49,1,4.09,0,1,Poke,Left,23,12,22,nan
