MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/11/2019,16:57:29,11,3.86,1,1,Left,1,1,1,7
6/11/2019,17:23:30,11,3.85,188,1,Left,2,7,2,135
6/11/2019,17:39:57,11,3.83,160,1,Left,3,7,3,2
6/11/2019,22:20:01,11,3.82,180,1,Left,4,13,4,117
6/11/2019,22:33:25,11,3.81,68,1,Left,6,14,5,325
6/11/2019,22:59:46,11,3.78,280,1,Left,7,14,6,53
6/11/2019,23:39:54,11,3.77,461,1,Left,8,24,7,187
6/12/2019,1:25:46,11,3.73,760,1,Left,10,26,8,605
6/12/2019,2:04:04,11,3.73,64,1,Left,11,29,9,2
6/12/2019,2:18:15,11,3.73,189,1,Left,12,29,10,2
6/12/2019,2:30:11,11,3.72,184,1,Left,13,31,11,2
6/12/2019,2:30:20,11,3.71,1,1,Left,14,31,12,4
6/12/2019,4:03:06,11,3.72,85,1,Left,15,36,13,29
