MM:DD:YYYY hh:mm:ss,LibaryVersion,Sessiontype,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
1/29/2021 16:08:34,1.1.4,ProRat2,1,4.23,0,1,Left,Left,1,0,0,0,nan,0.00
1/29/2021 16:08:40,1.1.4,ProRat2,1,4.23,0,1,Pellet,Left,1,0,1,1,0.24,nan
1/29/2021 16:09:06,1.1.4,ProRat2,1,4.23,0,1,Left,Left,2,0,1,1,nan,0.09
1/29/2021 16:09:08,1.1.4,ProRat2,1,4.23,0,1,Pellet,Left,2,0,2,2,0.61,nan
1/29/2021 16:11:01,1.1.4,ProRat2,1,4.23,0,2,Left,Left,3,0,2,2,nan,0.46
1/29/2021 16:11:03,1.1.4,ProRat2,1,4.23,0,2,Left,Left,4,0,2,2,nan,0.19
1/29/2021 16:11:05,1.1.4,ProRat2,1,4.23,0,2,Pellet,Left,4,0,3,3,0.55,nan
1/29/2021 16:13:10,1.1.4,ProRat2,1,4.23,0,2,Left,Left,5,0,3,3,nan,0.43
1/29/2021 16:13:13,1.1.4,ProRat2,1,4.23,0,2,Left,Left,6,0,3,3,nan,0.03
1/29/2021 16:13:14,1.1.4,ProRat2,1,4.23,0,2,Pellet,Left,6,0,4,4,0.31,nan
1/29/2021 16:14:11,1.1.4,ProRat2,1,4.23,0,3,Right,Left,6,1,4,4,nan,0.40
1/29/2021 16:14:12,1.1.4,ProRat2,1,4.23,0,3,Right,Left,6,2,4,4,nan,0.00
1/29/2021 16:14:14,1.1.4,ProRat2,1,4.23,0,3,Left,Left,7,2,4,4,nan,0.54
1/29/2021 16:14:19,1.1.4,ProRat2,1,4.23,0,3,Left,Left,8,2,4,4,nan,0.16
1/29/2021 16:14:22,1.1.4,ProRat2,1,4.23,0,3,Left,Left,9,2,4,4,nan,0.00
1/29/2021 16:14:24,1.1.4,ProRat2,1,4.23,0,3,Pellet,Left,9,2,5,5,0.61,nan
1/29/2021 16:27:24,1.1.4,ProRat2,1,4.23,0,4,Right,Left,9,3,5,5,nan,0.38
