MM:DD:YYYY hh:mm:ss,LibaryVersion,Sessiontype,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
1/29/2021 16:20,1.1.4,ProRat2,6,4.18,0,1,Left,Left,1,0,0,0,nan,0.35
1/29/2021 16:20,1.1.4,ProRat2,6,4.18,0,1,Pellet,Left,1,0,1,1,2.39,nan
1/29/2021 16:21,1.1.4,ProRat2,6,4.18,0,1,Right,Left,1,1,1,1,nan,0.12
1/29/2021 16:28,1.1.4,ProRat2,6,4.18,0,1,Left,Left,2,1,1,1,nan,0.15
1/29/2021 16:28,1.1.4,ProRat2,6,4.18,0,1,Pellet,Left,2,1,2,2,0.06,nan
1/29/2021 16:29,1.1.4,ProRat2,6,4.18,0,2,Left,Left,3,1,2,2,nan,0.18
1/29/2021 16:29,1.1.4,ProRat2,6,4.18,0,2,Left,Left,4,1,2,2,nan,0
1/29/2021 16:29,1.1.4,ProRat2,6,4.18,0,2,Pellet,Left,4,1,3,3,0.18,nan
1/29/2021 16:30,1.1.4,ProRat2,6,4.18,0,2,Left,Left,5,1,3,3,nan,0.28
1/29/2021 16:31,1.1.4,ProRat2,6,4.18,0,2,Left,Left,6,1,3,3,nan,0.17
1/29/2021 16:31,1.1.4,ProRat2,6,4.18,0,2,Pellet,Left,6,1,4,4,0.12,nan
1/29/2021 16:38,1.1.4,ProRat2,6,4.18,0,3,Left,Left,7,1,4,4,nan,0.13
1/29/2021 16:38,1.1.4,ProRat2,6,4.18,0,3,Left,Left,8,1,4,4,nan,0.06
1/29/2021 16:43,1.1.4,ProRat2,6,4.18,0,3,Left,Left,9,1,4,4,nan,0.05
1/29/2021 16:43,1.1.4,ProRat2,6,4.18,0,3,Pellet,Left,9,1,5,5,8.28,nan
1/29/2021 16:45,1.1.4,ProRat2,6,4.18,0,4,Left,Left,10,1,5,5,nan,0.31
1/29/2021 16:53,1.1.4,ProRat2,6,4.18,0,4,Left,Left,11,1,5,5,nan,0.41
1/29/2021 16:53,1.1.4,ProRat2,6,4.18,0,4,Left,Left,12,1,5,5,nan,0.29
1/29/2021 16:53,1.1.4,ProRat2,6,4.18,0,4,Left,Left,13,1,5,5,nan,0.37
1/29/2021 16:53,1.1.4,ProRat2,6,4.18,0,4,Pellet,Left,13,1,6,6,0.18,nan
1/29/2021 16:53,1.1.4,ProRat2,6,4.18,0,5,Left,Left,14,1,6,6,nan,0.12
1/29/2021 16:53,1.1.4,ProRat2,6,4.18,0,5,Left,Left,15,1,6,6,nan,0.33
1/29/2021 16:53,1.1.4,ProRat2,6,4.18,0,5,Left,Left,16,1,6,6,nan,0.07
1/29/2021 17:02,1.1.4,ProRat2,6,4.18,0,5,Left,Left,17,1,6,6,nan,0.07
1/29/2021 17:02,1.1.4,ProRat2,6,4.18,0,5,Left,Left,18,1,6,6,nan,0.49
1/29/2021 17:02,1.1.4,ProRat2,6,4.18,0,5,Pellet,Left,18,1,7,7,0.12,nan
1/29/2021 17:03,1.1.4,ProRat2,6,4.18,0,6,Left,Left,19,1,7,7,nan,0.16
1/29/2021 17:12,1.1.4,ProRat2,6,4.18,0,6,Left,Left,20,1,7,7,nan,0.08
1/29/2021 17:14,1.1.4,ProRat2,6,4.18,0,6,Left,Left,21,1,7,7,nan,0.38
1/29/2021 17:15,1.1.4,ProRat2,6,4.18,0,6,Left,Left,22,1,7,7,nan,0.09
1/29/2021 17:15,1.1.4,ProRat2,6,4.18,0,6,Left,Left,23,1,7,7,nan,0.29
1/29/2021 17:15,1.1.4,ProRat2,6,4.18,0,6,Left,Left,24,1,7,7,nan,0.44
1/29/2021 17:15,1.1.4,ProRat2,6,4.18,0,6,Pellet,Left,24,1,8,8,0.12,nan
1/29/2021 17:17,1.1.4,ProRat2,6,4.18,0,7,Right,Left,24,2,8,8,nan,0.06
1/29/2021 17:17,1.1.4,ProRat2,6,4.18,0,7,Left,Left,25,2,8,8,nan,0.51
1/29/2021 17:19,1.1.4,ProRat2,6,4.18,0,7,Left,Left,26,2,8,8,nan,0.09
1/29/2021 17:19,1.1.4,ProRat2,6,4.18,0,7,Left,Left,27,2,8,8,nan,0.01
1/29/2021 17:19,1.1.4,ProRat2,6,4.18,0,7,Left,Left,28,2,8,8,nan,0.22
1/29/2021 17:19,1.1.4,ProRat2,6,4.18,0,7,Left,Left,29,2,8,8,nan,0.03
1/29/2021 17:21,1.1.4,ProRat2,6,4.18,0,7,Left,Left,30,2,8,8,nan,0.03
1/29/2021 17:26,1.1.4,ProRat2,6,4.18,0,7,Left,Left,31,2,8,8,nan,0.36
1/29/2021 17:26,1.1.4,ProRat2,6,4.18,0,7,Pellet,Left,31,2,9,9,0.18,nan
1/29/2021 17:30,1.1.4,ProRat2,6,4.18,0,9,Right,Left,31,3,9,9,nan,0.13
1/29/2021 17:30,1.1.4,ProRat2,6,4.18,0,9,Right,Left,31,4,9,9,nan,0.02
1/29/2021 17:31,1.1.4,ProRat2,6,4.18,0,9,Left,Left,32,4,9,9,nan,0.25
1/29/2021 17:31,1.1.4,ProRat2,6,4.18,0,9,Left,Left,33,4,9,9,nan,0.34
1/29/2021 17:31,1.1.4,ProRat2,6,4.18,0,9,Left,Left,34,4,9,9,nan,0.15
1/29/2021 17:31,1.1.4,ProRat2,6,4.18,0,9,Left,Left,35,4,9,9,nan,0.39
1/29/2021 17:31,1.1.4,ProRat2,6,4.18,0,9,Left,Left,36,4,9,9,nan,0.11
1/29/2021 17:42,1.1.4,ProRat2,6,4.18,0,9,Left,Left,37,4,9,9,nan,0.27
1/29/2021 17:42,1.1.4,ProRat2,6,4.18,0,9,Left,Left,38,4,9,9,nan,0.02
1/29/2021 17:42,1.1.4,ProRat2,6,4.18,0,9,Left,Left,39,4,9,9,nan,0.28
1/29/2021 17:42,1.1.4,ProRat2,6,4.18,0,9,Left,Left,40,4,9,9,nan,0.13
