MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/20/2113 2:04:02,1.1.45,0,3.70,0,FR1,Poke,Left,1,0,0,nan
7/20/2113 2:04:54,1.1.45,0,3.72,1,FR1,Pellet,Left,1,0,1,49
7/20/2113 2:05:29,1.1.45,0,3.72,0,FR1,Poke,Left,1,1,1,nan
7/20/2113 2:07:38,1.1.45,0,3.72,0,FR1,Poke,Left,2,1,1,nan
7/20/2113 2:07:42,1.1.45,0,3.72,1,FR1,Pellet,Left,2,1,2,1
7/20/2113 2:08:07,1.1.45,0,3.72,0,FR1,Poke,Left,3,1,2,nan
7/20/2113 2:08:11,1.1.45,0,3.72,1,FR1,Pellet,Left,3,1,3,1
7/20/2113 2:08:40,1.1.45,0,3.72,0,FR1,Poke,Left,4,1,3,nan
7/20/2113 2:08:45,1.1.45,0,3.72,1,FR1,Pellet,Left,4,1,4,2
7/20/2113 2:09:10,1.1.45,0,3.72,0,FR1,Poke,Left,5,1,4,nan
7/20/2113 2:09:13,1.1.45,0,3.72,1,FR1,Pellet,Left,5,1,5,1
7/20/2113 2:09:44,1.1.45,0,3.72,0,FR1,Poke,Left,6,1,5,nan
7/20/2113 2:09:47,1.1.45,0,3.73,1,FR1,Pellet,Left,6,1,6,1
7/20/2113 2:11:45,1.1.45,0,3.73,0,FR1,Poke,Left,7,1,6,nan
7/20/2113 2:11:49,1.1.45,0,3.73,1,FR1,Pellet,Left,7,1,7,2
7/20/2113 2:12:16,1.1.45,0,3.73,0,FR1,Poke,Left,8,1,7,nan
7/20/2113 2:12:20,1.1.45,0,3.72,1,FR1,Pellet,Left,8,1,8,1
7/20/2113 2:15:32,1.1.45,0,3.72,0,FR1,Poke,Left,8,2,8,nan
7/20/2113 2:17:15,1.1.45,0,3.72,0,FR1,Poke,Left,9,2,8,nan
7/20/2113 2:17:18,1.1.45,0,3.72,1,FR1,Pellet,Left,9,2,9,1
7/20/2113 2:17:39,1.1.45,0,3.72,0,FR1,Poke,Left,10,2,9,nan
7/20/2113 2:17:42,1.1.45,0,3.72,1,FR1,Pellet,Left,10,2,10,1
7/20/2113 2:17:57,1.1.45,0,3.72,0,FR1,Poke,Left,11,2,10,nan
7/20/2113 2:18:00,1.1.45,0,3.72,1,FR1,Pellet,Left,11,2,11,1
7/20/2113 2:58:42,1.1.45,0,3.72,0,FR1,Poke,Left,12,2,11,nan
7/20/2113 2:58:46,1.1.45,0,3.72,1,FR1,Pellet,Left,12,2,12,2
7/20/2113 2:59:46,1.1.45,0,3.72,0,FR1,Poke,Left,13,2,12,nan
7/20/2113 2:59:49,1.1.45,0,3.72,1,FR1,Pellet,Left,13,2,13,1
7/20/2113 3:00:06,1.1.45,0,3.72,0,FR1,Poke,Left,14,2,13,nan
7/20/2113 3:00:09,1.1.45,0,3.72,1,FR1,Pellet,Left,14,2,14,1
7/20/2113 3:00:26,1.1.45,0,3.72,0,FR1,Poke,Left,15,2,14,nan
7/20/2113 3:00:29,1.1.45,0,3.72,1,FR1,Pellet,Left,15,2,15,1
7/20/2113 3:00:50,1.1.45,0,3.72,0,FR1,Poke,Left,16,2,15,nan
7/20/2113 3:01:07,1.1.45,0,3.72,1,FR1,Pellet,Left,16,2,16,15
7/20/2113 3:57:36,1.1.45,0,3.72,0,FR1,Poke,Left,17,2,16,nan
7/20/2113 3:57:40,1.1.45,0,3.72,1,FR1,Pellet,Left,17,2,17,2
7/20/2113 3:58:18,1.1.45,0,3.72,0,FR1,Poke,Left,18,2,17,nan
7/20/2113 3:58:21,1.1.45,0,3.72,1,FR1,Pellet,Left,18,2,18,1
7/20/2113 3:58:39,1.1.45,0,3.72,0,FR1,Poke,Left,19,2,18,nan
7/20/2113 3:58:42,1.1.45,0,3.72,1,FR1,Pellet,Left,19,2,19,1
7/20/2113 3:59:03,1.1.45,0,3.72,0,FR1,Poke,Left,20,2,19,nan
7/20/2113 3:59:06,1.1.45,0,3.72,1,FR1,Pellet,Left,20,2,20,1
7/20/2113 3:59:35,1.1.45,0,3.72,0,FR1,Poke,Left,21,2,20,nan
7/20/2113 3:59:50,1.1.45,0,3.71,2,FR1,Pellet,Left,21,2,21,12
7/20/2113 4:00:21,1.1.45,0,3.71,0,FR1,Poke,Left,22,2,21,nan
7/20/2113 4:00:24,1.1.45,0,3.71,1,FR1,Pellet,Left,22,2,22,1
7/20/2113 4:00:47,1.1.45,0,3.71,0,FR1,Poke,Left,23,2,22,nan
7/20/2113 4:00:50,1.1.45,0,3.71,1,FR1,Pellet,Left,23,2,23,1
7/20/2113 4:01:11,1.1.45,0,3.71,0,FR1,Poke,Left,24,2,23,nan
7/20/2113 4:01:14,1.1.45,0,3.71,1,FR1,Pellet,Left,24,2,24,1
7/20/2113 4:41:31,1.1.45,0,3.71,0,FR1,Poke,Left,25,2,24,nan
7/20/2113 4:41:35,1.1.45,0,3.71,1,FR1,Pellet,Left,25,2,25,1
