MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/26/2020 14:02:19,1.1.46,2,3.84,0,FR1,Poke,Left,1,0,0,nan
8/26/2020 14:02:30,1.1.46,2,3.80,3,FR1,Pellet,Left,1,0,1,5
8/26/2020 14:02:47,1.1.46,2,3.80,0,FR1,Poke,Left,2,0,1,nan
8/26/2020 14:02:51,1.1.46,2,3.80,1,FR1,Pellet,Left,2,0,2,1
8/26/2020 14:04:13,1.1.46,2,3.80,0,FR1,Poke,Left,3,0,2,nan
8/26/2020 14:04:15,1.1.46,2,3.80,1,FR1,Pellet,Left,3,0,3,0
8/26/2020 14:04:46,1.1.46,2,3.80,0,FR1,Poke,Left,3,1,3,nan
8/26/2020 14:04:47,1.1.46,2,3.80,0,FR1,Poke,Left,4,1,3,nan
8/26/2020 14:04:50,1.1.46,2,3.80,1,FR1,Pellet,Left,4,1,4,0
8/26/2020 14:05:01,1.1.46,2,3.80,0,FR1,Poke,Left,5,1,4,nan
8/26/2020 14:05:04,1.1.46,2,3.80,1,FR1,Pellet,Left,5,1,5,1
8/26/2020 14:08:46,1.1.46,2,3.80,0,FR1,Poke,Left,6,1,5,nan
8/26/2020 14:08:49,1.1.46,2,3.80,1,FR1,Pellet,Left,6,1,6,1
8/26/2020 14:09:12,1.1.46,2,3.80,0,FR1,Poke,Left,7,1,6,nan
8/26/2020 14:09:15,1.1.46,2,3.80,1,FR1,Pellet,Left,7,1,7,0
8/26/2020 14:10:30,1.1.46,2,3.80,0,FR1,Poke,Left,8,1,7,nan
8/26/2020 14:10:33,1.1.46,2,3.80,1,FR1,Pellet,Left,8,1,8,1
8/26/2020 16:10:00,1.1.46,2,3.80,0,FR1,Poke,Left,9,1,8,nan
8/26/2020 16:10:03,1.1.46,2,3.79,1,FR1,Pellet,Left,9,1,9,1
8/26/2020 16:11:11,1.1.46,2,3.79,0,FR1,Poke,Left,10,1,9,nan
8/26/2020 16:11:14,1.1.46,2,3.79,1,FR1,Pellet,Left,10,1,10,1
8/26/2020 16:11:37,1.1.46,2,3.79,0,FR1,Poke,Left,11,1,10,nan
8/26/2020 16:11:39,1.1.46,2,3.79,1,FR1,Pellet,Left,11,1,11,0
8/26/2020 16:12:10,1.1.46,2,3.79,0,FR1,Poke,Left,12,1,11,nan
8/26/2020 16:12:33,1.1.46,2,3.79,1,FR1,Pellet,Left,12,1,12,21
