MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/26/2020 14:00:41,1.1.46,700,3.91,0,FR1,Poke,Left,1,0,0,nan
8/26/2020 14:00:44,1.1.46,700,3.91,1,FR1,Pellet,Left,1,0,1,1
8/26/2020 14:01:01,1.1.46,700,3.91,0,FR1,Poke,Left,2,0,1,nan
8/26/2020 14:01:10,1.1.46,700,3.91,1,FR1,Pellet,Left,2,0,2,7
8/26/2020 14:01:23,1.1.46,700,3.91,0,FR1,Poke,Left,3,0,2,nan
8/26/2020 14:01:41,1.1.46,700,3.91,1,FR1,Pellet,Left,3,0,3,16
8/26/2020 14:01:43,1.1.46,700,3.91,0,FR1,Poke,Left,4,0,3,nan
8/26/2020 14:02:02,1.1.46,700,3.91,3,FR1,Pellet,Left,4,0,4,14
8/26/2020 14:02:20,1.1.46,700,3.91,0,FR1,Poke,Left,5,0,4,nan
8/26/2020 14:02:39,1.1.46,700,3.91,1,FR1,Pellet,Left,5,0,5,17
8/26/2020 14:03:37,1.1.46,700,3.91,0,FR1,Poke,Left,6,0,5,nan
8/26/2020 14:03:40,1.1.46,700,3.91,1,FR1,Pellet,Left,6,0,6,1
8/26/2020 14:04:03,1.1.46,700,3.91,0,FR1,Poke,Left,7,0,6,nan
8/26/2020 14:04:06,1.1.46,700,3.91,1,FR1,Pellet,Left,7,0,7,1
8/26/2020 14:04:24,1.1.46,700,3.91,0,FR1,Poke,Left,8,0,7,nan
8/26/2020 14:04:38,1.1.46,700,3.91,2,FR1,Pellet,Left,8,0,8,11
8/26/2020 14:10:10,1.1.46,700,3.91,0,FR1,Poke,Left,9,0,8,nan
8/26/2020 14:12:48,1.1.46,700,3.91,1,FR1,Pellet,Left,9,0,9,Timed_out
8/26/2020 14:12:49,1.1.46,700,3.91,0,FR1,Poke,Left,10,0,9,nan
8/26/2020 14:13:17,1.1.46,700,3.91,1,FR1,Pellet,Left,10,0,10,25
8/26/2020 14:13:18,1.1.46,700,3.91,0,FR1,Poke,Left,11,0,10,nan
8/26/2020 14:13:21,1.1.46,700,3.91,1,FR1,Pellet,Left,11,0,11,1
8/26/2020 16:21:38,1.1.46,700,3.91,0,FR1,Poke,Left,12,0,11,nan
8/26/2020 16:21:41,1.1.46,700,3.89,1,FR1,Pellet,Left,12,0,12,1
8/26/2020 16:22:02,1.1.46,700,3.89,0,FR1,Poke,Left,13,0,12,nan
8/26/2020 16:22:08,1.1.46,700,3.89,3,FR1,Pellet,Left,13,0,13,1
8/26/2020 16:22:28,1.1.46,700,3.89,0,FR1,Poke,Left,14,0,13,nan
8/26/2020 16:22:30,1.1.46,700,3.89,1,FR1,Pellet,Left,14,0,14,0
8/26/2020 16:22:45,1.1.46,700,3.89,0,FR1,Poke,Left,15,0,14,nan
8/26/2020 16:22:48,1.1.46,700,3.89,1,FR1,Pellet,Left,15,0,15,0
8/26/2020 16:23:15,1.1.46,700,3.89,0,FR1,Poke,Left,16,0,15,nan
8/26/2020 16:23:37,1.1.46,700,3.90,2,FR1,Pellet,Left,16,0,16,19
8/26/2020 16:23:40,1.1.46,700,3.90,0,FR1,Poke,Left,17,0,16,nan
8/26/2020 16:24:01,1.1.46,700,3.89,2,FR1,Pellet,Left,17,0,17,17
8/26/2020 16:24:26,1.1.46,700,3.89,0,FR1,Poke,Left,18,0,17,nan
8/26/2020 16:24:28,1.1.46,700,3.89,1,FR1,Pellet,Left,18,0,18,0
8/26/2020 16:24:51,1.1.46,700,3.89,0,FR1,Poke,Left,19,0,18,nan
8/26/2020 16:24:54,1.1.46,700,3.90,1,FR1,Pellet,Left,19,0,19,1
8/26/2020 16:25:20,1.1.46,700,3.90,0,FR1,Poke,Left,20,0,19,nan
8/26/2020 16:25:40,1.1.46,700,3.89,3,FR1,Pellet,Left,20,0,20,15
8/26/2020 16:27:14,1.1.46,700,3.89,0,FR1,Poke,Left,21,0,20,nan
8/26/2020 16:27:17,1.1.46,700,3.89,1,FR1,Pellet,Left,21,0,21,2
8/26/2020 16:27:49,1.1.46,700,3.89,0,FR1,Poke,Left,22,0,21,nan
8/26/2020 16:27:53,1.1.46,700,3.89,2,FR1,Pellet,Left,22,0,22,1
8/26/2020 16:28:19,1.1.46,700,3.89,0,FR1,Poke,Left,23,0,22,nan
8/26/2020 16:28:40,1.1.46,700,3.89,2,FR1,Pellet,Left,23,0,23,18
8/26/2020 16:29:11,1.1.46,700,3.89,0,FR1,Poke,Left,24,0,23,nan
8/26/2020 16:29:45,1.1.46,700,3.89,2,FR1,Pellet,Left,24,0,24,3
8/26/2020 16:30:00,1.1.46,700,3.89,0,FR1,Poke,Left,25,0,24,nan
8/26/2020 16:30:32,1.1.46,700,3.90,1,FR1,Pellet,Left,25,0,25,30
8/26/2020 16:30:45,1.1.46,700,3.90,0,FR1,Poke,Left,26,0,25,nan
8/26/2020 16:30:48,1.1.46,700,3.90,1,FR1,Pellet,Left,26,0,26,1
8/26/2020 18:31:53,1.1.46,700,3.90,0,FR1,Poke,Left,27,0,26,nan
8/26/2020 18:31:56,1.1.46,700,3.89,1,FR1,Pellet,Left,27,0,27,1
8/26/2020 18:32:22,1.1.46,700,3.89,0,FR1,Poke,Left,28,0,27,nan
8/26/2020 18:32:25,1.1.46,700,3.89,1,FR1,Pellet,Left,28,0,28,1
8/26/2020 18:32:44,1.1.46,700,3.89,0,FR1,Poke,Left,29,0,28,nan
8/26/2020 18:33:04,1.1.46,700,3.89,1,FR1,Pellet,Left,29,0,29,17
8/26/2020 18:33:06,1.1.46,700,3.89,0,FR1,Poke,Left,30,0,29,nan
8/26/2020 18:33:08,1.1.46,700,3.89,1,FR1,Pellet,Left,30,0,30,1
8/26/2020 18:33:30,1.1.46,700,3.89,0,FR1,Poke,Left,31,0,30,nan
8/26/2020 18:33:43,1.1.46,700,3.89,3,FR1,Pellet,Left,31,0,31,8
8/26/2020 18:35:10,1.1.46,700,3.89,0,FR1,Poke,Left,32,0,31,nan
8/26/2020 18:35:18,1.1.46,700,3.89,4,FR1,Pellet,Left,32,0,32,1
8/26/2020 18:35:38,1.1.46,700,3.89,0,FR1,Poke,Left,33,0,32,nan
8/26/2020 18:35:41,1.1.46,700,3.89,1,FR1,Pellet,Left,33,0,33,1
8/26/2020 18:36:07,1.1.46,700,3.89,0,FR1,Poke,Left,34,0,33,nan
8/26/2020 18:36:47,1.1.46,700,3.89,1,FR1,Pellet,Left,34,0,34,38
8/26/2020 18:36:52,1.1.46,700,3.89,0,FR1,Poke,Left,34,1,34,nan
8/26/2020 18:36:55,1.1.46,700,3.89,0,FR1,Poke,Left,34,2,34,nan
8/26/2020 18:37:08,1.1.46,700,3.89,0,FR1,Poke,Left,34,3,34,nan
8/26/2020 18:46:30,1.1.46,700,3.89,0,FR1,Poke,Left,35,3,34,nan
8/26/2020 18:46:50,1.1.46,700,3.89,3,FR1,Pellet,Left,35,3,35,15
8/26/2020 18:48:31,1.1.46,700,3.89,0,FR1,Poke,Left,36,3,35,nan
8/26/2020 18:48:34,1.1.46,700,3.89,1,FR1,Pellet,Left,36,3,36,1
8/26/2020 18:50:40,1.1.46,700,3.89,0,FR1,Poke,Left,37,3,36,nan
8/26/2020 18:50:43,1.1.46,700,3.89,1,FR1,Pellet,Left,37,3,37,1
8/26/2020 18:51:08,1.1.46,700,3.89,0,FR1,Poke,Left,38,3,37,nan
8/26/2020 18:51:31,1.1.46,700,3.89,1,FR1,Pellet,Left,38,3,38,21
8/26/2020 18:51:34,1.1.46,700,3.89,0,FR1,Poke,Left,39,3,38,nan
8/26/2020 18:51:37,1.1.46,700,3.89,1,FR1,Pellet,Left,39,3,39,1
8/26/2020 18:52:07,1.1.46,700,3.89,0,FR1,Poke,Left,40,3,39,nan
8/26/2020 18:52:10,1.1.46,700,3.89,1,FR1,Pellet,Left,40,3,40,1
8/26/2020 18:53:17,1.1.46,700,3.89,0,FR1,Poke,Left,40,4,40,nan
8/26/2020 18:53:18,1.1.46,700,3.89,0,FR1,Poke,Left,40,5,40,nan
8/26/2020 18:57:51,1.1.46,700,3.89,0,FR1,Poke,Left,41,5,40,nan
8/26/2020 18:57:56,1.1.46,700,3.89,2,FR1,Pellet,Left,41,5,41,1
8/26/2020 18:58:19,1.1.46,700,3.89,0,FR1,Poke,Left,42,5,41,nan
8/26/2020 18:58:22,1.1.46,700,3.89,1,FR1,Pellet,Left,42,5,42,1
8/26/2020 19:17:34,1.1.46,700,3.89,0,FR1,Poke,Left,43,5,42,nan
8/26/2020 19:17:37,1.1.46,700,3.89,1,FR1,Pellet,Left,43,5,43,1
8/26/2020 19:18:04,1.1.46,700,3.89,0,FR1,Poke,Left,44,5,43,nan
8/26/2020 19:18:34,1.1.46,700,3.89,1,FR1,Pellet,Left,44,5,44,1
8/26/2020 19:18:36,1.1.46,700,3.89,0,FR1,Poke,Left,45,5,44,nan
8/26/2020 19:19:00,1.1.46,700,3.89,1,FR1,Pellet,Left,45,5,45,22
8/26/2020 19:19:02,1.1.46,700,3.89,0,FR1,Poke,Left,46,5,45,nan
8/26/2020 19:19:04,1.1.46,700,3.89,1,FR1,Pellet,Left,46,5,46,0
8/26/2020 19:19:28,1.1.46,700,3.89,0,FR1,Poke,Left,47,5,46,nan
8/26/2020 19:19:31,1.1.46,700,3.89,1,FR1,Pellet,Left,47,5,47,1
8/26/2020 19:20:01,1.1.46,700,3.89,0,FR1,Poke,Left,48,5,47,nan
8/26/2020 19:20:29,1.1.46,700,3.89,1,FR1,Pellet,Left,48,5,48,26
8/26/2020 19:20:30,1.1.46,700,3.89,0,FR1,Poke,Left,49,5,48,nan
