MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/26/2020 15:47:58,1.1.46,583,3.98,0,FR1,Poke,Left,1,0,0,nan
8/26/2020 15:48:12,1.1.46,583,3.94,3,FR1,Pellet,Left,1,0,1,8
8/26/2020 15:48:52,1.1.46,583,3.94,0,FR1,Poke,Left,2,0,1,nan
8/26/2020 15:48:56,1.1.46,583,3.94,1,FR1,Pellet,Left,2,0,2,2
8/26/2020 15:49:59,1.1.46,583,3.94,0,FR1,Poke,Left,3,0,2,nan
8/26/2020 15:50:02,1.1.46,583,3.94,1,FR1,Pellet,Left,3,0,3,1
8/26/2020 15:50:23,1.1.46,583,3.94,0,FR1,Poke,Left,4,0,3,nan
8/26/2020 15:50:26,1.1.46,583,3.94,1,FR1,Pellet,Left,4,0,4,1
8/26/2020 15:50:46,1.1.46,583,3.94,0,FR1,Poke,Left,5,0,4,nan
8/26/2020 15:50:48,1.1.46,583,3.94,1,FR1,Pellet,Left,5,0,5,0
8/26/2020 15:50:55,1.1.46,583,3.94,0,FR1,Poke,Left,6,0,5,nan
8/26/2020 15:54:12,1.1.46,583,3.94,1,FR1,Pellet,Left,6,0,6,Timed_out
8/26/2020 15:54:27,1.1.46,583,3.94,0,FR1,Poke,Left,6,1,6,nan
8/26/2020 15:55:25,1.1.46,583,3.94,0,FR1,Poke,Left,7,1,6,nan
8/26/2020 15:55:28,1.1.46,583,3.94,1,FR1,Pellet,Left,7,1,7,1
8/26/2020 15:55:46,1.1.46,583,3.94,0,FR1,Poke,Left,8,1,7,nan
8/26/2020 15:56:12,1.1.46,583,3.94,1,FR1,Pellet,Left,8,1,8,24
8/26/2020 17:35:25,1.1.46,583,3.94,0,FR1,Poke,Left,8,2,8,nan
8/26/2020 17:35:52,1.1.46,583,3.94,0,FR1,Poke,Left,9,2,8,nan
8/26/2020 17:35:55,1.1.46,583,3.93,1,FR1,Pellet,Left,9,2,9,1
8/26/2020 17:36:11,1.1.46,583,3.93,0,FR1,Poke,Left,10,2,9,nan
8/26/2020 17:36:14,1.1.46,583,3.93,1,FR1,Pellet,Left,10,2,10,1
8/26/2020 17:36:49,1.1.46,583,3.93,0,FR1,Poke,Left,11,2,10,nan
8/26/2020 17:36:52,1.1.46,583,3.93,1,FR1,Pellet,Left,11,2,11,0
8/26/2020 17:37:22,1.1.46,583,3.93,0,FR1,Poke,Left,12,2,11,nan
8/26/2020 17:37:55,1.1.46,583,3.93,1,FR1,Pellet,Left,12,2,12,31
8/26/2020 17:37:56,1.1.46,583,3.93,0,FR1,Poke,Left,13,2,12,nan
8/26/2020 17:37:59,1.1.46,583,3.93,1,FR1,Pellet,Left,13,2,13,0
8/26/2020 17:38:35,1.1.46,583,3.93,0,FR1,Poke,Left,14,2,13,nan
8/26/2020 19:05:59,1.1.46,583,3.93,1,FR1,Pellet,Left,14,2,14,Timed_out
8/26/2020 19:06:15,1.1.46,583,3.93,0,FR1,Poke,Left,15,2,14,nan
8/26/2020 19:06:18,1.1.46,583,3.93,1,FR1,Pellet,Left,15,2,15,1
8/26/2020 19:06:39,1.1.46,583,3.93,0,FR1,Poke,Left,16,2,15,nan
8/26/2020 19:06:42,1.1.46,583,3.93,1,FR1,Pellet,Left,16,2,16,1
8/26/2020 19:06:59,1.1.46,583,3.93,0,FR1,Poke,Left,17,2,16,nan
8/26/2020 19:07:02,1.1.46,583,3.93,1,FR1,Pellet,Left,17,2,17,1
8/26/2020 19:07:32,1.1.46,583,3.93,0,FR1,Poke,Left,18,2,17,nan
8/26/2020 19:07:35,1.1.46,583,3.94,1,FR1,Pellet,Left,18,2,18,0
8/26/2020 19:08:01,1.1.46,583,3.94,0,FR1,Poke,Left,19,2,18,nan
8/26/2020 19:08:04,1.1.46,583,3.93,1,FR1,Pellet,Left,19,2,19,1
8/26/2020 19:08:23,1.1.46,583,3.93,0,FR1,Poke,Left,20,2,19,nan
8/26/2020 19:08:26,1.1.46,583,3.93,1,FR1,Pellet,Left,20,2,20,0
8/26/2020 19:08:51,1.1.46,583,3.93,0,FR1,Poke,Left,21,2,20,nan
8/26/2020 19:08:55,1.1.46,583,3.94,1,FR1,Pellet,Left,21,2,21,0
8/26/2020 20:24:15,1.1.46,583,3.94,0,FR1,Poke,Left,22,2,21,nan
8/26/2020 20:24:18,1.1.46,583,3.93,1,FR1,Pellet,Left,22,2,22,1
8/26/2020 20:24:40,1.1.46,583,3.93,0,FR1,Poke,Left,23,2,22,nan
8/26/2020 20:24:43,1.1.46,583,3.93,1,FR1,Pellet,Left,23,2,23,1
8/26/2020 20:25:02,1.1.46,583,3.93,0,FR1,Poke,Left,24,2,23,nan
8/26/2020 20:25:05,1.1.46,583,3.93,1,FR1,Pellet,Left,24,2,24,0
8/26/2020 20:27:22,1.1.46,583,3.93,0,FR1,Poke,Left,24,3,24,nan
8/26/2020 20:27:27,1.1.46,583,3.93,0,FR1,Poke,Left,25,3,24,nan
8/26/2020 20:27:31,1.1.46,583,3.93,1,FR1,Pellet,Left,25,3,25,2
8/26/2020 20:27:56,1.1.46,583,3.93,0,FR1,Poke,Left,26,3,25,nan
8/26/2020 20:28:26,1.1.46,583,3.93,1,FR1,Pellet,Left,26,3,26,28
8/26/2020 20:28:28,1.1.46,583,3.93,0,FR1,Poke,Left,27,3,26,nan
8/26/2020 20:28:31,1.1.46,583,3.93,1,FR1,Pellet,Left,27,3,27,1
8/26/2020 20:51:34,1.1.46,583,3.93,0,FR1,Poke,Left,28,3,27,nan
8/26/2020 20:51:37,1.1.46,583,3.93,1,FR1,Pellet,Left,28,3,28,1
8/26/2020 20:52:10,1.1.46,583,3.93,0,FR1,Poke,Left,29,3,28,nan
8/26/2020 20:52:13,1.1.46,583,3.93,1,FR1,Pellet,Left,29,3,29,1
8/26/2020 20:52:35,1.1.46,583,3.93,0,FR1,Poke,Left,30,3,29,nan
8/26/2020 20:52:38,1.1.46,583,3.93,1,FR1,Pellet,Left,30,3,30,1
8/26/2020 20:58:02,1.1.46,583,3.93,0,FR1,Poke,Left,31,3,30,nan
8/26/2020 20:58:06,1.1.46,583,3.93,1,FR1,Pellet,Left,31,3,31,0
8/26/2020 20:59:27,1.1.46,583,3.93,0,FR1,Poke,Left,32,3,31,nan
8/26/2020 20:59:30,1.1.46,583,3.93,1,FR1,Pellet,Left,32,3,32,1
8/26/2020 20:59:52,1.1.46,583,3.93,0,FR1,Poke,Left,33,3,32,nan
8/26/2020 20:59:55,1.1.46,583,3.93,1,FR1,Pellet,Left,33,3,33,1
8/26/2020 21:03:20,1.1.46,583,3.93,0,FR1,Poke,Left,34,3,33,nan
8/26/2020 21:03:24,1.1.46,583,3.93,1,FR1,Pellet,Left,34,3,34,2
8/26/2020 21:12:53,1.1.46,583,3.93,0,FR1,Poke,Left,35,3,34,nan
8/26/2020 21:12:56,1.1.46,583,3.93,1,FR1,Pellet,Left,35,3,35,1
8/26/2020 21:13:17,1.1.46,583,3.93,0,FR1,Poke,Left,36,3,35,nan
8/26/2020 21:13:43,1.1.46,583,3.93,1,FR1,Pellet,Left,36,3,36,23
8/26/2020 21:13:44,1.1.46,583,3.93,0,FR1,Poke,Left,37,3,36,nan
8/26/2020 21:13:47,1.1.46,583,3.93,1,FR1,Pellet,Left,37,3,37,1
8/26/2020 21:14:19,1.1.46,583,3.93,0,FR1,Poke,Left,38,3,37,nan
8/26/2020 21:14:22,1.1.46,583,3.93,1,FR1,Pellet,Left,38,3,38,1
8/26/2020 21:14:37,1.1.46,583,3.93,0,FR1,Poke,Left,39,3,38,nan
8/26/2020 21:14:40,1.1.46,583,3.93,1,FR1,Pellet,Left,39,3,39,0
8/26/2020 21:15:03,1.1.46,583,3.93,0,FR1,Poke,Left,40,3,39,nan
8/26/2020 21:15:06,1.1.46,583,3.93,1,FR1,Pellet,Left,40,3,40,1
8/26/2020 21:15:33,1.1.46,583,3.93,0,FR1,Poke,Left,41,3,40,nan
8/26/2020 21:15:36,1.1.46,583,3.93,1,FR1,Pellet,Left,41,3,41,1
8/26/2020 21:16:03,1.1.46,583,3.93,0,FR1,Poke,Left,42,3,41,nan
8/26/2020 21:16:06,1.1.46,583,3.93,1,FR1,Pellet,Left,42,3,42,1
8/26/2020 21:16:51,1.1.46,583,3.93,0,FR1,Poke,Left,43,3,42,nan
8/26/2020 21:16:53,1.1.46,583,3.93,1,FR1,Pellet,Left,43,3,43,0
8/26/2020 21:20:41,1.1.46,583,3.93,0,FR1,Poke,Left,43,4,43,nan
8/26/2020 21:23:46,1.1.46,583,3.93,0,FR1,Poke,Left,44,4,43,nan
8/26/2020 21:23:49,1.1.46,583,3.93,1,FR1,Pellet,Left,44,4,44,0
8/26/2020 21:24:16,1.1.46,583,3.93,0,FR1,Poke,Left,45,4,44,nan
8/26/2020 21:24:18,1.1.46,583,3.93,1,FR1,Pellet,Left,45,4,45,0
8/26/2020 21:25:09,1.1.46,583,3.93,0,FR1,Poke,Left,46,4,45,nan
8/26/2020 21:25:11,1.1.46,583,3.93,1,FR1,Pellet,Left,46,4,46,0
8/26/2020 21:32:13,1.1.46,583,3.93,0,FR1,Poke,Left,47,4,46,nan
8/26/2020 21:32:17,1.1.46,583,3.93,2,FR1,Pellet,Left,47,4,47,0
8/26/2020 21:32:45,1.1.46,583,3.93,0,FR1,Poke,Left,48,4,47,nan
8/26/2020 21:32:48,1.1.46,583,3.93,1,FR1,Pellet,Left,48,4,48,1
8/26/2020 21:36:09,1.1.46,583,3.93,0,FR1,Poke,Left,49,4,48,nan
8/26/2020 21:36:12,1.1.46,583,3.93,1,FR1,Pellet,Left,49,4,49,1
8/26/2020 22:24:00,1.1.46,583,3.93,0,FR1,Poke,Left,50,4,49,nan
8/26/2020 22:24:03,1.1.46,583,3.93,1,FR1,Pellet,Left,50,4,50,1
8/26/2020 22:24:24,1.1.46,583,3.93,0,FR1,Poke,Left,51,4,50,nan
8/26/2020 22:24:27,1.1.46,583,3.93,1,FR1,Pellet,Left,51,4,51,1
8/26/2020 22:24:50,1.1.46,583,3.93,0,FR1,Poke,Left,52,4,51,nan
8/26/2020 22:24:55,1.1.46,583,3.92,2,FR1,Pellet,Left,52,4,52,1
8/26/2020 22:25:19,1.1.46,583,3.92,0,FR1,Poke,Left,53,4,52,nan
8/26/2020 22:25:22,1.1.46,583,3.92,1,FR1,Pellet,Left,53,4,53,1
8/26/2020 22:25:47,1.1.46,583,3.92,0,FR1,Poke,Left,54,4,53,nan
8/26/2020 22:25:50,1.1.46,583,3.92,1,FR1,Pellet,Left,54,4,54,1
8/26/2020 22:26:15,1.1.46,583,3.92,0,FR1,Poke,Left,55,4,54,nan
8/26/2020 22:26:18,1.1.46,583,3.92,1,FR1,Pellet,Left,55,4,55,1
8/26/2020 22:40:12,1.1.46,583,3.92,0,FR1,Poke,Left,56,4,55,nan
8/26/2020 22:40:15,1.1.46,583,3.92,1,FR1,Pellet,Left,56,4,56,1
8/26/2020 22:40:47,1.1.46,583,3.92,0,FR1,Poke,Left,57,4,56,nan
8/26/2020 22:40:50,1.1.46,583,3.93,1,FR1,Pellet,Left,57,4,57,1
8/26/2020 22:41:00,1.1.46,583,3.93,0,FR1,Poke,Left,58,4,57,nan
8/26/2020 22:41:03,1.1.46,583,3.92,1,FR1,Pellet,Left,58,4,58,1
8/26/2020 22:41:37,1.1.46,583,3.92,0,FR1,Poke,Left,59,4,58,nan
8/26/2020 22:41:40,1.1.46,583,3.92,1,FR1,Pellet,Left,59,4,59,1
8/26/2020 22:42:04,1.1.46,583,3.92,0,FR1,Poke,Left,60,4,59,nan
8/26/2020 22:42:08,1.1.46,583,3.92,1,FR1,Pellet,Left,60,4,60,0
8/26/2020 22:42:25,1.1.46,583,3.92,0,FR1,Poke,Left,61,4,60,nan
8/26/2020 22:42:28,1.1.46,583,3.92,1,FR1,Pellet,Left,61,4,61,0
8/26/2020 22:42:50,1.1.46,583,3.92,0,FR1,Poke,Left,62,4,61,nan
8/26/2020 22:42:53,1.1.46,583,3.93,1,FR1,Pellet,Left,62,4,62,1
8/26/2020 22:43:20,1.1.46,583,3.93,0,FR1,Poke,Left,63,4,62,nan
8/26/2020 22:43:22,1.1.46,583,3.92,1,FR1,Pellet,Left,63,4,63,0
8/26/2020 22:43:58,1.1.46,583,3.92,0,FR1,Poke,Left,64,4,63,nan
8/26/2020 22:44:01,1.1.46,583,3.93,1,FR1,Pellet,Left,64,4,64,0
8/26/2020 22:44:23,1.1.46,583,3.93,0,FR1,Poke,Left,65,4,64,nan
8/26/2020 22:44:26,1.1.46,583,3.92,1,FR1,Pellet,Left,65,4,65,1
8/26/2020 22:54:59,1.1.46,583,3.92,0,FR1,Poke,Left,66,4,65,nan
8/26/2020 22:55:02,1.1.46,583,3.92,1,FR1,Pellet,Left,66,4,66,1
8/26/2020 22:56:22,1.1.46,583,3.92,0,FR1,Poke,Left,66,5,66,nan
8/26/2020 22:56:57,1.1.46,583,3.92,0,FR1,Poke,Left,67,5,66,nan
8/26/2020 22:57:00,1.1.46,583,3.92,1,FR1,Pellet,Left,67,5,67,0
8/26/2020 22:58:59,1.1.46,583,3.92,0,FR1,Poke,Left,68,5,67,nan
8/26/2020 23:00:02,1.1.46,583,3.92,2,FR1,Pellet,Left,68,5,68,60
8/26/2020 23:00:05,1.1.46,583,3.92,0,FR1,Poke,Left,69,5,68,nan
8/26/2020 23:00:07,1.1.46,583,3.92,1,FR1,Pellet,Left,69,5,69,0
8/26/2020 23:00:50,1.1.46,583,3.92,0,FR1,Poke,Left,70,5,69,nan
8/26/2020 23:00:53,1.1.46,583,3.92,1,FR1,Pellet,Left,70,5,70,1
8/26/2020 23:01:13,1.1.46,583,3.92,0,FR1,Poke,Left,71,5,70,nan
8/26/2020 23:01:16,1.1.46,583,3.92,1,FR1,Pellet,Left,71,5,71,1
8/26/2020 23:01:38,1.1.46,583,3.92,0,FR1,Poke,Left,72,5,71,nan
8/26/2020 23:01:41,1.1.46,583,3.92,1,FR1,Pellet,Left,72,5,72,1
8/26/2020 23:52:58,1.1.46,583,3.92,0,FR1,Poke,Left,73,5,72,nan
8/26/2020 23:53:01,1.1.46,583,3.91,1,FR1,Pellet,Left,73,5,73,1
8/26/2020 23:53:23,1.1.46,583,3.91,0,FR1,Poke,Left,74,5,73,nan
8/26/2020 23:53:26,1.1.46,583,3.91,1,FR1,Pellet,Left,74,5,74,1
8/26/2020 23:53:45,1.1.46,583,3.91,0,FR1,Poke,Left,75,5,74,nan
8/26/2020 23:53:48,1.1.46,583,3.91,1,FR1,Pellet,Left,75,5,75,1
8/26/2020 23:54:45,1.1.46,583,3.91,0,FR1,Poke,Left,76,5,75,nan
8/26/2020 23:54:48,1.1.46,583,3.92,1,FR1,Pellet,Left,76,5,76,1
8/26/2020 23:55:09,1.1.46,583,3.92,0,FR1,Poke,Left,77,5,76,nan
8/26/2020 23:55:12,1.1.46,583,3.92,1,FR1,Pellet,Left,77,5,77,1
8/26/2020 23:55:33,1.1.46,583,3.92,0,FR1,Poke,Left,78,5,77,nan
8/26/2020 23:55:36,1.1.46,583,3.91,1,FR1,Pellet,Left,78,5,78,1
8/26/2020 23:56:07,1.1.46,583,3.91,0,FR1,Poke,Left,79,5,78,nan
8/26/2020 23:56:38,1.1.46,583,3.91,1,FR1,Pellet,Left,79,5,79,29
8/26/2020 23:56:41,1.1.46,583,3.91,0,FR1,Poke,Left,80,5,79,nan
8/26/2020 23:56:44,1.1.46,583,3.91,1,FR1,Pellet,Left,80,5,80,0
8/27/2020 0:16:30,1.1.46,583,3.91,0,FR1,Poke,Left,81,5,80,nan
8/27/2020 0:16:34,1.1.46,583,3.91,1,FR1,Pellet,Left,81,5,81,2
8/27/2020 0:17:04,1.1.46,583,3.91,0,FR1,Poke,Left,82,5,81,nan
8/27/2020 0:17:35,1.1.46,583,3.92,1,FR1,Pellet,Left,82,5,82,29
8/27/2020 0:17:36,1.1.46,583,3.92,0,FR1,Poke,Left,83,5,82,nan
8/27/2020 0:17:39,1.1.46,583,3.91,1,FR1,Pellet,Left,83,5,83,0
8/27/2020 0:18:02,1.1.46,583,3.91,0,FR1,Poke,Left,84,5,83,nan
8/27/2020 0:18:06,1.1.46,583,3.91,2,FR1,Pellet,Left,84,5,84,1
8/27/2020 0:18:28,1.1.46,583,3.91,0,FR1,Poke,Left,85,5,84,nan
8/27/2020 0:18:31,1.1.46,583,3.92,1,FR1,Pellet,Left,85,5,85,1
8/27/2020 0:19:06,1.1.46,583,3.92,0,FR1,Poke,Left,86,5,85,nan
8/27/2020 0:19:09,1.1.46,583,3.92,1,FR1,Pellet,Left,86,5,86,1
8/27/2020 0:19:30,1.1.46,583,3.92,0,FR1,Poke,Left,87,5,86,nan
8/27/2020 0:19:33,1.1.46,583,3.92,1,FR1,Pellet,Left,87,5,87,1
8/27/2020 0:20:52,1.1.46,583,3.92,0,FR1,Poke,Left,87,6,87,nan
8/27/2020 1:24:36,1.1.46,583,3.92,0,FR1,Poke,Left,88,6,87,nan
8/27/2020 1:24:40,1.1.46,583,3.91,1,FR1,Pellet,Left,88,6,88,2
8/27/2020 1:25:05,1.1.46,583,3.91,0,FR1,Poke,Left,89,6,88,nan
8/27/2020 1:25:07,1.1.46,583,3.91,1,FR1,Pellet,Left,89,6,89,1
8/27/2020 1:25:26,1.1.46,583,3.91,0,FR1,Poke,Left,90,6,89,nan
8/27/2020 1:25:29,1.1.46,583,3.91,1,FR1,Pellet,Left,90,6,90,1
8/27/2020 1:25:46,1.1.46,583,3.91,0,FR1,Poke,Left,91,6,90,nan
8/27/2020 1:26:11,1.1.46,583,3.91,1,FR1,Pellet,Left,91,6,91,23
8/27/2020 1:26:13,1.1.46,583,3.91,0,FR1,Poke,Left,92,6,91,nan
8/27/2020 1:26:15,1.1.46,583,3.91,1,FR1,Pellet,Left,92,6,92,0
8/27/2020 1:26:44,1.1.46,583,3.92,0,FR1,Poke,Left,93,6,92,nan
8/27/2020 1:26:47,1.1.46,583,3.91,1,FR1,Pellet,Left,93,6,93,1
8/27/2020 1:27:15,1.1.46,583,3.91,0,FR1,Poke,Left,94,6,93,nan
8/27/2020 1:27:18,1.1.46,583,3.91,1,FR1,Pellet,Left,94,6,94,1
8/27/2020 2:15:39,1.1.46,583,3.91,0,FR1,Poke,Left,95,6,94,nan
8/27/2020 2:15:43,1.1.46,583,3.91,1,FR1,Pellet,Left,95,6,95,1
8/27/2020 2:16:43,1.1.46,583,3.91,0,FR1,Poke,Left,96,6,95,nan
8/27/2020 2:16:45,1.1.46,583,3.91,1,FR1,Pellet,Left,96,6,96,1
8/27/2020 2:17:13,1.1.46,583,3.91,0,FR1,Poke,Left,97,6,96,nan
8/27/2020 2:17:16,1.1.46,583,3.91,1,FR1,Pellet,Left,97,6,97,0
8/27/2020 2:17:35,1.1.46,583,3.91,0,FR1,Poke,Left,98,6,97,nan
8/27/2020 2:17:38,1.1.46,583,3.91,1,FR1,Pellet,Left,98,6,98,0
8/27/2020 2:18:00,1.1.46,583,3.91,0,FR1,Poke,Left,99,6,98,nan
8/27/2020 2:18:03,1.1.46,583,3.91,1,FR1,Pellet,Left,99,6,99,1
8/27/2020 2:18:21,1.1.46,583,3.91,0,FR1,Poke,Left,100,6,99,nan
8/27/2020 2:18:24,1.1.46,583,3.91,1,FR1,Pellet,Left,100,6,100,0
8/27/2020 2:18:59,1.1.46,583,3.91,0,FR1,Poke,Left,101,6,100,nan
8/27/2020 2:19:01,1.1.46,583,3.91,1,FR1,Pellet,Left,101,6,101,0
8/27/2020 2:19:24,1.1.46,583,3.91,0,FR1,Poke,Left,102,6,101,nan
