Group,PelletsPerHour,MealsPerDay,PelletsPerMeal,%PelletsWithinMeals
Night,9.979793683,9.876621073,11.55172414,88.48758465
Night,11.11013833,9.113434315,15.33962264,92.43557772
Night,12.96967802,13.95788677,10.59756098,94.19354839
Night,11.54700852,12.49549324,12.12676056,94.33656958
Night,10.6997017,14.03508772,8.240963855,81.58263305
Night,15.51164139,15.7390137,11.80434783,91.89189189
Night,9.86445374,11.78109642,9.420289855,82.91605302
Night,9.71616526,9.72173968,11.22807018,90.32520325
Night,9.786412297,10.11918937,12.68333333,89.56276446
Night,9.834258557,10.3725163,6.606557377,58.50540806
Day,8.772692974,8.514328511,10.12,85.02538071
Day,5.67577155,4.298789771,11.96,95.42253521
Day,6.794773984,7.149161518,10.5952381,93.84449244
Day,5.741984309,5.455778738,9.709677419,94.61538462
Day,9.371325346,8.45487212,9.66,82.80871671
Day,9.29978545,8.553811792,10.88,91.41414141
Day,9.42894019,7.171102166,11.30952381,80.24691358
Day,7.761766914,7.163387132,11.21428571,91.29814551
Day,10.26995709,7.08343256,12.11904762,90.0591716
Day,4.679460814,5.271278773,6.193548387,58.5755814
