MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
6/9/2020 16:06:44,0,4.00,0,1,Poke,Left,0,1,0,nan
6/9/2020 16:11:09,0,4.00,0,1,Poke,Left,1,1,0,nan
6/9/2020 16:11:20,0,4.05,3,1,Pellet,Left,1,1,1,1
6/9/2020 16:19:39,0,3.98,0,1,Poke,Left,1,2,1,nan
6/9/2020 16:20:56,0,3.98,0,1,Poke,Left,1,3,1,nan
6/9/2020 16:21:09,0,3.99,0,1,Poke,Left,1,4,1,nan
6/9/2020 16:21:12,0,3.96,0,1,Poke,Left,2,4,1,nan
6/9/2020 16:21:20,0,4.03,3,1,Pellet,Left,2,4,2,1
6/9/2020 16:21:40,0,3.95,0,1,Poke,Left,3,4,2,nan
6/9/2020 16:21:44,0,4.04,1,1,Pellet,Left,3,4,3,1
6/9/2020 16:22:11,0,3.98,0,1,Poke,Left,3,5,3,nan
6/9/2020 16:22:14,0,3.98,0,1,Poke,Left,4,5,3,nan
6/9/2020 16:22:18,0,4.03,1,1,Pellet,Left,4,5,4,1
6/9/2020 16:26:41,0,4.00,0,1,Poke,Left,5,5,4,nan
6/9/2020 16:26:45,0,4.03,1,1,Pellet,Left,5,5,5,1
6/9/2020 16:30:12,0,3.99,0,1,Poke,Left,6,5,5,nan
6/9/2020 16:30:17,0,4.04,1,1,Pellet,Left,6,5,6,2
6/9/2020 16:31:17,0,3.99,0,1,Poke,Left,6,6,6,nan
6/9/2020 16:31:28,0,3.98,0,1,Poke,Left,6,7,6,nan
6/9/2020 16:34:17,0,3.99,0,1,Poke,Left,7,7,6,nan
6/9/2020 16:34:21,0,4.04,1,1,Pellet,Left,7,7,7,1
6/9/2020 16:35:45,0,3.99,0,1,Poke,Left,7,8,7,nan
6/9/2020 16:38:32,0,3.99,0,1,Poke,Left,7,9,7,nan
