MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time,,,,,,,,,,
2/21/2020 17:14,0,4.19,0,1,Poke,Left,0,1,0,nan,,,,,,,,,,
2/21/2020 17:15,0,4.18,0,1,Poke,Left,0,2,0,nan,,,,,,,,,,
2/21/2020 17:49,0,4.18,0,1,Poke,Left,1,2,0,nan,,,,,,,,,,
2/21/2020 17:49,0,4.18,3,1,Pellet,Left,1,2,1,1,,,,,,,,,,
2/21/2020 18:02,0,4.18,0,1,Poke,Left,1,3,1,nan,,,,,,,,,,
2/21/2020 18:12,0,4.17,0,1,Poke,Left,1,4,1,nan,,,,,,,,,,
2/21/2020 18:12,0,4.18,0,1,Poke,Left,1,5,1,nan,,,,,,,,,,
2/21/2020 18:56,0,4.17,0,1,Poke,Left,2,5,1,nan,,,,,,,,,,
2/21/2020 18:57,0,4.16,3,1,Pellet,Left,2,5,2,4,,,,,,,,,,
2/21/2020 19:18,0,4.16,0,1,Poke,Left,3,5,2,nan,,,,,,,,,,
2/21/2020 19:18,0,4.16,2,1,Pellet,Left,3,5,3,4,,,,,,,,,,
2/21/2020 19:20,0,4.16,0,1,Poke,Left,4,5,3,nan,,,,,,,,,,
2/21/2020 19:20,0,4.16,2,1,Pellet,Left,4,5,4,2,,,,,,,,,,
2/21/2020 19:21,0,4.16,0,1,Poke,Left,5,5,4,nan,,,,,,,,,,
2/21/2020 19:21,0,4.16,4,1,Pellet,Left,5,5,5,8,,,,,,,,,,
2/21/2020 19:22,0,4.16,0,1,Poke,Left,6,5,5,nan,,,,,,,,,,
2/21/2020 19:23,0,4.16,2,1,Pellet,Left,6,5,6,2,,,,,,,,,,
2/21/2020 19:23,0,4.16,0,1,Poke,Left,7,5,6,nan,,,,,,,,,,
2/21/2020 19:23,0,4.15,4,1,Pellet,Left,7,5,7,5,,,,,,,,,,
2/21/2020 19:24,0,4.16,0,1,Poke,Left,8,5,7,nan,,,,,,,,,,
2/21/2020 19:24,0,4.16,2,1,Pellet,Left,8,5,8,1,,,,,,,,,,
