MM:DD:YYYY hh:mm:ss, Mouse, Battery_Voltage, MotorTurns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
5/8/2020 9:29:14,24,4.16,0,1,Poke,Left,1,0,0,nan
5/8/2020 15:27:00,24,4.12,1,1,Pellet,Left,1,0,1,115
5/8/2020 15:52:19,24,4.11,0,1,Poke,Left,1,1,1,nan
5/8/2020 16:09:49,24,4.11,0,1,Poke,Left,2,1,1,nan
5/8/2020 16:10:27,24,4.11,1,1,Pellet,Left,2,1,2,2
5/8/2020 16:37:14,24,4.11,0,1,Poke,Left,2,2,2,nan
5/8/2020 16:37:34,24,4.11,0,1,Poke,Left,3,2,2,nan
5/8/2020 16:37:49,24,4.11,1,1,Pellet,Left,3,2,3,12
5/8/2020 16:50:22,24,4.11,0,1,Poke,Left,4,2,3,nan
5/8/2020 16:50:34,24,4.11,1,1,Pellet,Left,4,2,4,9
5/8/2020 16:51:42,24,4.11,0,1,Poke,Left,4,3,4,nan
5/8/2020 16:52:43,24,4.11,0,1,Poke,Left,4,4,4,nan
5/8/2020 17:11:56,24,4.11,0,1,Poke,Left,4,5,4,nan
5/8/2020 17:12:00,24,4.11,0,1,Poke,Left,4,6,4,nan
5/8/2020 17:16:22,24,4.11,0,1,Poke,Left,5,6,4,nan
5/8/2020 17:16:29,24,4.10,1,1,Pellet,Left,5,6,5,3
5/8/2020 17:18:24,24,4.11,0,1,Poke,Left,6,6,5,nan
5/8/2020 17:18:29,24,4.11,1,1,Pellet,Left,6,6,6,2
5/8/2020 17:18:54,24,4.11,0,1,Poke,Left,7,6,6,nan
5/8/2020 17:18:59,24,4.11,1,1,Pellet,Left,7,6,7,2
5/8/2020 17:19:30,24,4.11,0,1,Poke,Left,8,6,7,nan
5/8/2020 17:19:38,24,4.11,1,1,Pellet,Left,8,6,8,2
5/8/2020 17:19:55,24,4.11,0,1,Poke,Left,8,7,8,nan
5/8/2020 17:20:09,24,4.10,0,1,Poke,Left,8,8,8,nan
5/8/2020 17:21:06,24,4.11,0,1,Poke,Left,9,8,8,nan
5/8/2020 17:21:12,24,4.11,1,1,Pellet,Left,9,8,9,2
5/8/2020 17:22:09,24,4.11,0,1,Poke,Left,9,9,9,nan
5/8/2020 17:47:27,24,4.10,0,1,Poke,Left,9,10,9,nan
5/8/2020 17:47:34,24,4.10,0,1,Poke,Left,10,10,9,nan
5/8/2020 17:47:39,24,4.11,1,1,Pellet,Left,10,10,10,2
5/8/2020 17:47:51,24,4.11,0,1,Poke,Left,10,11,10,nan
5/8/2020 17:48:07,24,4.10,0,1,Poke,Left,10,12,10,nan
5/8/2020 17:48:16,24,4.10,0,1,Poke,Left,10,13,10,nan
5/8/2020 17:48:21,24,4.10,0,1,Poke,Left,11,13,10,nan
5/8/2020 17:48:26,24,4.10,1,1,Pellet,Left,11,13,11,2
5/8/2020 17:48:46,24,4.11,0,1,Poke,Left,12,13,11,nan
5/8/2020 17:48:53,24,4.11,1,1,Pellet,Left,12,13,12,2
5/8/2020 17:50:06,24,4.11,0,1,Poke,Left,13,13,12,nan
5/8/2020 17:50:12,24,4.11,1,1,Pellet,Left,13,13,13,3
5/8/2020 17:50:15,24,4.11,0,1,Poke,Left,13,14,13,nan
5/8/2020 17:50:18,24,4.10,0,1,Poke,Left,13,15,13,nan
5/8/2020 17:50:29,24,4.10,0,1,Poke,Left,13,16,13,nan
5/8/2020 18:01:25,24,4.11,0,1,Poke,Left,14,16,13,nan
5/8/2020 18:01:31,24,4.10,1,1,Pellet,Left,14,16,14,4
5/8/2020 18:04:41,24,4.11,0,1,Poke,Left,15,16,14,nan
5/8/2020 18:04:56,24,4.11,1,1,Pellet,Left,15,16,15,12
5/8/2020 18:05:01,24,4.10,0,1,Poke,Left,15,17,15,nan
5/8/2020 18:05:06,24,4.10,0,1,Poke,Left,16,17,15,nan
5/8/2020 18:08:17,24,4.10,1,1,Pellet,Left,16,17,16,153
