MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/17/2019 21:09:58,0,3.62,20,1,Left,1,1,1,10
6/17/2019 21:14:26,0,3.62,22,1,Left,2,1,2,66
6/17/2019 21:18:02,0,3.62,41,1,Left,3,1,3,63
6/17/2019 21:22:44,0,3.62,1,1,Left,4,1,4,101
6/17/2019 21:31:04,0,3.62,40,1,Left,5,4,5,104
6/17/2019 21:44:08,0,3.62,47,1,Left,6,4,6,493
6/17/2019 21:50:51,0,3.62,2,1,Left,7,4,7,106
6/17/2019 22:15:48,0,3.62,1,1,Left,8,4,8,196
6/17/2019 22:27:35,0,3.62,1,1,Left,9,5,9,96
6/17/2019 22:41:44,0,3.62,2,1,Left,10,6,10,192
6/17/2019 22:48:12,0,3.62,1,1,Left,11,6,11,93
6/17/2019 23:00:02,0,3.62,20,1,Left,12,7,12,27
6/17/2019 23:02:22,0,3.62,1,1,Left,13,7,13,109
6/17/2019 23:06:17,0,3.63,1,1,Left,14,9,14,44
6/17/2019 23:26:44,0,3.62,2,1,Left,15,10,15,16
6/17/2019 23:29:35,0,3.62,1,1,Left,16,10,16,21
6/18/2019 0:02:31,0,3.62,3,1,Left,17,11,17,15
6/18/2019 0:04:56,0,3.62,22,1,Left,18,12,18,29
6/18/2019 0:09:05,0,3.62,21,1,Left,19,12,19,25
6/18/2019 0:14:21,0,3.62,1,1,Left,20,14,20,13
6/18/2019 0:19:18,0,3.62,1,1,Left,21,15,21,4
6/18/2019 0:20:12,0,3.62,1,1,Left,22,15,22,17
6/18/2019 0:21:07,0,3.62,3,1,Left,23,15,23,2
6/18/2019 0:41:49,0,3.62,1,1,Left,24,15,24,7
6/18/2019 1:16:31,0,3.62,26,1,Left,25,18,25,2
6/18/2019 1:45:59,0,3.60,407,1,Left,27,22,26,2
6/18/2019 1:55:52,0,3.61,100,1,Left,28,30,27,16
6/18/2019 2:03:40,0,3.60,100,1,Left,29,31,28,2
6/18/2019 2:06:55,0,3.61,21,1,Left,30,32,29,14
6/18/2019 2:08:13,0,3.60,3,1,Left,31,32,30,2
6/18/2019 2:09:56,0,3.62,1,1,Left,32,35,31,2
6/18/2019 2:11:15,0,3.61,3,1,Left,33,35,32,12
6/18/2019 2:16:28,0,3.61,2,1,Left,34,38,33,20
6/18/2019 2:18:15,0,3.60,3,1,Left,35,38,34,4
6/18/2019 2:28:45,0,3.60,1,1,Left,36,39,35,4
6/18/2019 2:37:31,0,3.61,6,1,Left,37,39,36,1
6/18/2019 2:40:01,0,3.61,2,1,Left,38,39,37,2
6/18/2019 2:43:19,0,3.61,1,1,Left,39,39,38,5
6/18/2019 3:57:17,0,3.60,1,1,Left,40,41,39,4
6/18/2019 4:14:57,0,3.60,5,1,Left,41,41,40,7
6/18/2019 4:16:43,0,3.61,2,1,Left,42,41,41,4
6/18/2019 4:17:55,0,3.60,2,1,Left,43,41,42,15
6/18/2019 9:22:11,0,3.49,5088,1,Left,50,45,43,25
6/18/2019 9:26:04,0,3.49,2,1,Left,51,45,44,5
