MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
7/27/2020 11:45:07,3,4.05,0,1,Poke,Left,0,1,0,nan
7/27/2020 11:46:43,3,4.05,0,1,Poke,Left,1,1,0,nan
7/27/2020 11:46:50,3,4.05,2,1,Pellet,Left,1,1,1,2
7/27/2020 11:47:03,3,4.05,0,1,Poke,Left,2,1,1,nan
7/27/2020 11:47:08,3,4.05,1,1,Pellet,Left,2,1,2,2
7/27/2020 11:47:19,3,4.05,0,1,Poke,Left,2,2,2,nan
7/27/2020 11:48:11,3,4.05,0,1,Poke,Left,3,2,2,nan
7/27/2020 11:48:16,3,4.05,1,1,Pellet,Left,3,2,3,1
7/27/2020 11:48:30,3,4.05,0,1,Poke,Left,4,2,3,nan
7/27/2020 11:48:38,3,4.05,2,1,Pellet,Left,4,2,4,3
7/27/2020 11:50:24,3,4.05,0,1,Poke,Left,5,2,4,nan
7/27/2020 11:52:42,3,4.05,2,1,Pellet,Left,5,2,5,97
7/27/2020 11:53:32,3,4.05,0,1,Poke,Left,6,2,5,nan
7/27/2020 11:53:43,3,4.05,2,1,Pellet,Left,6,2,6,5
7/27/2020 11:56:15,3,4.05,0,1,Poke,Left,7,2,6,nan
7/27/2020 11:56:19,3,4.05,1,1,Pellet,Left,7,2,7,1
7/27/2020 11:57:44,3,4.05,0,1,Poke,Left,8,2,7,nan
7/27/2020 11:57:55,3,4.05,2,1,Pellet,Left,8,2,8,5
7/27/2020 11:59:06,3,4.05,0,1,Poke,Left,8,3,8,nan
7/27/2020 11:59:07,3,4.05,0,1,Poke,Left,9,3,8,nan
7/27/2020 11:59:14,3,4.05,1,1,Pellet,Left,9,3,9,3
7/27/2020 12:00:36,3,4.05,0,1,Poke,Left,10,3,9,nan
7/27/2020 12:06:56,3,4.05,1,1,Pellet,Left,10,3,10,276
7/27/2020 12:08:25,3,4.05,0,1,Poke,Left,10,4,10,nan
7/27/2020 12:08:34,3,4.05,0,1,Poke,Left,11,4,10,nan
7/27/2020 12:10:18,3,4.05,1,1,Pellet,Left,11,4,11,33
7/27/2020 12:14:06,3,4.05,0,1,Poke,Left,12,4,11,nan
7/27/2020 12:14:36,3,4.05,1,1,Pellet,Left,12,4,12,2
7/27/2020 12:16:03,3,4.05,0,1,Poke,Left,13,4,12,nan
7/27/2020 12:16:16,3,4.05,3,1,Pellet,Left,13,4,13,4
7/27/2020 12:22:16,3,4.05,0,1,Poke,Left,14,4,13,nan
7/27/2020 12:28:46,3,4.05,1,1,Pellet,Left,14,4,14,387
7/27/2020 12:35:03,3,4.05,0,1,Poke,Left,15,4,14,nan
7/27/2020 12:35:56,3,4.05,1,1,Pellet,Left,15,4,15,2
7/27/2020 12:39:46,3,4.05,0,1,Poke,Left,16,4,15,nan
7/27/2020 12:39:51,3,4.05,1,1,Pellet,Left,16,4,16,1
7/27/2020 12:41:19,3,4.05,0,1,Poke,Left,17,4,16,nan
7/27/2020 12:41:37,3,4.04,2,1,Pellet,Left,17,4,17,12
7/27/2020 12:42:30,3,4.05,0,1,Poke,Left,17,5,17,nan
