MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/20/2020 8:23:09,1,4.09,0,1,Poke,Left,1,0,0,nan
6/20/2020 8:23:20,1,4.09,2,1,Pellet,Left,1,0,1,6
6/20/2020 8:23:29,1,4.09,0,1,Poke,Left,1,1,1,nan
6/20/2020 8:24:49,1,4.09,0,1,Poke,Left,2,1,1,nan
6/20/2020 8:25:07,1,4.09,1,1,Pellet,Left,2,1,2,15
6/20/2020 8:26:12,1,4.09,0,1,Poke,Left,2,2,2,nan
6/20/2020 8:26:56,1,4.09,0,1,Poke,Left,3,2,2,nan
6/20/2020 8:28:02,1,4.09,1,1,Pellet,Left,3,2,3,3
6/20/2020 8:28:44,1,4.09,0,1,Poke,Left,4,2,3,nan
6/20/2020 8:30:09,1,4.09,1,1,Pellet,Left,4,2,4,82
6/20/2020 8:34:03,1,4.09,0,1,Poke,Left,5,2,4,nan
6/20/2020 8:34:14,1,4.09,2,1,Pellet,Left,5,2,5,5
6/20/2020 8:35:50,1,4.10,0,1,Poke,Left,6,2,5,nan
6/20/2020 8:36:18,1,4.09,3,1,Pellet,Left,6,2,6,20
6/20/2020 8:36:34,1,4.09,0,1,Poke,Left,7,2,6,nan
6/20/2020 8:44:21,1,4.09,1,1,Pellet,Left,7,2,7,11
6/20/2020 8:45:32,1,4.09,0,1,Poke,Left,8,2,7,nan
6/20/2020 8:47:53,1,4.09,1,1,Pellet,Left,8,2,8,3
6/20/2020 8:47:59,1,4.09,0,1,Poke,Left,9,2,8,nan
6/20/2020 8:57:23,1,4.09,1,1,Pellet,Left,9,2,9,268
6/20/2020 8:58:41,1,4.09,0,1,Poke,Left,9,3,9,nan
6/20/2020 8:59:39,1,4.09,0,1,Poke,Left,9,4,9,nan
6/20/2020 9:04:20,1,4.09,0,1,Poke,Left,9,5,9,nan
6/20/2020 9:12:25,1,4.09,0,1,Poke,Left,9,6,9,nan
6/20/2020 9:12:26,1,4.09,0,1,Poke,Left,9,7,9,nan
6/20/2020 9:12:29,1,4.09,0,1,Poke,Left,9,8,9,nan
6/20/2020 9:12:32,1,4.09,0,1,Poke,Left,9,9,9,nan
6/20/2020 9:12:34,1,4.09,0,1,Poke,Left,9,10,9,nan
6/20/2020 9:13:00,1,4.09,0,1,Poke,Left,10,10,9,nan
6/20/2020 9:13:05,1,4.09,1,1,Pellet,Left,10,10,10,2
6/20/2020 9:13:35,1,4.09,0,1,Poke,Left,11,10,10,nan
6/20/2020 9:13:40,1,4.09,1,1,Pellet,Left,11,10,11,1
6/20/2020 9:13:55,1,4.09,0,1,Poke,Left,12,10,11,nan
6/20/2020 9:14:00,1,4.09,1,1,Pellet,Left,12,10,12,1
6/20/2020 9:15:26,1,4.09,0,1,Poke,Left,13,10,12,nan
6/20/2020 9:15:39,1,4.09,1,1,Pellet,Left,13,10,13,8
6/20/2020 9:15:43,1,4.09,0,1,Poke,Left,14,10,13,nan
6/20/2020 9:20:04,1,4.09,1,1,Pellet,Left,14,10,14,42
6/20/2020 9:21:50,1,4.09,0,1,Poke,Left,14,11,14,nan
