MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
4/26/2020 16:50:17,3,3.84,0,1,Poke,Left,1,0,0,nan
4/26/2020 16:50:21,3,3.84,1,1,Pellet,Left,1,0,1,1
4/26/2020 16:53:14,3,3.84,0,1,Poke,Left,1,1,1,nan
4/26/2020 16:53:16,3,3.84,0,1,Poke,Left,1,2,1,nan
4/26/2020 16:56:02,3,3.84,0,1,Poke,Left,1,3,1,nan
4/26/2020 16:57:44,3,3.83,0,1,Poke,Left,2,3,1,nan
4/26/2020 16:57:48,3,3.84,1,1,Pellet,Left,2,3,2,2
4/26/2020 17:08:09,3,3.84,0,1,Poke,Left,3,3,2,nan
4/26/2020 17:09:33,3,3.83,20,1,Pellet,Left,3,3,3,55
4/26/2020 18:30:47,3,3.83,0,1,Poke,Left,4,3,3,nan
4/26/2020 18:31:01,3,3.83,1,1,Pellet,Left,4,3,4,10
4/26/2020 18:31:44,3,3.83,0,1,Poke,Left,5,3,4,nan
4/26/2020 18:31:50,3,3.83,1,1,Pellet,Left,5,3,5,3
4/26/2020 18:32:35,3,3.83,0,1,Poke,Left,5,4,5,nan
4/26/2020 18:43:57,3,3.83,0,1,Poke,Left,5,5,5,nan
4/26/2020 18:43:59,3,3.83,0,1,Poke,Left,5,6,5,nan
4/26/2020 18:44:16,3,3.83,0,1,Poke,Left,5,7,5,nan
4/26/2020 18:44:26,3,3.83,0,1,Poke,Left,6,7,5,nan
4/26/2020 18:44:42,3,3.83,3,1,Pellet,Left,6,7,6,8
4/26/2020 18:46:34,3,3.83,0,1,Poke,Left,6,8,6,nan
4/26/2020 19:04:45,3,3.83,0,1,Poke,Left,6,9,6,nan
4/26/2020 19:59:01,3,3.82,0,1,Poke,Left,6,10,6,nan
4/26/2020 20:37:34,3,3.82,0,1,Poke,Left,7,10,6,nan
4/26/2020 20:37:59,3,3.82,2,1,Pellet,Left,7,10,7,19
4/26/2020 20:39:58,3,3.82,0,1,Poke,Left,8,10,7,nan
4/26/2020 20:40:03,3,3.82,1,1,Pellet,Left,8,10,8,1
4/26/2020 20:41:42,3,3.82,0,1,Poke,Left,9,10,8,nan
4/26/2020 20:42:14,3,3.82,2,1,Pellet,Left,9,10,9,26
4/26/2020 20:46:03,3,3.82,0,1,Poke,Left,10,10,9,nan
4/26/2020 20:46:08,3,3.82,1,1,Pellet,Left,10,10,10,1
4/26/2020 20:50:17,3,3.82,0,1,Poke,Left,10,11,10,nan
4/26/2020 20:50:40,3,3.82,0,1,Poke,Left,10,12,10,nan
4/26/2020 20:50:47,3,3.82,0,1,Poke,Left,11,12,10,nan
4/26/2020 20:50:57,3,3.82,1,1,Pellet,Left,11,12,11,6
4/26/2020 20:53:07,3,3.82,0,1,Poke,Left,12,12,11,nan
4/26/2020 20:53:15,3,3.82,1,1,Pellet,Left,12,12,12,4
4/26/2020 20:55:09,3,3.82,0,1,Poke,Left,12,13,12,nan
4/26/2020 20:59:29,3,3.82,0,1,Poke,Left,13,13,12,nan
4/26/2020 20:59:39,3,3.82,2,1,Pellet,Left,13,13,13,3
4/26/2020 21:01:22,3,3.82,0,1,Poke,Left,14,13,13,nan
4/26/2020 21:01:29,3,3.82,1,1,Pellet,Left,14,13,14,4
4/26/2020 21:03:48,3,3.82,0,1,Poke,Left,15,13,14,nan
4/26/2020 21:03:59,3,3.82,2,1,Pellet,Left,15,13,15,5
4/26/2020 21:05:25,3,3.82,0,1,Poke,Left,16,13,15,nan
4/26/2020 21:05:31,3,3.82,1,1,Pellet,Left,16,13,16,3
4/26/2020 21:05:49,3,3.82,0,1,Poke,Left,17,13,16,nan
4/26/2020 21:05:58,3,3.82,2,1,Pellet,Left,17,13,17,4
4/26/2020 21:06:32,3,3.82,0,1,Poke,Left,18,13,17,nan
4/26/2020 21:06:42,3,3.82,2,1,Pellet,Left,18,13,18,3
4/26/2020 21:07:23,3,3.82,0,1,Poke,Left,19,13,18,nan
4/26/2020 21:07:32,3,3.82,2,1,Pellet,Left,19,13,19,3
4/26/2020 21:16:23,3,3.82,0,1,Poke,Left,20,13,19,nan
4/26/2020 21:16:35,3,3.82,2,1,Pellet,Left,20,13,20,6
4/26/2020 21:16:56,3,3.82,0,1,Poke,Left,21,13,20,nan
4/26/2020 21:17:01,3,3.82,1,1,Pellet,Left,21,13,21,1
4/26/2020 21:29:14,3,3.82,0,1,Poke,Left,22,13,21,nan
4/26/2020 21:29:24,3,3.82,2,1,Pellet,Left,22,13,22,5
4/26/2020 21:29:50,3,3.82,0,1,Poke,Left,23,13,22,nan
4/26/2020 21:29:55,3,3.82,1,1,Pellet,Left,23,13,23,2
