MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
7/26/2019,11:04:14,99,4.10,1,1,Left,1,6,1,9
7/26/2019,11:08:33,99,4.09,1,1,Left,2,7,2,52
7/26/2019,11:14:35,99,4.09,1,1,Left,3,7,3,8
7/26/2019,11:17:06,99,4.09,1,1,Left,4,10,4,2
7/26/2019,11:18:32,99,4.10,1,1,Left,5,10,5,15
7/26/2019,11:21:12,99,4.09,1,1,Left,6,12,6,14
7/26/2019,11:28:18,99,4.09,1,1,Left,7,13,7,8
7/26/2019,11:29:55,99,4.09,1,1,Left,8,14,8,1
7/26/2019,11:31:17,99,4.10,1,1,Left,9,14,9,4
7/26/2019,11:35:42,99,4.09,1,1,Left,10,14,10,8
7/26/2019,11:52:39,99,4.09,1,1,Left,11,16,11,3
7/26/2019,11:57:52,99,4.09,1,1,Left,12,16,12,33
7/26/2019,12:32:40,99,4.09,1,1,Left,13,35,13,76
7/26/2019,12:34:31,99,4.09,1,1,Left,14,35,14,2
7/26/2019,12:37:18,99,4.09,1,1,Left,15,36,15,52
7/26/2019,12:40:26,99,4.09,1,1,Left,16,37,16,3
7/26/2019,12:45:04,99,4.09,1,1,Left,17,37,17,5
7/26/2019,13:12:55,99,4.08,1,1,Left,18,37,18,2
7/26/2019,13:22:31,99,4.08,1,1,Left,19,43,19,285
7/26/2019,13:29:07,99,4.08,1,1,Left,20,45,20,201
7/26/2019,13:47:53,99,4.07,1,1,Left,21,48,21,718
7/26/2019,14:05:05,99,4.08,1,1,Left,22,48,22,704
7/26/2019,14:07:26,99,4.08,1,1,Left,23,48,23,4
7/26/2019,14:12:03,99,4.07,1,1,Left,24,48,24,99
7/26/2019,14:14:53,99,4.08,1,1,Left,25,52,25,1
7/26/2019,14:16:21,99,4.07,1,1,Left,26,54,26,2
7/26/2019,14:55:08,99,4.07,1,1,Left,27,57,27,356
7/26/2019,15:05:14,99,4.07,1,1,Left,28,68,28,6
7/26/2019,15:36:35,99,4.07,1,1,Left,29,79,29,2
7/26/2019,15:39:25,99,4.07,1,1,Left,30,87,30,1
7/26/2019,15:42:43,99,4.07,1,1,Left,31,87,31,2
7/26/2019,15:43:26,99,4.07,1,1,Left,32,87,32,2
7/26/2019,15:44:14,99,4.07,1,1,Left,33,87,33,2
7/26/2019,15:44:58,99,4.07,1,1,Left,34,89,34,4
7/26/2019,15:46:35,99,4.07,1,1,Left,35,89,35,46
7/26/2019,16:18:04,99,4.07,1,1,Left,36,89,36,35
7/26/2019,16:49:56,99,4.06,1,1,Left,37,91,37,2
7/26/2019,16:51:13,99,4.06,1,1,Left,38,92,38,2
7/26/2019,16:52:32,99,4.07,1,1,Left,39,93,39,2
7/26/2019,16:53:17,99,4.07,1,1,Left,40,93,40,3
7/26/2019,16:54:37,99,4.06,1,1,Left,41,93,41,3
7/26/2019,16:55:17,99,4.06,1,1,Left,42,93,42,2
7/26/2019,17:17:07,99,4.06,1,1,Left,43,96,43,37
7/26/2019,17:22:07,99,4.06,1,1,Left,44,96,44,2
7/26/2019,17:28:32,99,4.06,1,1,Left,45,96,45,330
7/26/2019,17:51:38,99,4.06,1,1,Left,46,96,46,851
7/26/2019,17:56:07,99,4.06,1,1,Left,47,105,47,2
7/26/2019,17:56:44,99,4.06,2,1,Left,48,105,48,2
7/26/2019,18:01:25,99,4.06,1,1,Left,49,105,49,235
7/26/2019,18:03:05,99,4.06,1,1,Left,50,105,50,3
