MM:DD:YYYY hh:mm:ss,LibaryVersion,Sessiontype,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
1/29/2021 15:59:31,1.1.4,ProRat2,3,4.23,0,1,Left,Left,1,0,0,0,nan,0.12
1/29/2021 15:59:38,1.1.4,ProRat2,3,4.23,0,1,Pellet,Left,1,0,1,1,0.31,nan
1/29/2021 15:59:53,1.1.4,ProRat2,3,4.23,0,1,Left,Left,2,0,1,1,nan,0.00
1/29/2021 15:59:55,1.1.4,ProRat2,3,4.23,0,1,Pellet,Left,2,0,2,2,0.06,nan
1/29/2021 16:02:50,1.1.4,ProRat2,3,4.23,0,2,Left,Left,3,0,2,2,nan,0.06
1/29/2021 16:04:44,1.1.4,ProRat2,3,4.23,0,2,Left,Left,4,0,2,2,nan,0.08
1/29/2021 16:04:48,1.1.4,ProRat2,3,4.23,0,2,Pellet,Left,4,0,3,3,0.06,nan
1/29/2021 16:05:10,1.1.4,ProRat2,3,4.23,0,2,Left,Left,5,0,3,3,nan,0.00
1/29/2021 16:05:12,1.1.4,ProRat2,3,4.23,0,2,Left,Left,6,0,3,3,nan,0.57
1/29/2021 16:05:13,1.1.4,ProRat2,3,4.23,0,2,Pellet,Left,6,0,4,4,0.06,nan
1/29/2021 16:07:52,1.1.4,ProRat2,3,4.23,0,3,Left,Left,7,0,4,4,nan,0.17
1/29/2021 16:13:50,1.1.4,ProRat2,3,4.23,0,3,Left,Left,8,0,4,4,nan,0.50
1/29/2021 16:14:06,1.1.4,ProRat2,3,4.23,0,3,Left,Left,9,0,4,4,nan,0.13
1/29/2021 16:14:10,1.1.4,ProRat2,3,4.23,0,3,Pellet,Left,9,0,5,5,2.20,nan
1/29/2021 16:18:34,1.1.4,ProRat2,3,4.23,0,4,Left,Left,10,0,5,5,nan,0.07
1/29/2021 16:18:35,1.1.4,ProRat2,3,4.23,0,4,Left,Left,11,0,5,5,nan,0.00
1/29/2021 16:20:18,1.1.4,ProRat2,3,4.23,0,4,Left,Left,12,0,5,5,nan,0.19
1/29/2021 16:20:20,1.1.4,ProRat2,3,4.23,0,4,Left,Left,13,0,5,5,nan,0.64
1/29/2021 16:20:34,1.1.4,ProRat2,3,4.23,0,4,Pellet,Left,13,0,6,6,10.63,nan
1/29/2021 16:20:50,1.1.4,ProRat2,3,4.23,0,5,Left,Left,14,0,6,6,nan,0.04
1/29/2021 16:21:07,1.1.4,ProRat2,3,4.23,0,5,Right,Left,14,1,6,6,nan,0.79
1/29/2021 16:21:12,1.1.4,ProRat2,3,4.23,0,5,Left,Left,15,1,6,6,nan,0.00
1/29/2021 16:21:14,1.1.4,ProRat2,3,4.23,0,5,Left,Left,16,1,6,6,nan,0.00
1/29/2021 16:21:15,1.1.4,ProRat2,3,4.23,0,5,Left,Left,17,1,6,6,nan,0.00
1/29/2021 16:21:16,1.1.4,ProRat2,3,4.23,0,5,Left,Left,18,1,6,6,nan,0.00
1/29/2021 16:21:17,1.1.4,ProRat2,3,4.23,0,5,Pellet,Left,18,1,7,7,0.06,nan
1/29/2021 16:22:37,1.1.4,ProRat2,3,4.23,0,6,Left,Left,19,1,7,7,nan,0.19
1/29/2021 16:26:00,1.1.4,ProRat2,3,4.23,0,6,Right,Left,19,2,7,7,nan,0.16
1/29/2021 16:27:58,1.1.4,ProRat2,3,4.23,0,6,Left,Left,20,2,7,7,nan,0.00
1/29/2021 16:30:22,1.1.4,ProRat2,3,4.23,0,6,Right,Left,20,3,7,7,nan,0.18
1/29/2021 16:30:34,1.1.4,ProRat2,3,4.23,0,6,Left,Left,21,3,7,7,nan,1.03
1/29/2021 16:30:37,1.1.4,ProRat2,3,4.23,0,6,Left,Left,22,3,7,7,nan,0.07
1/29/2021 16:30:39,1.1.4,ProRat2,3,4.23,0,6,Left,Left,23,3,7,7,nan,0.29
1/29/2021 16:30:41,1.1.4,ProRat2,3,4.23,0,6,Left,Left,24,3,7,7,nan,0.67
1/29/2021 16:30:45,1.1.4,ProRat2,3,4.23,0,6,Pellet,Left,24,3,8,8,0.06,nan
1/29/2021 16:31:42,1.1.4,ProRat2,3,4.23,0,7,Left,Left,25,3,8,8,nan,0.31
1/29/2021 16:31:44,1.1.4,ProRat2,3,4.23,0,7,Left,Left,26,3,8,8,nan,0.37
1/29/2021 16:31:49,1.1.4,ProRat2,3,4.23,0,7,Right,Left,26,4,8,8,nan,0.55
1/29/2021 16:37:20,1.1.4,ProRat2,3,4.23,0,7,Left,Left,27,4,8,8,nan,0.09
1/29/2021 16:37:22,1.1.4,ProRat2,3,4.23,0,7,Left,Left,28,4,8,8,nan,0.00
1/29/2021 16:44:33,1.1.4,ProRat2,3,4.23,0,7,Right,Left,28,5,8,8,nan,0.25
1/29/2021 16:45:39,1.1.4,ProRat2,3,4.23,0,7,Left,Left,29,5,8,8,nan,0.19
1/29/2021 16:46:54,1.1.4,ProRat2,3,4.23,0,7,Left,Left,30,5,8,8,nan,0.06
1/29/2021 16:48:44,1.1.4,ProRat2,3,4.23,0,7,Left,Left,31,5,8,8,nan,0.15
1/29/2021 16:48:46,1.1.4,ProRat2,3,4.23,0,7,Pellet,Left,31,5,9,9,0.06,nan
1/29/2021 16:49:10,1.1.4,ProRat2,3,4.23,0,9,Left,Left,32,5,9,9,nan,0.71
1/29/2021 16:49:12,1.1.4,ProRat2,3,4.23,0,9,Left,Left,33,5,9,9,nan,0.02
1/29/2021 16:49:31,1.1.4,ProRat2,3,4.23,0,9,Left,Left,34,5,9,9,nan,0.58
1/29/2021 16:49:34,1.1.4,ProRat2,3,4.23,0,9,Left,Left,35,5,9,9,nan,0.84
1/29/2021 16:49:37,1.1.4,ProRat2,3,4.23,0,9,Left,Left,36,5,9,9,nan,0.52
1/29/2021 16:49:42,1.1.4,ProRat2,3,4.23,0,9,Left,Left,37,5,9,9,nan,0.70
1/29/2021 16:49:51,1.1.4,ProRat2,3,4.23,0,9,Left,Left,38,5,9,9,nan,0.49
1/29/2021 16:49:52,1.1.4,ProRat2,3,4.23,0,9,Left,Left,39,5,9,9,nan,0.00
1/29/2021 16:49:53,1.1.4,ProRat2,3,4.23,0,9,Left,Left,40,5,9,9,nan,0.10
1/29/2021 16:49:55,1.1.4,ProRat2,3,4.23,0,9,Pellet,Left,40,5,10,10,0.06,nan
1/29/2021 16:58:20,1.1.4,ProRat2,3,4.23,0,10,Left,Left,41,5,10,10,nan,0.09
1/29/2021 16:58:24,1.1.4,ProRat2,3,4.23,0,10,Right,Left,41,6,10,10,nan,0.00
1/29/2021 16:58:45,1.1.4,ProRat2,3,4.23,0,10,Left,Left,42,6,10,10,nan,0.05
1/29/2021 16:59:06,1.1.4,ProRat2,3,4.23,0,10,Left,Left,43,6,10,10,nan,0.21
1/29/2021 17:01:44,1.1.4,ProRat2,3,4.23,0,10,Left,Left,44,6,10,10,nan,0.00
1/29/2021 17:01:46,1.1.4,ProRat2,3,4.23,0,10,Left,Left,45,6,10,10,nan,0.15
1/29/2021 17:01:49,1.1.4,ProRat2,3,4.23,0,10,Left,Left,46,6,10,10,nan,0.87
1/29/2021 17:01:53,1.1.4,ProRat2,3,4.23,0,10,Left,Left,47,6,10,10,nan,0.60
1/29/2021 17:02:08,1.1.4,ProRat2,3,4.23,0,10,Right,Left,47,7,10,10,nan,0.08
1/29/2021 17:03:19,1.1.4,ProRat2,3,4.23,0,10,Left,Left,48,7,10,10,nan,1.22
1/29/2021 17:03:23,1.1.4,ProRat2,3,4.23,0,10,Left,Left,49,7,10,10,nan,0.94
1/29/2021 17:03:29,1.1.4,ProRat2,3,4.23,0,10,Left,Left,50,7,10,10,nan,0.47
1/29/2021 17:03:31,1.1.4,ProRat2,3,4.23,0,10,Pellet,Left,50,7,11,11,0.06,nan
1/29/2021 17:05:46,1.1.4,ProRat2,3,4.23,0,12,Left,Left,51,7,11,11,nan,0.07
1/29/2021 17:05:51,1.1.4,ProRat2,3,4.23,0,12,Left,Left,52,7,11,11,nan,0.71
1/29/2021 17:13:02,1.1.4,ProRat2,3,4.23,0,12,Left,Left,53,7,11,11,nan,0.15
1/29/2021 17:18:12,1.1.4,ProRat2,3,4.23,0,12,Left,Left,54,7,11,11,nan,0.44
1/29/2021 17:18:15,1.1.4,ProRat2,3,4.23,0,12,Left,Left,55,7,11,11,nan,0.46
1/29/2021 17:18:19,1.1.4,ProRat2,3,4.23,0,12,Left,Left,56,7,11,11,nan,0.13
1/29/2021 17:18:21,1.1.4,ProRat2,3,4.23,0,12,Left,Left,57,7,11,11,nan,0.47
1/29/2021 17:18:27,1.1.4,ProRat2,3,4.23,0,12,Left,Left,58,7,11,11,nan,1.08
1/29/2021 17:19:33,1.1.4,ProRat2,3,4.23,0,12,Left,Left,59,7,11,11,nan,0.96
1/29/2021 17:19:37,1.1.4,ProRat2,3,4.23,0,12,Left,Left,60,7,11,11,nan,0.70
1/29/2021 17:19:40,1.1.4,ProRat2,3,4.23,0,12,Left,Left,61,7,11,11,nan,0.47
1/29/2021 17:19:44,1.1.4,ProRat2,3,4.23,0,12,Left,Left,62,7,11,11,nan,0.30
1/29/2021 17:19:46,1.1.4,ProRat2,3,4.23,0,12,Pellet,Left,62,7,12,12,0.25,nan
1/29/2021 17:20:12,1.1.4,ProRat2,3,4.23,0,13,Left,Left,63,7,12,12,nan,0.85
1/29/2021 17:20:14,1.1.4,ProRat2,3,4.23,0,13,Left,Left,64,7,12,12,nan,0.00
