MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/19/2113 1:19:09,1.1.45,0,3.79,0,FR1_Light_tracking,Poke,Left,1,0,0,nan
7/19/2113 1:19:16,1.1.45,0,3.81,1,FR1_Light_tracking,Pellet,Left,1,0,1,5
7/19/2113 1:19:56,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Left,2,0,1,nan
7/19/2113 1:20:00,1.1.45,0,3.81,1,FR1_Light_tracking,Pellet,Left,2,0,2,2
7/19/2113 1:20:19,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,3,0,2,nan
7/19/2113 1:20:27,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,4,0,2,nan
7/19/2113 1:20:33,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,5,0,2,nan
7/19/2113 1:20:37,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,6,0,2,nan
7/19/2113 1:20:45,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,7,0,2,nan
7/19/2113 1:20:50,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,8,0,2,nan
7/19/2113 1:20:52,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,9,0,2,nan
7/19/2113 1:20:55,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,10,0,2,nan
7/19/2113 1:20:57,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,11,0,2,nan
7/19/2113 1:20:59,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,12,0,2,nan
7/19/2113 1:21:05,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,13,0,2,nan
7/19/2113 1:21:06,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,14,0,2,nan
7/19/2113 1:21:12,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,15,0,2,nan
7/19/2113 1:21:14,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,16,0,2,nan
7/19/2113 1:21:22,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,17,0,2,nan
7/19/2113 1:21:23,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,18,0,2,nan
7/19/2113 1:21:25,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,19,0,2,nan
7/19/2113 1:21:27,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,20,0,2,nan
7/19/2113 1:21:30,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,21,0,2,nan
7/19/2113 1:21:32,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,22,0,2,nan
7/19/2113 1:21:34,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,23,0,2,nan
7/19/2113 1:22:02,1.1.45,0,3.81,0,FR1_Light_tracking,Poke,Right,23,1,2,nan
7/19/2113 1:22:06,1.1.45,0,3.82,1,FR1_Light_tracking,Pellet,Right,23,1,3,2
7/19/2113 1:22:48,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,1,3,nan
7/19/2113 1:22:52,1.1.45,0,3.82,1,FR1_Light_tracking,Pellet,Left,24,1,4,1
7/19/2113 2:29:34,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,2,4,nan
7/19/2113 2:29:41,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,3,4,nan
7/19/2113 2:29:49,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,4,4,nan
7/19/2113 2:29:51,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,5,4,nan
7/19/2113 2:29:55,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,6,4,nan
7/19/2113 2:30:00,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,7,4,nan
7/19/2113 2:30:11,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,8,4,nan
7/19/2113 2:30:14,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,9,4,nan
7/19/2113 2:30:16,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,10,4,nan
7/19/2113 2:30:18,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,11,4,nan
7/19/2113 2:30:22,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,12,4,nan
7/19/2113 2:30:26,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,13,4,nan
7/19/2113 2:30:31,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,14,4,nan
7/19/2113 2:30:34,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,24,15,4,nan
7/19/2113 2:30:38,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Left,25,15,4,nan
7/19/2113 2:30:41,1.1.45,0,3.82,1,FR1_Light_tracking,Pellet,Left,25,15,5,1
7/19/2113 2:31:28,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Right,26,15,5,nan
7/19/2113 2:31:30,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Right,27,15,5,nan
7/19/2113 2:31:32,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Right,28,15,5,nan
7/19/2113 2:32:10,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Right,29,15,5,nan
7/19/2113 2:32:14,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Right,30,15,5,nan
7/19/2113 2:32:15,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Right,31,15,5,nan
7/19/2113 2:32:17,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Right,32,15,5,nan
7/19/2113 2:32:25,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Right,33,15,5,nan
7/19/2113 2:43:36,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Right,34,15,5,nan
7/19/2113 2:47:38,1.1.45,0,3.82,0,FR1_Light_tracking,Poke,Right,34,16,5,nan
7/19/2113 2:47:55,1.1.45,0,3.80,1,FR1_Light_tracking,Pellet,Right,34,16,6,15
7/19/2113 2:49:43,1.1.45,0,3.80,0,FR1_Light_tracking,Poke,Left,34,17,6,nan
7/19/2113 2:49:46,1.1.45,0,3.80,0,FR1_Light_tracking,Poke,Left,34,18,6,nan
7/19/2113 4:20:35,1.1.45,0,3.80,0,FR1_Light_tracking,Poke,Left,35,18,6,nan
7/19/2113 4:20:39,1.1.45,0,3.79,1,FR1_Light_tracking,Pellet,Left,35,18,7,1
