MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/25/2113 36:00:40,0,3.81,1,FED,Pellet,Left,0,0,1,-645
7/25/2113 36:00:51,0,3.80,1,FED,Pellet,Left,0,0,2,8
7/25/2113 36:00:55,0,3.80,1,FED,Pellet,Left,0,0,3,1
7/25/2113 36:05:50,0,3.80,2,FED,Pellet,Left,0,0,4,Timed_out
7/25/2113 36:37:10,0,3.80,1,FED,Pellet,Left,0,0,5,Timed_out
7/25/2113 36:37:24,0,3.81,1,FED,Pellet,Left,0,0,6,11
7/25/2113 36:37:38,0,3.80,1,FED,Pellet,Left,0,0,7,11
7/25/2113 36:39:59,0,3.80,1,FED,Pellet,Left,0,0,8,Timed_out
7/25/2113 38:03:28,0,3.81,1,FED,Pellet,Left,0,0,9,Timed_out
7/25/2113 38:03:43,0,3.79,1,FED,Pellet,Left,0,0,10,12
7/25/2113 38:03:57,0,3.79,1,FED,Pellet,Left,0,0,11,11
7/25/2113 38:04:14,0,3.79,2,FED,Pellet,Left,0,0,12,12
7/25/2113 38:04:27,0,3.80,1,FED,Pellet,Left,0,0,13,11
7/25/2113 38:04:43,0,3.80,1,FED,Pellet,Left,0,0,14,13
7/25/2113 38:04:57,0,3.80,1,FED,Pellet,Left,0,0,15,12
7/25/2113 38:05:13,0,3.80,1,FED,Pellet,Left,0,0,16,13
7/25/2113 38:05:27,0,3.79,1,FED,Pellet,Left,0,0,17,10
7/25/2113 38:10:03,0,3.80,1,FED,Pellet,Left,0,0,18,Timed_out
7/25/2113 38:10:12,0,3.79,1,FED,Pellet,Left,0,0,19,6
7/25/2113 38:10:27,0,3.80,1,FED,Pellet,Left,0,0,20,13
7/25/2113 38:10:43,0,3.80,1,FED,Pellet,Left,0,0,21,13
7/25/2113 38:10:56,0,3.80,1,FED,Pellet,Left,0,0,22,10
7/25/2113 39:53:19,0,3.79,1,FED,Pellet,Left,0,0,23,Timed_out
7/25/2113 39:53:31,0,3.79,1,FED,Pellet,Left,0,0,24,9
7/25/2113 39:53:49,0,3.79,1,FED,Pellet,Left,0,0,25,15
7/25/2113 39:54:06,0,3.79,1,FED,Pellet,Left,0,0,26,14
7/25/2113 39:54:22,0,3.78,1,FED,Pellet,Left,0,0,27,13
7/25/2113 39:58:53,0,3.79,1,FED,Pellet,Left,0,0,28,Timed_out
7/25/2113 0:17:08,0,3.79,1,FED,Pellet,Left,0,0,29,-142909
7/25/2113 0:19:51,0,3.79,1,FED,Pellet,Left,0,0,30,Timed_out
