MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/6/2020 16:50:44,2,3.91,0,1,Poke,Left,1,0,0,nan
8/6/2020 16:51:29,2,3.90,1,1,Pellet,Left,1,0,1,43
8/6/2020 16:52:23,2,3.90,0,1,Poke,Left,2,0,1,nan
8/6/2020 16:52:29,2,3.91,2,1,Pellet,Left,2,0,2,1
8/6/2020 16:54:49,2,3.91,0,1,Poke,Left,3,0,2,nan
8/6/2020 16:57:26,2,3.91,1,1,Pellet,Left,3,0,3,27
8/6/2020 17:02:49,2,3.91,0,1,Poke,Left,4,0,3,nan
8/6/2020 17:02:52,2,3.91,1,1,Pellet,Left,4,0,4,0
8/6/2020 17:03:45,2,3.91,0,1,Poke,Left,5,0,4,nan
8/6/2020 17:03:49,2,3.90,1,1,Pellet,Left,5,0,5,1
8/6/2020 17:08:27,2,3.91,0,1,Poke,Left,6,0,5,nan
8/6/2020 17:08:29,2,3.91,1,1,Pellet,Left,6,0,6,0
8/6/2020 17:08:47,2,3.91,0,1,Poke,Left,7,0,6,nan
8/6/2020 17:08:51,2,3.90,1,1,Pellet,Left,7,0,7,2
8/6/2020 17:09:32,2,3.90,0,1,Poke,Left,8,0,7,nan
8/6/2020 17:09:35,2,3.90,1,1,Pellet,Left,8,0,8,1
8/6/2020 17:27:22,2,3.90,0,1,Poke,Left,9,0,8,nan
8/6/2020 17:27:24,2,3.90,1,1,Pellet,Left,9,0,9,0
8/6/2020 17:27:50,2,3.90,0,1,Poke,Left,9,1,9,nan
8/6/2020 17:27:55,2,3.90,0,1,Poke,Left,10,1,9,nan
8/6/2020 17:27:58,2,3.90,1,1,Pellet,Left,10,1,10,1
8/6/2020 17:52:16,2,3.90,0,1,Poke,Left,11,1,10,nan
8/6/2020 17:52:19,2,3.90,1,1,Pellet,Left,11,1,11,0
8/6/2020 17:52:33,2,3.90,0,1,Poke,Left,12,1,11,nan
8/6/2020 17:52:37,2,3.90,1,1,Pellet,Left,12,1,12,2
8/6/2020 17:53:00,2,3.90,0,1,Poke,Left,13,1,12,nan
8/6/2020 17:53:02,2,3.90,1,1,Pellet,Left,13,1,13,0
8/6/2020 17:53:26,2,3.90,0,1,Poke,Left,14,1,13,nan
8/6/2020 17:53:29,2,3.89,1,1,Pellet,Left,14,1,14,1
8/6/2020 17:53:56,2,3.89,0,1,Poke,Left,15,1,14,nan
8/6/2020 17:53:59,2,3.90,1,1,Pellet,Left,15,1,15,1
8/6/2020 17:55:13,2,3.90,0,1,Poke,Left,16,1,15,nan
8/6/2020 17:55:15,2,3.90,1,1,Pellet,Left,16,1,16,0
8/6/2020 17:57:24,2,3.90,0,1,Poke,Left,17,1,16,nan
8/6/2020 17:57:27,2,3.90,1,1,Pellet,Left,17,1,17,1
8/6/2020 17:58:19,2,3.90,0,1,Poke,Left,18,1,17,nan
8/6/2020 17:58:22,2,3.90,1,1,Pellet,Left,18,1,18,1
8/6/2020 18:29:59,2,3.90,0,1,Poke,Left,19,1,18,nan
8/6/2020 18:30:03,2,3.90,1,1,Pellet,Left,19,1,19,2
8/6/2020 18:30:20,2,3.89,0,1,Poke,Left,20,1,19,nan
8/6/2020 18:30:25,2,3.90,1,1,Pellet,Left,20,1,20,2
8/6/2020 18:30:41,2,3.90,0,1,Poke,Left,21,1,20,nan
