MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/7/2020 16:27:26,1.1.45,3,3.96,0,FR1,Poke,Left,1,0,0,nan
8/7/2020 16:29:03,1.1.45,3,3.98,40,FR1,Pellet,Left,1,0,1,6
8/7/2020 16:29:08,1.1.45,3,3.98,0,FR1,Poke,Left,2,0,1,nan
8/7/2020 16:29:41,1.1.45,3,3.98,3,FR1,Pellet,Left,2,0,2,27
8/7/2020 16:34:45,1.1.45,3,3.98,0,FR1,Poke,Left,3,0,2,nan
8/7/2020 16:34:50,1.1.45,3,3.98,2,FR1,Pellet,Left,3,0,3,1
8/7/2020 16:35:07,1.1.45,3,3.98,0,FR1,Poke,Left,4,0,3,nan
8/7/2020 16:35:43,1.1.45,3,3.98,20,FR1,Pellet,Left,4,0,4,6
8/7/2020 16:36:09,1.1.45,3,3.98,0,FR1,Poke,Left,5,0,4,nan
8/7/2020 16:36:28,1.1.45,3,3.98,4,FR1,Pellet,Left,5,0,5,11
8/7/2020 16:37:18,1.1.45,3,3.98,0,FR1,Poke,Left,6,0,5,nan
8/7/2020 16:37:31,1.1.45,3,3.98,2,FR1,Pellet,Left,6,0,6,10
8/7/2020 16:37:54,1.1.45,3,3.98,0,FR1,Poke,Left,7,0,6,nan
8/7/2020 16:37:57,1.1.45,3,3.98,1,FR1,Pellet,Left,7,0,7,1
8/7/2020 16:38:24,1.1.45,3,3.98,0,FR1,Poke,Left,8,0,7,nan
8/7/2020 16:38:42,1.1.45,3,3.98,1,FR1,Pellet,Left,8,0,8,15
8/7/2020 16:50:01,1.1.45,3,3.98,0,FR1,Poke,Left,9,0,8,nan
8/7/2020 16:50:04,1.1.45,3,3.98,1,FR1,Pellet,Left,9,0,9,1
8/7/2020 16:52:23,1.1.45,3,3.98,0,FR1,Poke,Left,9,1,9,nan
8/7/2020 18:08:44,1.1.45,3,3.98,0,FR1,Poke,Left,10,1,9,nan
8/7/2020 18:08:47,1.1.45,3,3.98,1,FR1,Pellet,Left,10,1,10,1
8/7/2020 18:09:19,1.1.45,3,3.98,0,FR1,Poke,Left,11,1,10,nan
8/7/2020 18:09:22,1.1.45,3,3.98,1,FR1,Pellet,Left,11,1,11,1
8/7/2020 18:09:40,1.1.45,3,3.98,0,FR1,Poke,Left,12,1,11,nan
8/7/2020 18:09:43,1.1.45,3,3.98,1,FR1,Pellet,Left,12,1,12,1
8/7/2020 18:10:16,1.1.45,3,3.98,0,FR1,Poke,Left,13,1,12,nan
8/7/2020 18:10:19,1.1.45,3,3.98,1,FR1,Pellet,Left,13,1,13,1
8/7/2020 18:10:43,1.1.45,3,3.98,0,FR1,Poke,Left,14,1,13,nan
8/7/2020 18:10:57,1.1.45,3,3.97,1,FR1,Pellet,Left,14,1,14,11
8/7/2020 18:11:20,1.1.45,3,3.97,0,FR1,Poke,Left,15,1,14,nan
8/7/2020 18:11:24,1.1.45,3,3.97,1,FR1,Pellet,Left,15,1,15,1
8/7/2020 18:11:57,1.1.45,3,3.97,0,FR1,Poke,Left,16,1,15,nan
8/7/2020 18:12:00,1.1.45,3,3.97,1,FR1,Pellet,Left,16,1,16,1
8/7/2020 18:12:26,1.1.45,3,3.97,0,FR1,Poke,Left,17,1,16,nan
8/7/2020 18:12:29,1.1.45,3,3.97,1,FR1,Pellet,Left,17,1,17,1
8/7/2020 18:12:50,1.1.45,3,3.97,0,FR1,Poke,Left,18,1,17,nan
8/7/2020 18:12:53,1.1.45,3,3.97,1,FR1,Pellet,Left,18,1,18,1
8/7/2020 18:13:21,1.1.45,3,3.97,0,FR1,Poke,Left,19,1,18,nan
8/7/2020 18:13:44,1.1.45,3,3.97,2,FR1,Pellet,Left,19,1,19,20
8/7/2020 18:14:16,1.1.45,3,3.97,0,FR1,Poke,Left,20,1,19,nan
8/7/2020 18:14:19,1.1.45,3,3.97,1,FR1,Pellet,Left,20,1,20,1
8/7/2020 18:14:43,1.1.45,3,3.97,0,FR1,Poke,Left,21,1,20,nan
