MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/23/2020 14:46:53,1.1.45,700,3.62,0,FR1,Poke,Left,1,0,0,nan
8/23/2020 14:47:27,1.1.45,700,3.62,1,FR1,Pellet,Left,1,0,1,32
8/23/2020 14:48:43,1.1.45,700,3.62,0,FR1,Poke,Left,2,0,1,nan
8/23/2020 14:48:45,1.1.45,700,3.62,1,FR1,Pellet,Left,2,0,2,0
8/23/2020 14:48:58,1.1.45,700,3.62,0,FR1,Poke,Left,3,0,2,nan
8/23/2020 14:49:21,1.1.45,700,3.62,1,FR1,Pellet,Left,3,0,3,21
8/23/2020 14:49:30,1.1.45,700,3.62,0,FR1,Poke,Left,4,0,3,nan
8/23/2020 14:49:34,1.1.45,700,3.62,1,FR1,Pellet,Left,4,0,4,1
8/23/2020 14:49:45,1.1.45,700,3.62,0,FR1,Poke,Left,5,0,4,nan
8/23/2020 14:49:48,1.1.45,700,3.62,1,FR1,Pellet,Left,5,0,5,1
8/23/2020 14:50:21,1.1.45,700,3.62,0,FR1,Poke,Left,6,0,5,nan
8/23/2020 14:50:24,1.1.45,700,3.62,1,FR1,Pellet,Left,6,0,6,1
8/23/2020 14:50:39,1.1.45,700,3.62,0,FR1,Poke,Left,7,0,6,nan
8/23/2020 14:50:42,1.1.45,700,3.62,1,FR1,Pellet,Left,7,0,7,1
8/23/2020 14:52:15,1.1.45,700,3.62,0,FR1,Poke,Left,7,1,7,nan
8/23/2020 14:52:16,1.1.45,700,3.62,0,FR1,Poke,Left,7,2,7,nan
8/23/2020 14:53:47,1.1.45,700,3.62,0,FR1,Poke,Left,8,2,7,nan
8/23/2020 14:53:50,1.1.45,700,3.62,1,FR1,Pellet,Left,8,2,8,1
8/23/2020 15:04:13,1.1.45,700,3.62,0,FR1,Poke,Left,9,2,8,nan
8/23/2020 15:04:17,1.1.45,700,3.62,2,FR1,Pellet,Left,9,2,9,1
8/23/2020 15:04:40,1.1.45,700,3.62,0,FR1,Poke,Left,10,2,9,nan
8/23/2020 15:04:42,1.1.45,700,3.62,1,FR1,Pellet,Left,10,2,10,1
8/23/2020 15:05:03,1.1.45,700,3.62,0,FR1,Poke,Left,11,2,10,nan
8/23/2020 15:05:33,1.1.45,700,3.62,1,FR1,Pellet,Left,11,2,11,28
8/23/2020 15:06:43,1.1.45,700,3.62,0,FR1,Poke,Left,11,3,11,nan
8/23/2020 15:07:23,1.1.45,700,3.62,0,FR1,Poke,Left,11,4,11,nan
8/23/2020 15:08:30,1.1.45,700,3.62,0,FR1,Poke,Left,11,5,11,nan
8/23/2020 15:19:01,1.1.45,700,3.62,0,FR1,Poke,Left,11,6,11,nan
8/23/2020 15:19:04,1.1.45,700,3.62,0,FR1,Poke,Left,11,7,11,nan
8/23/2020 15:19:06,1.1.45,700,3.62,0,FR1,Poke,Left,11,8,11,nan
8/23/2020 15:19:17,1.1.45,700,3.62,0,FR1,Poke,Left,11,9,11,nan
8/23/2020 15:20:09,1.1.45,700,3.62,0,FR1,Poke,Left,11,10,11,nan
8/23/2020 15:21:03,1.1.45,700,3.62,0,FR1,Poke,Left,11,11,11,nan
8/23/2020 15:21:23,1.1.45,700,3.62,0,FR1,Poke,Left,11,12,11,nan
8/23/2020 15:21:29,1.1.45,700,3.62,0,FR1,Poke,Left,11,13,11,nan
8/23/2020 17:30:03,1.1.45,700,3.62,0,FR1,Poke,Left,12,13,11,nan
8/23/2020 17:30:05,1.1.45,700,3.60,1,FR1,Pellet,Left,12,13,12,0
8/23/2020 17:30:30,1.1.45,700,3.60,0,FR1,Poke,Left,13,13,12,nan
8/23/2020 17:30:54,1.1.45,700,3.60,1,FR1,Pellet,Left,13,13,13,22
8/23/2020 17:30:56,1.1.45,700,3.60,0,FR1,Poke,Left,14,13,13,nan
8/23/2020 17:31:15,1.1.45,700,3.60,2,FR1,Pellet,Left,14,13,14,16
8/23/2020 17:31:46,1.1.45,700,3.60,0,FR1,Poke,Left,15,13,14,nan
8/23/2020 17:31:48,1.1.45,700,3.60,1,FR1,Pellet,Left,15,13,15,1
8/23/2020 17:32:37,1.1.45,700,3.60,0,FR1,Poke,Left,15,14,15,nan
8/23/2020 18:33:56,1.1.45,700,3.60,0,FR1,Poke,Left,16,14,15,nan
8/23/2020 18:33:59,1.1.45,700,3.60,1,FR1,Pellet,Left,16,14,16,1
8/23/2020 18:35:35,1.1.45,700,3.60,0,FR1,Poke,Left,17,14,16,nan
8/23/2020 18:35:38,1.1.45,700,3.60,1,FR1,Pellet,Left,17,14,17,1
8/23/2020 18:35:59,1.1.45,700,3.60,0,FR1,Poke,Left,18,14,17,nan
8/23/2020 18:36:21,1.1.45,700,3.60,1,FR1,Pellet,Left,18,14,18,20
8/23/2020 18:36:22,1.1.45,700,3.60,0,FR1,Poke,Left,19,14,18,nan
8/23/2020 18:36:25,1.1.45,700,3.60,1,FR1,Pellet,Left,19,14,19,1
8/23/2020 18:36:43,1.1.45,700,3.60,0,FR1,Poke,Left,20,14,19,nan
8/23/2020 18:36:46,1.1.45,700,3.60,1,FR1,Pellet,Left,20,14,20,0
8/23/2020 18:37:08,1.1.45,700,3.60,0,FR1,Poke,Left,21,14,20,nan
8/23/2020 18:37:11,1.1.45,700,3.59,1,FR1,Pellet,Left,21,14,21,1
8/23/2020 18:37:31,1.1.45,700,3.59,0,FR1,Poke,Left,22,14,21,nan
8/23/2020 18:37:51,1.1.45,700,3.59,2,FR1,Pellet,Left,22,14,22,17
8/23/2020 18:38:16,1.1.45,700,3.59,0,FR1,Poke,Left,23,14,22,nan
8/23/2020 18:38:42,1.1.45,700,3.60,2,FR1,Pellet,Left,23,14,23,22
8/23/2020 18:38:42,1.1.45,700,3.60,0,FR1,Poke,Left,24,14,23,nan
8/23/2020 18:38:46,1.1.45,700,3.60,1,FR1,Pellet,Left,24,14,24,1
8/23/2020 18:38:57,1.1.45,700,3.60,0,FR1,Poke,Left,25,14,24,nan
8/23/2020 18:39:12,1.1.45,700,3.59,2,FR1,Pellet,Left,25,14,25,11
8/23/2020 18:40:37,1.1.45,700,3.59,0,FR1,Poke,Left,26,14,25,nan
8/23/2020 18:40:41,1.1.45,700,3.59,1,FR1,Pellet,Left,26,14,26,2
8/23/2020 18:43:00,1.1.45,700,3.59,0,FR1,Poke,Left,26,15,26,nan
8/23/2020 18:44:36,1.1.45,700,3.59,0,FR1,Poke,Left,27,15,26,nan
8/23/2020 18:44:40,1.1.45,700,3.59,1,FR1,Pellet,Left,27,15,27,2
8/23/2020 18:45:12,1.1.45,700,3.59,0,FR1,Poke,Left,27,16,27,nan
8/23/2020 18:45:29,1.1.45,700,3.59,0,FR1,Poke,Left,28,16,27,nan
8/23/2020 18:45:32,1.1.45,700,3.60,1,FR1,Pellet,Left,28,16,28,1
8/23/2020 18:46:01,1.1.45,700,3.60,0,FR1,Poke,Left,29,16,28,nan
8/23/2020 18:46:04,1.1.45,700,3.59,1,FR1,Pellet,Left,29,16,29,1
8/23/2020 18:50:09,1.1.45,700,3.59,0,FR1,Poke,Left,30,16,29,nan
8/23/2020 18:50:12,1.1.45,700,3.59,1,FR1,Pellet,Left,30,16,30,1
8/23/2020 18:50:30,1.1.45,700,3.59,0,FR1,Poke,Left,31,16,30,nan
8/23/2020 18:53:52,1.1.45,700,3.59,1,FR1,Pellet,Left,31,16,31,Timed_out
8/23/2020 18:54:35,1.1.45,700,3.59,0,FR1,Poke,Left,32,16,31,nan
8/23/2020 18:54:38,1.1.45,700,3.59,1,FR1,Pellet,Left,32,16,32,1
8/23/2020 19:14:33,1.1.45,700,3.59,0,FR1,Poke,Left,33,16,32,nan
8/23/2020 19:14:36,1.1.45,700,3.59,1,FR1,Pellet,Left,33,16,33,1
8/23/2020 19:14:59,1.1.45,700,3.59,0,FR1,Poke,Left,34,16,33,nan
8/23/2020 19:15:03,1.1.45,700,3.60,2,FR1,Pellet,Left,34,16,34,1
8/23/2020 19:15:26,1.1.45,700,3.60,0,FR1,Poke,Left,35,16,34,nan
8/23/2020 19:15:51,1.1.45,700,3.59,1,FR1,Pellet,Left,35,16,35,23
8/23/2020 20:26:00,1.1.45,700,3.59,0,FR1,Poke,Left,36,16,35,nan
8/23/2020 20:26:03,1.1.45,700,3.59,1,FR1,Pellet,Left,36,16,36,1
