MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/20/2020 11:25:33,1.1.45,583,4.00,0,FR1,Poke,Left,1,0,0,nan
8/20/2020 11:26:57,1.1.45,583,3.99,1,FR1,Pellet,Left,1,0,1,46
8/20/2020 11:31:45,1.1.45,583,3.99,0,FR1,Poke,Left,2,0,1,nan
8/20/2020 11:31:48,1.1.45,583,4.00,1,FR1,Pellet,Left,2,0,2,1
8/20/2020 11:32:11,1.1.45,583,4.00,0,FR1,Poke,Left,3,0,2,nan
8/20/2020 11:32:13,1.1.45,583,4.00,1,FR1,Pellet,Left,3,0,3,0
8/20/2020 11:32:36,1.1.45,583,4.00,0,FR1,Poke,Left,4,0,3,nan
8/20/2020 11:32:38,1.1.45,583,4.00,1,FR1,Pellet,Left,4,0,4,0
8/20/2020 11:33:33,1.1.45,583,4.00,0,FR1,Poke,Left,4,1,4,nan
8/20/2020 11:38:35,1.1.45,583,4.00,0,FR1,Poke,Left,5,1,4,nan
8/20/2020 11:40:31,1.1.45,583,3.99,1,FR1,Pellet,Left,5,1,5,114
8/20/2020 11:42:01,1.1.45,583,3.99,0,FR1,Poke,Left,6,1,5,nan
8/20/2020 11:43:24,1.1.45,583,3.99,1,FR1,Pellet,Left,6,1,6,81
8/20/2020 11:59:07,1.1.45,583,3.99,0,FR1,Poke,Left,7,1,6,nan
8/20/2020 11:59:09,1.1.45,583,3.99,1,FR1,Pellet,Left,7,1,7,0
8/20/2020 11:59:39,1.1.45,583,3.99,0,FR1,Poke,Left,8,1,7,nan
8/20/2020 11:59:41,1.1.45,583,3.98,1,FR1,Pellet,Left,8,1,8,0
8/20/2020 12:00:12,1.1.45,583,3.98,0,FR1,Poke,Left,9,1,8,nan
8/20/2020 12:00:14,1.1.45,583,3.99,1,FR1,Pellet,Left,9,1,9,0
8/20/2020 12:00:49,1.1.45,583,3.99,0,FR1,Poke,Left,9,2,9,nan
8/20/2020 12:18:36,1.1.45,583,3.99,0,FR1,Poke,Left,9,3,9,nan
8/20/2020 12:30:47,1.1.45,583,3.99,0,FR1,Poke,Left,10,3,9,nan
8/20/2020 12:30:49,1.1.45,583,3.98,1,FR1,Pellet,Left,10,3,10,0
8/20/2020 12:31:28,1.1.45,583,3.98,0,FR1,Poke,Left,10,4,10,nan
8/20/2020 12:31:32,1.1.45,583,3.98,0,FR1,Poke,Left,11,4,10,nan
8/20/2020 12:31:36,1.1.45,583,3.98,1,FR1,Pellet,Left,11,4,11,2
8/20/2020 12:32:00,1.1.45,583,3.98,0,FR1,Poke,Left,12,4,11,nan
8/20/2020 12:32:02,1.1.45,583,3.99,1,FR1,Pellet,Left,12,4,12,0
8/20/2020 12:32:26,1.1.45,583,3.99,0,FR1,Poke,Left,13,4,12,nan
8/20/2020 12:32:28,1.1.45,583,3.99,1,FR1,Pellet,Left,13,4,13,0
8/20/2020 12:32:50,1.1.45,583,3.99,0,FR1,Poke,Left,14,4,13,nan
8/20/2020 12:32:52,1.1.45,583,3.99,1,FR1,Pellet,Left,14,4,14,0
8/20/2020 12:33:20,1.1.45,583,3.99,0,FR1,Poke,Left,15,4,14,nan
8/20/2020 12:33:26,1.1.45,583,3.98,3,FR1,Pellet,Left,15,4,15,0
8/20/2020 12:33:34,1.1.45,583,3.98,0,FR1,Poke,Left,16,4,15,nan
8/20/2020 12:33:36,1.1.45,583,3.99,1,FR1,Pellet,Left,16,4,16,0
8/20/2020 12:33:58,1.1.45,583,3.99,0,FR1,Poke,Left,17,4,16,nan
8/20/2020 12:40:59,1.1.45,583,3.99,1,FR1,Pellet,Left,17,4,17,Timed_out
8/20/2020 12:41:02,1.1.45,583,3.99,0,FR1,Poke,Left,18,4,17,nan
8/20/2020 12:41:04,1.1.45,583,3.99,1,FR1,Pellet,Left,18,4,18,0
8/20/2020 12:41:13,1.1.45,583,3.99,0,FR1,Poke,Left,19,4,18,nan
8/20/2020 12:41:33,1.1.45,583,3.99,1,FR1,Pellet,Left,19,4,19,18
8/20/2020 12:52:52,1.1.45,583,3.99,0,FR1,Poke,Left,20,4,19,nan
8/20/2020 12:52:54,1.1.45,583,3.99,1,FR1,Pellet,Left,20,4,20,0
8/20/2020 12:53:25,1.1.45,583,3.99,0,FR1,Poke,Left,21,4,20,nan
8/20/2020 12:53:27,1.1.45,583,3.99,1,FR1,Pellet,Left,21,4,21,0
8/20/2020 12:53:38,1.1.45,583,3.99,0,FR1,Poke,Left,22,4,21,nan
8/20/2020 12:53:40,1.1.45,583,3.98,1,FR1,Pellet,Left,22,4,22,0
8/20/2020 12:54:09,1.1.45,583,3.98,0,FR1,Poke,Left,23,4,22,nan
8/20/2020 12:54:12,1.1.45,583,3.98,1,FR1,Pellet,Left,23,4,23,1
8/20/2020 13:01:33,1.1.45,583,3.98,0,FR1,Poke,Left,23,5,23,nan
8/20/2020 14:30:30,1.1.45,583,3.98,0,FR1,Poke,Left,24,5,23,nan
8/20/2020 14:30:34,1.1.45,583,3.98,1,FR1,Pellet,Left,24,5,24,2
