MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
6/8/2020 14:55,0,3.7,0,1,Poke,Left,0,1,0,nan
6/8/2020 14:56,0,3.7,0,1,Poke,Left,1,1,0,nan
6/8/2020 14:56,0,3.69,1,1,Pellet,Left,1,1,1,1
6/8/2020 14:56,0,3.7,0,1,Poke,Left,1,2,1,nan
6/8/2020 14:57,0,3.7,0,1,Poke,Left,1,3,1,nan
6/8/2020 14:58,0,3.69,0,1,Poke,Left,1,4,1,nan
6/8/2020 14:58,0,3.69,0,1,Poke,Left,2,4,1,nan
6/8/2020 14:58,0,3.7,1,1,Pellet,Left,2,4,2,1
6/8/2020 14:59,0,3.7,0,1,Poke,Left,2,5,2,nan
6/8/2020 14:59,0,3.7,0,1,Poke,Left,3,5,2,nan
6/8/2020 14:59,0,3.7,1,1,Pellet,Left,3,5,3,2
6/8/2020 14:59,0,3.7,0,1,Poke,Left,4,5,3,nan
6/8/2020 14:59,0,3.69,1,1,Pellet,Left,4,5,4,2
6/8/2020 15:00,0,3.7,0,1,Poke,Left,5,5,4,nan
6/8/2020 15:00,0,3.7,1,1,Pellet,Left,5,5,5,1
6/8/2020 15:00,0,3.69,0,1,Poke,Left,6,5,5,nan
6/8/2020 15:01,0,3.69,1,1,Poke,Left,6,5,6,nan
6/8/2020 15:01,0,3.71,0,1,Poke,Left,6,6,6,nan
6/8/2020 15:02,0,3.7,0,1,Poke,Left,6,7,6,nan
6/8/2020 15:03,0,3.7,0,1,Poke,Left,7,7,6,nan
6/8/2020 15:04,0,3.69,1,1,Pellet,Left,7,7,7,13
6/8/2020 17:26,0,3.69,0,1,Poke,Left,7,8,7,nan
6/8/2020 17:27,0,3.69,0,1,Poke,Left,8,8,7,nan
6/8/2020 17:27,0,3.69,1,1,Pellet,Left,8,8,8,2
6/8/2020 17:27,0,3.69,0,1,Poke,Left,9,8,8,nan
