MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
2/21/2020 16:41:23,31,4.15,0,1,Poke,Left,0,1,0,nan
2/21/2020 17:10:43,31,4.14,0,1,Poke,Left,0,2,0,nan
2/21/2020 19:31:01,31,4.12,0,1,Poke,Left,0,3,0,nan
2/21/2020 20:20:25,31,4.11,0,1,Poke,Left,0,4,0,nan
2/21/2020 20:20:48,31,4.11,0,1,Poke,Left,0,5,0,nan
2/21/2020 20:20:51,31,4.11,0,1,Poke,Left,0,6,0,nan
2/21/2020 20:36:30,31,4.11,0,1,Poke,Left,0,7,0,nan
2/21/2020 20:58:47,31,4.11,0,1,Poke,Left,0,8,0,nan
2/21/2020 20:59:31,31,4.11,0,1,Poke,Left,1,8,0,nan
2/21/2020 20:59:35,31,4.09,1,1,Pellet,Left,1,8,1,2
2/21/2020 21:01:08,31,4.11,0,1,Poke,Left,2,8,1,nan
2/21/2020 21:01:20,31,4.10,3,1,Pellet,Left,2,8,2,6
2/21/2020 21:02:21,31,4.11,0,1,Poke,Left,3,8,2,nan
2/21/2020 21:02:32,31,4.10,4,1,Pellet,Left,3,8,3,4
2/21/2020 21:02:58,31,4.11,0,1,Poke,Left,4,8,3,nan
2/21/2020 21:03:11,31,4.11,4,1,Pellet,Left,4,8,4,8
2/21/2020 21:03:52,31,4.11,0,1,Poke,Left,5,8,4,nan
2/21/2020 21:04:04,31,4.10,4,1,Pellet,Left,5,8,5,6
2/21/2020 21:04:55,31,4.11,0,1,Poke,Left,6,8,5,nan
2/21/2020 21:20:06,31,4.10,2,1,Pellet,Left,6,8,6,149
2/21/2020 21:21:46,31,4.11,0,1,Poke,Left,7,8,6,nan
2/21/2020 21:22:03,31,4.11,2,1,Pellet,Left,7,8,7,14
2/21/2020 22:18:12,31,4.10,0,1,Poke,Left,7,9,7,nan
2/21/2020 22:18:16,31,4.09,0,1,Poke,Left,8,9,7,nan
2/21/2020 22:18:21,31,4.09,2,1,Pellet,Left,8,9,8,1
2/21/2020 22:18:52,31,4.10,0,1,Poke,Left,9,9,8,nan
2/21/2020 22:19:09,31,4.09,15,1,Pellet,Left,9,9,9,9
2/21/2020 22:19:39,31,4.10,0,1,Poke,Left,10,9,9,nan
2/21/2020 22:19:51,31,4.10,15,1,Pellet,Left,10,9,10,3
2/21/2020 22:20:53,31,4.09,0,1,Poke,Left,11,9,10,nan
2/21/2020 22:27:14,31,4.09,2,1,Pellet,Left,11,9,11,360
2/21/2020 22:32:30,31,4.09,0,1,Poke,Left,12,9,11,nan
2/21/2020 22:32:46,31,4.10,15,1,Pellet,Left,12,9,12,8
2/21/2020 22:33:36,31,4.09,0,1,Poke,Left,13,9,12,nan
2/21/2020 22:33:49,31,4.09,3,1,Pellet,Left,13,9,13,6
2/21/2020 22:35:54,31,4.10,0,1,Poke,Left,14,9,13,nan
2/21/2020 23:00:38,31,4.09,2,1,Pellet,Left,14,9,14,348
2/21/2020 23:01:04,31,4.09,0,1,Poke,Left,15,9,14,nan
2/21/2020 23:01:16,31,4.07,4,1,Pellet,Left,15,9,15,6
2/21/2020 23:39:03,31,4.09,0,1,Poke,Left,16,9,15,nan
2/21/2020 23:39:09,31,4.08,2,1,Pellet,Left,16,9,16,2
2/21/2020 23:39:34,31,4.09,0,1,Poke,Left,17,9,16,nan
2/21/2020 23:40:23,31,4.09,15,1,Pellet,Left,17,9,17,40
2/21/2020 23:40:47,31,4.09,0,1,Poke,Left,18,9,17,nan
2/21/2020 23:40:53,31,4.08,2,1,Pellet,Left,18,9,18,2
2/21/2020 23:41:10,31,4.09,0,1,Poke,Left,19,9,18,nan
2/21/2020 23:41:28,31,4.07,3,1,Pellet,Left,19,9,19,13
2/21/2020 23:42:59,31,4.09,0,1,Poke,Left,20,9,19,nan
2/21/2020 23:50:03,31,4.08,2,1,Pellet,Left,20,9,20,420
2/22/2020 0:21:48,31,4.09,0,1,Poke,Left,21,9,20,nan
2/22/2020 0:21:54,31,4.07,2,1,Pellet,Left,21,9,21,2
2/22/2020 0:22:53,31,4.08,0,1,Poke,Left,22,9,21,nan
2/22/2020 0:22:58,31,4.07,2,1,Pellet,Left,22,9,22,1
2/22/2020 0:30:56,31,4.09,0,1,Poke,Left,23,9,22,nan
2/22/2020 0:31:01,31,4.07,2,1,Pellet,Left,23,9,23,1
2/22/2020 0:35:33,31,4.08,0,1,Poke,Left,24,9,23,nan
2/22/2020 0:35:40,31,4.07,2,1,Pellet,Left,24,9,24,2
2/22/2020 0:39:46,31,4.08,0,1,Poke,Left,24,10,24,nan
2/22/2020 0:39:49,31,4.08,0,1,Poke,Left,24,11,24,nan
2/22/2020 1:01:08,31,4.08,0,1,Poke,Left,25,11,24,nan
2/22/2020 1:01:12,31,4.08,2,1,Pellet,Left,25,11,25,1
2/22/2020 1:01:29,31,4.08,0,1,Poke,Left,26,11,25,nan
2/22/2020 1:01:34,31,4.07,2,1,Pellet,Left,26,11,26,1
2/22/2020 1:01:52,31,4.07,0,1,Poke,Left,27,11,26,nan
2/22/2020 1:02:41,31,4.07,15,1,Pellet,Left,27,11,27,30
2/22/2020 1:03:04,31,4.08,0,1,Poke,Left,28,11,27,nan
2/22/2020 1:03:09,31,4.07,2,1,Pellet,Left,28,11,28,1
2/22/2020 1:14:14,31,4.07,0,1,Poke,Left,29,11,28,nan
2/22/2020 1:14:20,31,4.07,2,1,Pellet,Left,29,11,29,2
2/22/2020 1:14:56,31,4.08,0,1,Poke,Left,30,11,29,nan
2/22/2020 1:15:02,31,4.07,3,1,Pellet,Left,30,11,30,1
2/22/2020 1:15:15,31,4.08,0,1,Poke,Left,31,11,30,nan
2/22/2020 1:15:38,31,4.08,15,1,Pellet,Left,31,11,31,11
2/22/2020 1:15:50,31,4.07,0,1,Poke,Left,32,11,31,nan
