MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
2/21/2020 16:16:53,13,4.17,0,1,Poke,Left,1,0,0,nan
2/21/2020 16:17:50,13,4.17,2,1,Pellet,Left,1,0,1,2
2/21/2020 16:26:58,13,4.17,0,1,Poke,Left,2,0,1,nan
2/21/2020 16:44:40,13,4.17,2,1,Pellet,Left,2,0,2,3
2/21/2020 17:09:13,13,4.16,0,1,Poke,Left,2,1,2,nan
2/21/2020 17:09:34,13,4.16,0,1,Poke,Left,2,2,2,nan
2/21/2020 17:26:15,13,4.16,0,1,Poke,Left,3,2,2,nan
2/21/2020 17:26:23,13,4.15,2,1,Pellet,Left,3,2,3,5
2/21/2020 17:47:49,13,4.15,0,1,Poke,Left,4,2,3,nan
2/21/2020 17:47:54,13,4.16,2,1,Pellet,Left,4,2,4,1
2/21/2020 18:13:15,13,4.16,0,1,Poke,Left,5,2,4,nan
2/21/2020 18:13:28,13,4.15,2,1,Pellet,Left,5,2,5,9
2/21/2020 19:00:42,13,4.14,0,1,Poke,Left,5,3,5,nan
2/21/2020 19:08:33,13,4.14,0,1,Poke,Left,6,3,5,nan
2/21/2020 19:08:39,13,4.14,2,1,Pellet,Left,6,3,6,2
2/21/2020 19:38:46,13,4.14,0,1,Poke,Left,7,3,6,nan
2/21/2020 19:38:53,13,4.13,2,1,Pellet,Left,7,3,7,2
2/21/2020 19:42:37,13,4.14,0,1,Poke,Left,8,3,7,nan
2/21/2020 19:42:43,13,4.13,2,1,Pellet,Left,8,3,8,2
2/21/2020 19:43:48,13,4.14,0,1,Poke,Left,8,4,8,nan
2/21/2020 19:43:52,13,4.14,0,1,Poke,Left,8,5,8,nan
2/21/2020 19:44:04,13,4.14,0,1,Poke,Left,8,6,8,nan
2/21/2020 19:45:02,13,4.14,0,1,Poke,Left,8,7,8,nan
2/21/2020 19:45:06,13,4.14,0,1,Poke,Left,8,8,8,nan
2/21/2020 19:45:08,13,4.14,0,1,Poke,Left,8,9,8,nan
2/21/2020 19:46:15,13,4.14,0,1,Poke,Left,8,10,8,nan
2/21/2020 19:47:31,13,4.14,0,1,Poke,Left,9,10,8,nan
2/21/2020 19:47:37,13,4.14,2,1,Pellet,Left,9,10,9,2
2/21/2020 19:48:13,13,4.14,0,1,Poke,Left,10,10,9,nan
2/21/2020 19:48:26,13,4.14,15,1,Pellet,Left,10,10,10,4
