MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Warning_Stim, Aversive_Stim, Active_Poke, Reward_Prob, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
12/12/2018 15:06:22,35,4.10,3,1,0,0,Left,NA,1,2,1,26
12/12/2018 15:30:47,35,4.11,3,1,0,0,Left,NA,2,2,2,146
12/12/2018 16:04:22,35,4.11,3,1,0,0,Left,NA,3,2,3,4
12/12/2018 16:19:14,35,4.11,3,1,0,0,Left,NA,4,6,4,52
12/12/2018 17:06:50,35,4.10,4,1,0,0,Left,NA,5,9,5,269
12/12/2018 17:23:54,35,4.10,2,1,0,0,Left,NA,6,9,6,43
12/12/2018 18:27:22,35,4.10,3,1,0,0,Left,NA,7,10,7,2052
12/12/2018 18:32:44,35,4.09,2,1,0,0,Left,NA,8,11,8,77
12/12/2018 18:35:11,35,4.10,3,1,0,0,Left,NA,9,12,9,9
12/12/2018 18:37:41,35,4.09,4,1,0,0,Left,NA,10,12,10,21
12/12/2018 18:40:24,35,4.09,3,1,0,0,Left,NA,11,13,11,38
12/12/2018 18:45:10,35,4.09,3,1,0,0,Left,NA,12,14,12,6
12/12/2018 18:48:23,35,4.09,3,1,0,0,Left,NA,13,14,13,23
12/12/2018 19:04:51,35,4.09,3,1,0,0,Left,NA,14,16,14,6
12/12/2018 19:55:23,35,4.09,3,1,0,0,Left,NA,15,20,15,4
12/12/2018 20:07:39,35,4.09,20,1,0,0,Left,NA,16,20,16,12
12/12/2018 20:09:06,35,4.09,8,1,0,0,Left,NA,17,20,17,33
12/12/2018 20:10:59,35,4.09,4,1,0,0,Left,NA,18,22,18,3
12/12/2018 20:12:01,35,4.09,3,1,0,0,Left,NA,19,24,19,8
12/12/2018 20:14:24,35,4.09,6,1,0,0,Left,NA,20,24,20,3
12/12/2018 20:21:00,35,4.09,2,1,0,0,Left,NA,21,24,21,2
12/12/2018 20:24:15,35,4.09,2,1,0,0,Left,NA,22,24,22,3
12/12/2018 20:38:24,35,4.09,6,1,0,0,Left,NA,23,26,23,35
12/12/2018 20:59:43,35,4.08,3,1,0,0,Left,NA,24,26,24,1190
12/12/2018 21:03:52,35,4.08,3,1,0,0,Left,NA,25,26,25,85
12/12/2018 21:07:29,35,4.09,4,1,0,0,Left,NA,26,28,26,3
12/12/2018 21:09:21,35,4.08,20,1,0,0,Left,NA,28,28,27,29
12/12/2018 22:02:14,35,4.08,3,1,0,0,Left,NA,29,29,28,2
12/12/2018 22:02:50,35,4.08,2,1,0,0,Left,NA,30,29,29,4
12/12/2018 22:05:01,35,4.08,3,1,0,0,Left,NA,31,30,30,71
12/12/2018 22:28:09,35,4.08,3,1,0,0,Left,NA,32,30,31,13
12/12/2018 22:36:43,35,4.07,6,1,0,0,Left,NA,33,71,32,43
12/12/2018 22:54:26,35,4.07,3,1,0,0,Left,NA,34,71,33,262
12/12/2018 22:57:36,35,4.07,6,1,0,0,Left,NA,36,78,34,7
12/12/2018 23:00:19,35,4.07,3,1,0,0,Left,NA,37,78,35,46
12/12/2018 23:01:33,35,4.07,2,1,0,0,Left,NA,38,78,36,2
12/12/2018 23:03:45,35,4.07,3,1,0,0,Left,NA,39,78,37,3
12/12/2018 23:54:25,35,4.07,3,1,0,0,Left,NA,40,78,38,1716
12/13/2018 0:08:33,35,4.07,7,1,0,0,Left,NA,41,79,39,176
12/13/2018 0:09:59,35,4.07,1,1,0,0,Left,NA,42,81,40,3
12/13/2018 0:18:23,35,4.07,3,1,0,0,Left,NA,43,82,41,434
12/13/2018 0:20:18,35,4.07,2,1,0,0,Left,NA,44,85,42,26
12/13/2018 0:21:17,35,4.07,3,1,0,0,Left,NA,45,85,43,2
12/13/2018 0:22:26,35,4.07,3,1,0,0,Left,NA,46,86,44,2
12/13/2018 0:23:33,35,4.07,3,1,0,0,Left,NA,47,86,45,3
12/13/2018 0:55:55,35,4.07,2,1,0,0,Left,NA,48,89,46,134
12/13/2018 0:57:41,35,4.07,3,1,0,0,Left,NA,49,89,47,2
12/13/2018 2:19:38,35,4.05,2,1,0,0,Left,NA,50,93,48,2
12/13/2018 2:21:14,35,4.06,3,1,0,0,Left,NA,51,95,49,2
12/13/2018 2:22:58,35,4.06,9,1,0,0,Left,NA,52,95,50,1
12/13/2018 2:44:28,35,4.06,5,1,0,0,Left,NA,53,97,51,1176
12/13/2018 4:35:40,35,4.05,4,1,0,0,Left,NA,54,100,52,2
12/13/2018 4:37:50,35,4.05,5,1,0,0,Left,NA,55,100,53,33
12/13/2018 4:44:36,35,4.05,7,1,0,0,Left,NA,56,100,54,203
12/13/2018 4:47:31,35,4.05,3,1,0,0,Left,NA,57,102,55,3
12/13/2018 6:02:22,35,4.04,4,1,0,0,Left,NA,58,110,56,1
12/13/2018 6:03:20,35,4.04,2,1,0,0,Left,NA,59,110,57,2
12/13/2018 6:05:30,35,4.04,22,1,0,0,Left,NA,60,110,58,35
12/13/2018 6:08:10,35,4.04,1,1,0,0,Left,NA,61,111,59,72
12/13/2018 6:10:47,35,4.04,3,1,0,0,Left,NA,62,111,60,2
12/13/2018 6:53:28,35,4.04,3,1,0,0,Left,NA,63,114,61,246
12/13/2018 7:04:04,35,4.03,3,1,0,0,Left,NA,64,114,62,61
12/13/2018 7:05:40,35,4.03,3,1,0,0,Left,NA,65,117,63,4
12/13/2018 7:06:28,35,4.04,3,1,0,0,Left,NA,66,117,64,2
12/13/2018 7:16:27,35,4.03,6,1,0,0,Left,NA,67,119,65,36
12/13/2018 7:26:17,35,4.04,3,1,0,0,Left,NA,68,120,66,157
12/13/2018 7:28:46,35,4.04,2,1,0,0,Left,NA,69,121,67,4
12/13/2018 7:34:05,35,4.03,3,1,0,0,Left,NA,70,124,68,10
12/13/2018 7:47:51,35,4.03,3,1,0,0,Left,NA,71,124,69,2
12/13/2018 7:48:56,35,4.03,3,1,0,0,Left,NA,72,124,70,3
12/13/2018 8:55:56,35,4.03,2,1,0,0,Left,NA,73,124,71,2
12/13/2018 8:57:55,35,4.03,3,1,0,0,Left,NA,74,124,72,2
12/13/2018 9:23:55,35,4.03,2,1,0,0,Left,NA,75,157,73,1
12/13/2018 9:25:17,35,4.02,3,1,0,0,Left,NA,76,157,74,1
12/13/2018 10:07:09,35,4.02,3,1,0,0,Left,NA,77,160,75,1
12/13/2018 10:18:08,35,4.02,20,1,0,0,Left,NA,78,162,76,6
12/13/2018 10:19:31,35,4.02,20,1,0,0,Left,NA,79,162,77,3
12/13/2018 11:41:03,35,4.02,3,1,0,0,Left,NA,80,173,78,2
12/13/2018 11:42:54,35,4.02,20,1,0,0,Left,NA,81,173,79,2
12/13/2018 11:43:13,35,4.02,3,1,0,0,Left,NA,82,173,80,1
12/13/2018 12:24:09,35,4.01,8,1,0,0,Left,NA,83,174,81,33
12/13/2018 12:25:20,35,4.01,3,1,0,0,Left,NA,84,174,82,2
12/13/2018 12:29:17,35,4.01,3,1,0,0,Left,NA,85,174,83,2
12/13/2018 13:10:38,35,4.00,5,1,0,0,Left,NA,86,181,84,11
12/13/2018 13:12:12,35,4.01,4,1,0,0,Left,NA,87,181,85,2
12/13/2018 13:15:21,35,4.01,2,1,0,0,Left,NA,88,181,86,2
12/13/2018 14:19:51,35,4.00,3,1,0,0,Left,NA,89,181,87,1
12/13/2018 15:09:08,35,4.00,3,1,0,0,Left,NA,90,181,88,2
12/13/2018 15:10:44,35,4.00,3,1,0,0,Left,NA,91,181,89,2
12/13/2018 15:11:50,35,4.00,4,1,0,0,Left,NA,92,181,90,1
12/13/2018 15:27:31,35,4.00,6,1,0,0,Left,NA,93,181,91,38
12/13/2018 16:15:42,35,4.00,7,1,0,0,Left,NA,94,197,92,10
12/13/2018 17:06:10,35,4.00,2,1,0,0,Left,NA,95,207,93,7
