MM:DD:YYYY hh:mm:ss, Mouse, Battery_Voltage, MotorTurns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
5/8/2020 10:30:46,6,4.17,0,1,Poke,Left,1,0,0,nan
5/8/2020 16:13:12,6,4.12,1,1,Pellet,Left,1,0,1,26
5/8/2020 16:14:07,6,4.12,0,1,Poke,Left,1,1,1,nan
5/8/2020 16:14:18,6,4.12,0,1,Poke,Left,2,1,1,nan
5/8/2020 16:14:24,6,4.12,1,1,Pellet,Left,2,1,2,3
5/8/2020 16:34:41,6,4.12,0,1,Poke,Left,2,2,2,nan
5/8/2020 16:43:06,6,4.12,0,1,Poke,Left,3,2,2,nan
5/8/2020 16:43:14,6,4.12,1,1,Pellet,Left,3,2,3,3
5/8/2020 16:49:30,6,4.12,0,1,Poke,Left,4,2,3,nan
5/8/2020 16:50:03,6,4.11,1,1,Pellet,Left,4,2,4,2
5/8/2020 16:50:13,6,4.12,0,1,Poke,Left,5,2,4,nan
5/8/2020 17:53:39,6,4.11,1,1,Pellet,Left,5,2,5,63
5/8/2020 17:53:51,6,4.11,0,1,Poke,Left,6,2,5,nan
5/8/2020 17:53:59,6,4.11,1,1,Pellet,Left,6,2,6,5
5/8/2020 17:55:11,6,4.11,0,1,Poke,Left,7,2,6,nan
5/8/2020 17:55:49,6,4.11,1,1,Pellet,Left,7,2,7,6
5/8/2020 17:59:00,6,4.11,0,1,Poke,Left,7,3,7,nan
5/8/2020 18:06:07,6,4.11,0,1,Poke,Left,8,3,7,nan
5/8/2020 18:06:13,6,4.11,1,1,Pellet,Left,8,3,8,3
5/8/2020 18:10:34,6,4.11,0,1,Poke,Left,9,3,8,nan
5/8/2020 18:12:51,6,4.11,1,1,Pellet,Left,9,3,9,12
5/8/2020 18:18:11,6,4.11,0,1,Poke,Left,10,3,9,nan
5/8/2020 18:24:59,6,4.11,1,1,Pellet,Left,10,3,10,186
5/8/2020 18:34:35,6,4.11,0,1,Poke,Left,10,4,10,nan
5/8/2020 18:34:44,6,4.11,0,1,Poke,Left,10,5,10,nan
5/8/2020 18:34:47,6,4.11,0,1,Poke,Left,10,6,10,nan
5/8/2020 18:34:52,6,4.10,0,1,Poke,Left,11,6,10,nan
5/8/2020 18:39:14,6,4.11,1,1,Pellet,Left,11,6,11,201
5/8/2020 18:41:46,6,4.11,0,1,Poke,Left,11,7,11,nan
5/8/2020 18:42:01,6,4.11,0,1,Poke,Left,12,7,11,nan
5/8/2020 18:43:02,6,4.11,1,1,Pellet,Left,12,7,12,57
5/8/2020 18:45:16,6,4.11,0,1,Poke,Left,13,7,12,nan
5/8/2020 18:45:26,6,4.10,1,1,Pellet,Left,13,7,13,6
5/8/2020 18:45:30,6,4.10,0,1,Poke,Left,13,8,13,nan
5/8/2020 18:47:25,6,4.11,0,1,Poke,Left,14,8,13,nan
5/8/2020 18:47:32,6,4.11,1,1,Pellet,Left,14,8,14,4
5/8/2020 18:51:13,6,4.10,0,1,Poke,Left,14,9,14,nan
5/8/2020 18:51:47,6,4.10,0,1,Poke,Left,15,9,14,nan
5/8/2020 18:53:26,6,4.11,1,1,Pellet,Left,15,9,15,83
5/8/2020 19:00:52,6,4.10,0,1,Poke,Left,15,10,15,nan
5/8/2020 19:01:10,6,4.11,0,1,Poke,Left,16,10,15,nan
5/8/2020 19:14:27,6,4.10,1,1,Pellet,Left,16,10,16,5
5/8/2020 19:14:32,6,4.10,0,1,Poke,Left,16,11,16,nan
5/8/2020 19:17:22,6,4.10,0,1,Poke,Left,17,11,16,nan
5/8/2020 19:17:27,6,4.10,1,1,Pellet,Left,17,11,17,2
5/8/2020 19:18:06,6,4.10,0,1,Poke,Left,18,11,17,nan
5/8/2020 19:20:53,6,4.10,1,1,Pellet,Left,18,11,18,3
5/8/2020 19:30:53,6,4.10,0,1,Poke,Left,18,12,18,nan
5/8/2020 19:41:33,6,4.09,0,1,Poke,Left,19,12,18,nan
