MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
7/17/2020 12:15:47,4,3.85,0,1,Poke,Left,1,0,0,nan
7/17/2020 12:16:10,4,3.85,1,1,Pellet,Left,1,0,1,19
7/17/2020 12:16:17,4,3.85,0,1,Poke,Left,2,0,1,nan
7/17/2020 12:16:21,4,3.85,1,1,Pellet,Left,2,0,2,1
7/17/2020 12:18:54,4,3.85,0,1,Poke,Left,3,0,2,nan
7/17/2020 12:19:04,4,3.85,2,1,Pellet,Left,3,0,3,4
7/17/2020 12:19:46,4,3.85,0,1,Poke,Left,4,0,3,nan
7/17/2020 12:19:54,4,3.85,2,1,Pellet,Left,4,0,4,3
7/17/2020 12:21:41,4,3.85,0,1,Poke,Left,5,0,4,nan
7/17/2020 12:21:47,4,3.85,1,1,Pellet,Left,5,0,5,2
7/17/2020 12:24:27,4,3.85,0,1,Poke,Left,6,0,5,nan
7/17/2020 12:24:38,4,3.85,2,1,Pellet,Left,6,0,6,6
7/17/2020 12:26:48,4,3.85,0,1,Poke,Left,6,1,6,nan
7/17/2020 12:30:32,4,3.85,0,1,Poke,Left,7,1,6,nan
7/17/2020 12:30:39,4,3.85,1,1,Pellet,Left,7,1,7,4
7/17/2020 12:30:47,4,3.85,0,1,Poke,Left,8,1,7,nan
7/17/2020 12:30:57,4,3.85,2,1,Pellet,Left,8,1,8,4
7/17/2020 12:33:27,4,3.85,0,1,Poke,Left,9,1,8,nan
7/17/2020 12:33:36,4,3.85,2,1,Pellet,Left,9,1,9,3
7/17/2020 12:34:50,4,3.85,0,1,Poke,Left,10,1,9,nan
7/17/2020 12:35:06,4,3.85,2,1,Pellet,Left,10,1,10,4
7/17/2020 12:38:35,4,3.85,0,1,Poke,Left,11,1,10,nan
7/17/2020 12:38:40,4,3.85,1,1,Pellet,Left,11,1,11,2
7/17/2020 12:40:40,4,3.85,0,1,Poke,Left,11,2,11,nan
7/17/2020 12:44:06,4,3.85,0,1,Poke,Left,12,2,11,nan
7/17/2020 12:44:28,4,3.85,1,1,Pellet,Left,12,2,12,5
7/17/2020 12:46:15,4,3.85,0,1,Poke,Left,13,2,12,nan
7/17/2020 12:46:22,4,3.85,1,1,Pellet,Left,13,2,13,3
7/17/2020 12:49:27,4,3.84,0,1,Poke,Left,14,2,13,nan
7/17/2020 12:49:39,4,3.85,2,1,Pellet,Left,14,2,14,7
7/17/2020 12:50:57,4,3.85,0,1,Poke,Left,15,2,14,nan
7/17/2020 12:51:26,4,3.85,1,1,Pellet,Left,15,2,15,25
7/17/2020 12:53:24,4,3.85,0,1,Poke,Left,16,2,15,nan
7/17/2020 12:53:33,4,3.85,2,1,Pellet,Left,16,2,16,3
7/17/2020 12:56:52,4,3.85,0,1,Poke,Left,17,2,16,nan
7/17/2020 12:56:59,4,3.84,1,1,Pellet,Left,17,2,17,4
7/17/2020 12:59:48,4,3.85,0,1,Poke,Left,18,2,17,nan
7/17/2020 13:00:31,4,3.84,1,1,Pellet,Left,18,2,18,40
7/17/2020 13:00:56,4,3.85,0,1,Poke,Left,19,2,18,nan
7/17/2020 13:01:12,4,3.85,2,1,Pellet,Left,19,2,19,11
7/17/2020 13:06:12,4,3.84,0,1,Poke,Left,20,2,19,nan
7/17/2020 13:06:17,4,3.85,1,1,Pellet,Left,20,2,20,2
7/17/2020 13:10:05,4,3.85,0,1,Poke,Left,21,2,20,nan
7/17/2020 13:11:11,4,3.85,2,1,Pellet,Left,21,2,21,60
7/17/2020 13:13:30,4,3.85,0,1,Poke,Left,22,2,21,nan
7/17/2020 13:13:46,4,3.84,2,1,Pellet,Left,22,2,22,11
7/17/2020 13:13:58,4,3.85,0,1,Poke,Left,23,2,22,nan
7/17/2020 13:14:13,4,3.85,2,1,Pellet,Left,23,2,23,9
