MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
7/10/2020 10:52:51,5,3.93,0,1,Poke,Left,1,0,0,nan
7/10/2020 10:53:00,5,3.93,1,1,Pellet,Left,1,0,1,6
7/10/2020 10:53:30,5,3.93,0,1,Poke,Left,2,0,1,nan
7/10/2020 10:53:41,5,3.93,2,1,Pellet,Left,2,0,2,5
7/10/2020 10:55:36,5,3.93,0,1,Poke,Left,3,0,2,nan
7/10/2020 10:56:12,5,3.93,2,1,Pellet,Left,3,0,3,31
7/10/2020 10:56:57,5,3.92,0,1,Poke,Left,3,1,3,nan
7/10/2020 10:58:31,5,3.92,0,1,Poke,Left,4,1,3,nan
7/10/2020 10:58:52,5,3.93,2,1,Pellet,Left,4,1,4,15
7/10/2020 10:58:56,5,3.93,0,1,Poke,Left,5,1,4,nan
7/10/2020 10:59:09,5,3.93,4,1,Pellet,Left,5,1,5,3
7/10/2020 11:03:02,5,3.93,0,1,Poke,Left,6,1,5,nan
7/10/2020 11:03:12,5,3.92,3,1,Pellet,Left,6,1,6,2
7/10/2020 11:03:23,5,3.93,0,1,Poke,Left,7,1,6,nan
7/10/2020 11:03:30,5,3.92,2,1,Pellet,Left,7,1,7,2
7/10/2020 11:03:45,5,3.92,0,1,Poke,Left,8,1,7,nan
7/10/2020 11:03:52,5,3.90,2,1,Poke,Left,9,1,7,nan
7/10/2020 11:03:57,5,3.92,1,1,Pellet,Left,9,1,8,2
7/10/2020 11:06:10,5,3.92,0,1,Poke,Left,10,1,8,nan
7/10/2020 11:06:41,5,3.92,5,1,Pellet,Left,10,1,9,17
7/10/2020 11:07:43,5,3.92,0,1,Poke,Left,11,1,9,nan
7/10/2020 11:09:35,5,3.92,6,1,Pellet,Left,11,1,10,32
7/10/2020 11:15:50,5,3.92,0,1,Poke,Left,12,1,10,nan
7/10/2020 11:16:00,5,3.92,2,1,Pellet,Left,12,1,11,3
7/10/2020 11:22:22,5,3.93,0,1,Poke,Left,13,1,11,nan
7/10/2020 11:22:35,5,3.90,4,1,Poke,Left,14,1,11,nan
7/10/2020 11:22:45,5,3.91,2,1,Pellet,Left,14,1,12,4
7/10/2020 11:23:04,5,3.92,0,1,Poke,Left,15,1,12,nan
7/10/2020 11:23:11,5,3.91,1,1,Pellet,Left,15,1,13,4
7/10/2020 11:23:19,5,3.92,0,1,Poke,Left,16,1,13,nan
7/10/2020 11:23:46,5,3.92,1,1,Pellet,Left,16,1,14,3
7/10/2020 11:23:54,5,3.92,0,1,Poke,Left,17,1,14,nan
7/10/2020 11:37:16,5,3.92,1,1,Pellet,Left,17,1,15,3
7/10/2020 11:40:23,5,3.92,0,1,Poke,Left,18,1,15,nan
7/10/2020 11:48:29,5,3.92,1,1,Pellet,Left,18,1,16,2
