MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/11/2020 16:46:19,0,3.65,0,1,Poke,Left,1,0,0,nan
3/11/2020 16:46:35,0,3.65,2,1,Pellet,Left,1,0,1,2
3/11/2020 16:46:56,0,3.65,0,1,Poke,Left,2,0,1,nan
3/11/2020 16:47:03,0,3.65,1,1,Pellet,Left,2,0,2,4
3/11/2020 17:23:22,0,3.65,0,1,Poke,Left,3,0,2,nan
3/11/2020 17:23:30,0,3.65,1,1,Pellet,Left,3,0,3,2
3/11/2020 18:08:37,0,3.65,0,1,Poke,Left,3,1,3,nan
3/11/2020 18:09:19,0,3.65,0,1,Poke,Left,4,1,3,nan
3/11/2020 18:09:32,0,3.65,2,1,Pellet,Left,4,1,4,3
3/11/2020 18:18:46,0,3.65,0,1,Poke,Left,5,1,4,nan
3/11/2020 18:19:02,0,3.65,2,1,Pellet,Left,5,1,5,6
3/11/2020 18:19:17,0,3.64,0,1,Poke,Left,6,1,5,nan
3/11/2020 18:19:30,0,3.64,2,1,Pellet,Left,6,1,6,3
3/11/2020 19:14:56,0,3.64,0,1,Poke,Left,7,1,6,nan
3/11/2020 19:15:03,0,3.64,1,1,Pellet,Left,7,1,7,2
3/11/2020 19:15:34,0,3.64,0,1,Poke,Left,8,1,7,nan
3/11/2020 19:15:50,0,3.64,2,1,Pellet,Left,8,1,8,1
3/11/2020 19:42:33,0,3.64,0,1,Poke,Left,9,1,8,nan
3/11/2020 19:43:00,0,3.64,3,1,Pellet,Left,9,1,9,5
3/11/2020 19:43:35,0,3.64,0,1,Poke,Left,10,1,9,nan
3/11/2020 19:43:49,0,3.64,2,1,Pellet,Left,10,1,10,2
3/11/2020 19:44:13,0,3.64,0,1,Poke,Left,11,1,10,nan
3/11/2020 19:44:28,0,3.64,2,1,Pellet,Left,11,1,11,5
3/11/2020 20:47:05,0,3.64,0,1,Poke,Left,12,1,11,nan
3/11/2020 20:47:11,0,3.64,1,1,Pellet,Left,12,1,12,1
3/11/2020 21:06:47,0,3.64,0,1,Poke,Left,12,2,12,nan
3/11/2020 21:06:49,0,3.64,0,1,Poke,Left,13,2,12,nan
3/11/2020 21:07:04,0,3.63,2,1,Pellet,Left,13,2,13,1
3/11/2020 21:30:34,0,3.64,0,1,Poke,Left,14,2,13,nan
3/11/2020 21:30:49,0,3.63,2,1,Pellet,Left,14,2,14,4
3/11/2020 21:43:09,0,3.63,0,1,Poke,Left,15,2,14,nan
3/11/2020 21:44:13,0,3.63,1,1,Pellet,Left,15,2,15,58
3/11/2020 21:55:18,0,3.63,0,1,Poke,Left,15,3,15,nan
3/11/2020 21:55:49,0,3.63,0,1,Poke,Left,16,3,15,nan
3/11/2020 21:56:11,0,3.63,3,1,Pellet,Left,16,3,16,5
3/11/2020 22:30:47,0,3.64,0,1,Poke,Left,17,3,16,nan
3/11/2020 22:30:59,0,3.62,2,1,Pellet,Left,17,3,17,3
3/11/2020 22:31:46,0,3.63,0,1,Poke,Left,18,3,17,nan
3/11/2020 22:31:59,0,3.62,2,1,Pellet,Left,18,3,18,2
3/11/2020 22:44:47,0,3.63,0,1,Poke,Left,19,3,18,nan
3/11/2020 22:45:01,0,3.62,1,1,Pellet,Left,19,3,19,5
3/11/2020 22:57:03,0,3.62,0,1,Poke,Left,20,3,19,nan
3/11/2020 22:57:18,0,3.62,2,1,Pellet,Left,20,3,20,5
3/11/2020 23:10:37,0,3.63,0,1,Poke,Left,21,3,20,nan
3/11/2020 23:10:59,0,3.62,3,1,Pellet,Left,21,3,21,3
3/12/2020 0:18:17,0,3.62,0,1,Poke,Left,22,3,21,nan
3/12/2020 0:18:25,0,3.62,1,1,Pellet,Left,22,3,22,2
3/12/2020 0:19:39,0,3.62,0,1,Poke,Left,22,4,22,nan
3/12/2020 0:22:54,0,3.62,0,1,Poke,Left,23,4,22,nan
3/12/2020 0:23:08,0,3.61,2,1,Pellet,Left,23,4,23,4
3/12/2020 0:27:38,0,3.62,0,1,Poke,Left,24,4,23,nan
3/12/2020 0:28:03,0,3.61,3,1,Pellet,Left,24,4,24,7
3/12/2020 0:56:10,0,3.62,0,1,Poke,Left,24,5,24,nan
3/12/2020 1:07:31,0,3.62,0,1,Poke,Left,25,5,24,nan
3/12/2020 1:07:43,0,3.61,1,1,Pellet,Left,25,5,25,6
3/12/2020 2:14:37,0,3.61,0,1,Poke,Left,26,5,25,nan
3/12/2020 2:14:54,0,3.60,2,1,Pellet,Left,26,5,26,3
3/12/2020 4:07:50,0,3.60,0,1,Poke,Left,27,5,26,nan
3/12/2020 4:08:14,0,3.62,2,1,Pellet,Left,27,5,27,8
3/12/2020 4:08:47,0,3.60,0,1,Poke,Left,28,5,27,nan
3/12/2020 4:09:19,0,3.59,4,1,Pellet,Left,28,5,28,4
3/12/2020 4:19:24,0,3.59,0,1,Poke,Left,28,6,28,nan
3/12/2020 5:11:33,0,3.59,0,1,Poke,Left,29,6,28,nan
3/12/2020 5:11:47,0,3.59,2,1,Pellet,Left,29,6,29,4
3/12/2020 5:20:37,0,3.58,0,1,Poke,Left,30,6,29,nan
3/12/2020 5:21:01,0,3.58,3,1,Pellet,Left,30,6,30,6
3/12/2020 5:47:33,0,3.59,0,1,Poke,Left,30,7,30,nan
3/12/2020 5:50:37,0,3.59,0,1,Poke,Left,31,7,30,nan
3/12/2020 5:50:57,0,3.58,3,1,Pellet,Left,31,7,31,4
3/12/2020 5:51:34,0,3.58,0,1,Poke,Left,31,8,31,nan
3/12/2020 6:03:27,0,3.59,0,1,Poke,Left,32,8,31,nan
3/12/2020 6:03:48,0,3.58,3,1,Pellet,Left,32,8,32,4
3/12/2020 6:20:17,0,3.58,0,1,Poke,Left,32,9,32,nan
3/12/2020 6:28:37,0,3.58,0,1,Poke,Left,32,10,32,nan
3/12/2020 7:23:48,0,3.58,0,1,Poke,Left,33,10,32,nan
3/12/2020 7:23:56,0,3.58,1,1,Pellet,Left,33,10,33,1
3/12/2020 7:25:40,0,3.58,0,1,Poke,Left,34,10,33,nan
3/12/2020 7:26:04,0,3.58,3,1,Pellet,Left,34,10,34,3
3/12/2020 7:32:29,0,3.58,0,1,Poke,Left,34,11,34,nan
3/12/2020 7:33:48,0,3.58,0,1,Poke,Left,35,11,34,nan
