MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/1/2020 17:22:10,6,4.17,0,1,Poke,Left,1,0,0,nan
3/1/2020 17:22:17,6,4.16,1,1,Pellet,Left,1,0,1,4
3/1/2020 17:29:07,6,4.16,0,1,Poke,Left,2,0,1,nan
3/1/2020 17:29:22,6,4.16,1,1,Pellet,Left,2,0,2,11
3/1/2020 17:33:41,6,4.16,0,1,Poke,Left,3,0,2,nan
3/1/2020 17:33:46,6,4.16,1,1,Pellet,Left,3,0,3,1
3/1/2020 17:34:46,6,4.16,0,1,Poke,Left,4,0,3,nan
3/1/2020 17:35:00,6,4.16,2,1,Pellet,Left,4,0,4,7
3/1/2020 17:36:43,6,4.16,0,1,Poke,Left,4,1,4,nan
3/1/2020 17:36:48,6,4.16,0,1,Poke,Left,4,2,4,nan
3/1/2020 17:36:49,6,4.16,0,1,Poke,Left,4,3,4,nan
3/1/2020 17:36:56,6,4.16,0,1,Poke,Left,4,4,4,nan
3/1/2020 17:37:59,6,4.16,0,1,Poke,Left,5,4,4,nan
3/1/2020 17:38:07,6,4.16,2,1,Pellet,Left,5,4,5,2
3/1/2020 17:38:31,6,4.16,0,1,Poke,Left,6,4,5,nan
3/1/2020 17:38:40,6,4.16,2,1,Pellet,Left,6,4,6,3
3/1/2020 17:40:25,6,4.16,0,1,Poke,Left,6,5,6,nan
3/1/2020 17:41:28,6,4.16,0,1,Poke,Left,6,6,6,nan
3/1/2020 17:41:46,6,4.16,0,1,Poke,Left,7,6,6,nan
3/1/2020 17:41:51,6,4.16,1,1,Pellet,Left,7,6,7,2
3/1/2020 17:47:07,6,4.16,0,1,Poke,Left,7,7,7,nan
3/1/2020 17:50:08,6,4.16,0,1,Poke,Left,8,7,7,nan
3/1/2020 17:50:13,6,4.16,1,1,Pellet,Left,8,7,8,2
3/1/2020 17:51:01,6,4.16,0,1,Poke,Left,8,8,8,nan
3/1/2020 17:52:00,6,4.16,0,1,Poke,Left,9,8,8,nan
3/1/2020 17:52:08,6,4.16,1,1,Pellet,Left,9,8,9,5
3/1/2020 17:52:32,6,4.16,0,1,Poke,Left,10,8,9,nan
3/1/2020 17:52:44,6,4.16,2,1,Pellet,Left,10,8,10,6
3/1/2020 17:53:37,6,4.16,0,1,Poke,Left,11,8,10,nan
3/1/2020 17:53:47,6,4.16,2,1,Pellet,Left,11,8,11,4
3/1/2020 17:58:07,6,4.16,0,1,Poke,Left,11,9,11,nan
3/1/2020 17:58:10,6,4.16,0,1,Poke,Left,11,10,11,nan
3/1/2020 17:59:26,6,4.16,0,1,Poke,Left,12,10,11,nan
3/1/2020 17:59:31,6,4.16,1,1,Pellet,Left,12,10,12,1
3/1/2020 17:59:56,6,4.16,0,1,Poke,Left,13,10,12,nan
3/1/2020 18:00:01,6,4.15,1,1,Pellet,Left,13,10,13,2
3/1/2020 18:01:00,6,4.16,0,1,Poke,Left,14,10,13,nan
3/1/2020 18:01:05,6,4.16,1,1,Pellet,Left,14,10,14,1
3/1/2020 18:04:53,6,4.16,0,1,Poke,Left,14,11,14,nan
3/1/2020 18:18:41,6,4.15,0,1,Poke,Left,15,11,14,nan
3/1/2020 18:18:52,6,4.15,2,1,Pellet,Left,15,11,15,5
3/1/2020 18:19:34,6,4.15,0,1,Poke,Left,16,11,15,nan
3/1/2020 18:19:44,6,4.15,2,1,Pellet,Left,16,11,16,5
3/1/2020 18:20:26,6,4.15,0,1,Poke,Left,17,11,16,nan
3/1/2020 18:20:36,6,4.15,2,1,Pellet,Left,17,11,17,6
3/1/2020 18:21:11,6,4.16,0,1,Poke,Left,18,11,17,nan
3/1/2020 18:21:25,6,4.15,3,1,Pellet,Left,18,11,18,6
3/1/2020 18:26:17,6,4.15,0,1,Poke,Left,19,11,18,nan
3/1/2020 18:26:23,6,4.15,1,1,Pellet,Left,19,11,19,2
3/1/2020 18:27:35,6,4.15,0,1,Poke,Left,20,11,19,nan
3/1/2020 18:27:40,6,4.15,1,1,Pellet,Left,20,11,20,2
3/1/2020 19:02:41,6,4.15,0,1,Poke,Left,21,11,20,nan
3/1/2020 19:02:45,6,4.14,1,1,Pellet,Left,21,11,21,1
3/1/2020 19:04:10,6,4.14,0,1,Poke,Left,22,11,21,nan
3/1/2020 19:04:15,6,4.14,1,1,Pellet,Left,22,11,22,2
3/1/2020 19:05:30,6,4.14,0,1,Poke,Left,23,11,22,nan
3/1/2020 19:05:35,6,4.14,1,1,Pellet,Left,23,11,23,1
3/1/2020 19:18:06,6,4.14,0,1,Poke,Left,24,11,23,nan
3/1/2020 19:18:14,6,4.14,1,1,Pellet,Left,24,11,24,5
3/1/2020 19:18:36,6,4.14,0,1,Poke,Left,25,11,24,nan
3/1/2020 19:18:46,6,4.14,2,1,Pellet,Left,25,11,25,4
3/1/2020 19:19:10,6,4.14,0,1,Poke,Left,26,11,25,nan
3/1/2020 19:19:15,6,4.14,1,1,Pellet,Left,26,11,26,1
3/1/2020 19:19:45,6,4.14,0,1,Poke,Left,27,11,26,nan
3/1/2020 19:31:26,6,4.14,1,1,Pellet,Left,27,11,27,427
3/1/2020 19:31:51,6,4.14,0,1,Poke,Left,28,11,27,nan
3/1/2020 19:31:55,6,4.14,1,1,Pellet,Left,28,11,28,1
3/1/2020 19:32:16,6,4.14,0,1,Poke,Left,29,11,28,nan
3/1/2020 19:32:29,6,4.14,2,1,Pellet,Left,29,11,29,7
3/1/2020 19:32:44,6,4.14,0,1,Poke,Left,30,11,29,nan
3/1/2020 19:32:56,6,4.14,2,1,Pellet,Left,30,11,30,5
3/1/2020 19:51:25,6,4.14,0,1,Poke,Left,31,11,30,nan
3/1/2020 19:51:36,6,4.13,2,1,Pellet,Left,31,11,31,5
3/1/2020 19:52:04,6,4.14,0,1,Poke,Left,32,11,31,nan
3/1/2020 19:52:17,6,4.14,2,1,Pellet,Left,32,11,32,7
3/1/2020 19:52:39,6,4.13,0,1,Poke,Left,33,11,32,nan
3/1/2020 19:53:04,6,4.13,3,1,Pellet,Left,33,11,33,16
3/1/2020 20:04:15,6,4.14,0,1,Poke,Left,34,11,33,nan
3/1/2020 20:04:20,6,4.13,1,1,Pellet,Left,34,11,34,2
3/1/2020 20:04:44,6,4.14,0,1,Poke,Left,35,11,34,nan
3/1/2020 20:04:54,6,4.13,3,1,Pellet,Left,35,11,35,2
3/1/2020 20:05:11,6,4.14,0,1,Poke,Left,36,11,35,nan
3/1/2020 20:05:25,6,4.14,2,1,Pellet,Left,36,11,36,8
3/1/2020 20:05:55,6,4.14,0,1,Poke,Left,37,11,36,nan
3/1/2020 20:05:59,6,4.13,1,1,Pellet,Left,37,11,37,1
3/1/2020 20:11:40,6,4.13,0,1,Poke,Left,38,11,37,nan
3/1/2020 20:11:53,6,4.13,2,1,Pellet,Left,38,11,38,7
3/1/2020 20:12:11,6,4.14,0,1,Poke,Left,39,11,38,nan
3/1/2020 20:12:27,6,4.13,2,1,Pellet,Left,39,11,39,11
3/1/2020 20:12:41,6,4.13,0,1,Poke,Left,40,11,39,nan
3/1/2020 20:12:46,6,4.13,1,1,Pellet,Left,40,11,40,1
3/1/2020 20:16:31,6,4.13,0,1,Poke,Left,41,11,40,nan
3/1/2020 20:44:14,6,4.13,1,1,Pellet,Left,41,11,41,1659
