MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
1/18/2020,10:07:31,10,4.23,1,1,Left,1,0,1,43
1/18/2020,10:12:07,10,4.23,2,1,Left,2,0,2,5
1/18/2020,10:13:14,10,4.23,1,1,Left,3,0,3,4
1/18/2020,10:15:18,10,4.23,1,1,Left,4,1,4,6
1/18/2020,10:15:54,10,4.23,1,1,Left,5,1,5,2
1/18/2020,10:23:11,10,4.22,1,1,Left,6,8,6,1
1/18/2020,10:29:09,10,4.23,1,1,Left,7,9,7,3
1/18/2020,10:30:44,10,4.23,1,1,Left,8,11,8,3
1/18/2020,10:31:33,10,4.23,1,1,Left,9,11,9,2
1/18/2020,10:33:10,10,4.22,1,1,Left,10,11,10,10
1/18/2020,10:47:59,10,4.23,2,1,Left,11,11,11,30
1/18/2020,10:55:44,10,4.23,1,1,Left,12,13,12,2
1/18/2020,12:05:41,10,4.23,1,1,Left,13,14,13,3
1/18/2020,12:33:16,10,4.23,1,1,Left,14,16,14,11
1/18/2020,12:35:23,10,4.23,1,1,Left,15,18,15,3
1/18/2020,13:58:42,10,4.23,1,1,Left,16,24,16,2
1/18/2020,13:59:33,10,4.23,1,1,Left,17,24,17,3
1/18/2020,14:00:17,10,4.23,1,1,Left,18,24,18,1
1/18/2020,14:30:21,10,4.23,1,1,Left,19,30,19,2
1/18/2020,14:32:35,10,4.23,1,1,Left,20,30,20,48
1/18/2020,14:33:36,10,4.23,1,1,Left,21,30,21,4
1/18/2020,14:50:04,10,4.23,1,1,Left,22,30,22,3
1/18/2020,15:07:39,10,4.23,1,1,Left,23,31,23,2
1/18/2020,15:53:54,10,4.22,2,1,Left,24,33,24,67
1/18/2020,15:55:08,10,4.23,1,1,Left,25,34,25,2
1/18/2020,15:56:22,10,4.23,3,1,Left,26,34,26,19
1/18/2020,16:02:31,10,4.23,1,1,Left,27,52,27,1
1/18/2020,16:04:30,10,4.23,1,1,Left,28,52,28,4
1/18/2020,16:28:15,10,4.23,1,1,Left,29,54,29,1
